time,Utah,pts.away,score,pts.home,Orlando
1:12.0,,,82-72,,Turnover by S. Ibaka (lost ball; steal by S. Mack)
0:55.0,G. Hayward misses 2-pt shot from 18 ft,,82-72,,
0:54.0,Offensive rebound by R. Gobert,,82-72,,
0:53.0,R. Gobert makes 2-pt shot from 2 ft,2,84-72,,
0:53.0,,,84-72,,Violation by S. Ibaka (def goaltending)
0:53.0,,,84-72,,Orlando full timeout
0:53.0,,,84-72,,D. Rudez enters the game for N. Vucevic
0:46.0,,,84-74,2,E. Fournier makes 2-pt shot from 2 ft
0:43.0,Utah full timeout,,84-74,,
0:43.0,,,84-74,,A. Gordon enters the game for D. Rudez
0:43.0,J. Ingles enters the game for R. Gobert,,84-74,,
0:41.0,Shooting foul by S. Ibaka (drawn by D. Favors),,84-74,,
0:41.0,D. Favors makes free throw 1 of 2,1,85-74,,
0:41.0,D. Favors misses free throw 2 of 2,,85-74,,
0:41.0,,,85-74,,D. Rudez enters the game for A. Gordon
0:40.0,,,85-74,,Defensive rebound by S. Ibaka
0:37.0,,,85-74,,J. Green misses 3-pt shot from 27 ft
0:36.0,Defensive rebound by S. Mack,,85-74,,
0:13.0,R. Hood makes 2-pt shot from 21 ft,2,87-74,,
0:01.0,,,87-74,,J. Green misses 3-pt shot from 25 ft
0:00.0,,,87-74,,Offensive rebound by D. Rudez
0:00.0,End of 4th quarter,,,,End of 4th quarter
