time,Minnesota,pts.away,score,pts.home,New York
5:11.0,A. Wiggins makes 2-pt shot from 16 ft,2,104-105,,
4:59.0,,,104-107,2,D. Rose makes 2-pt shot from 1 ft
4:48.0,Turnover by K. Dunn (bad pass; steal by J. Holiday),,104-107,,
4:31.0,,,104-109,2,D. Rose makes 2-pt shot from 18 ft
4:31.0,Minnesota full timeout,,104-109,,
4:31.0,G. Dieng enters the game for C. Aldrich,,104-109,,
4:31.0,R. Rubio enters the game for K. Dunn,,104-109,,
4:17.0,K. Towns misses 2-pt shot from 20 ft,,104-109,,
4:16.0,,,104-109,,Defensive rebound by D. Rose
3:56.0,,,104-109,,J. Holiday misses 2-pt shot from 11 ft
3:56.0,,,104-109,,Offensive rebound by K. Porzingis
3:55.0,,,104-109,,K. Porzingis misses 2-pt shot at rim
3:51.0,Defensive rebound by K. Towns,,104-109,,
3:45.0,Turnover by Z. LaVine (bad pass; steal by C. Anthony),,104-109,,
3:28.0,,,104-109,,K. Porzingis misses 3-pt shot from 23 ft
3:27.0,Defensive rebound by R. Rubio,,104-109,,
3:25.0,,,104-109,,Personal foul by J. Holiday (drawn by R. Rubio)
3:14.0,R. Rubio misses 3-pt shot from 24 ft,,104-109,,
3:13.0,,,104-109,,Defensive rebound by K. O'Quinn
2:52.0,,,104-109,,Shooting foul by G. Dieng (drawn by D. Rose)
2:52.0,,,104-110,1,D. Rose makes free throw 1 of 2
2:52.0,,,104-110,,D. Rose misses free throw 2 of 2
2:52.0,N. Bjelica enters the game for G. Dieng,,104-110,,
2:51.0,,,104-110,,Offensive rebound by K. O'Quinn
2:40.0,,,104-110,,New York full timeout
2:34.0,,,104-110,,C. Anthony misses 2-pt shot from 2 ft (block by K. Towns)
2:33.0,,,104-110,,Offensive rebound by Team
2:28.0,,,104-110,,C. Anthony misses 3-pt shot from 26 ft
2:28.0,Defensive rebound by N. Bjelica,,104-110,,
2:15.0,K. Towns misses 3-pt shot from 25 ft,,104-110,,
2:14.0,Offensive rebound by A. Wiggins,,104-110,,
2:11.0,A. Wiggins makes 2-pt shot from 1 ft,2,106-110,,
1:45.0,,,106-110,,K. Porzingis misses 2-pt shot from 9 ft
1:44.0,Defensive rebound by N. Bjelica,,106-110,,
1:24.0,Turnover by N. Bjelica (bad pass; steal by C. Anthony),,106-110,,
1:21.0,,,106-112,2,C. Anthony makes 2-pt shot from 2 ft (assist by K. O'Quinn)
1:21.0,Minnesota full timeout,,106-112,,
1:16.0,K. Towns misses 2-pt shot from 2 ft (block by K. O'Quinn),,106-112,,
1:15.0,Offensive rebound by K. Towns,,106-112,,
1:14.0,K. Towns misses 2-pt shot from 1 ft (block by K. Porzingis),,106-112,,
1:13.0,,,106-112,,Defensive rebound by Team
1:13.0,Jump ball: K. Porzingis vs. K. Towns (D. Rose gains possession),,,,Jump ball: K. Porzingis vs. K. Towns (D. Rose gains possession)
0:48.0,,,106-112,,C. Anthony misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by N. Bjelica,,106-112,,
0:42.0,N. Bjelica misses 2-pt shot from 2 ft (block by J. Holiday),,106-112,,
0:41.0,Offensive rebound by R. Rubio,,106-112,,
0:34.0,Z. LaVine misses 3-pt shot from 28 ft,,106-112,,
0:34.0,,,106-112,,Defensive rebound by D. Rose
0:31.0,Personal take foul by Z. LaVine (drawn by D. Rose),,106-112,,
0:31.0,,,106-113,1,D. Rose makes free throw 1 of 2
0:31.0,,,106-114,1,D. Rose makes free throw 2 of 2
0:31.0,Minnesota full timeout,,106-114,,
0:29.0,N. Bjelica makes 3-pt shot from 24 ft (assist by A. Wiggins),3,109-114,,
0:16.0,Personal take foul by K. Towns (drawn by J. Holiday),,109-114,,
0:16.0,,,109-115,1,J. Holiday makes free throw 1 of 2
0:16.0,,,109-116,1,J. Holiday makes free throw 2 of 2
0:08.0,N. Bjelica makes 3-pt shot from 26 ft (assist by A. Wiggins),3,112-116,,
0:06.0,Personal take foul by A. Wiggins (drawn by C. Anthony),,112-116,,
0:06.0,,,112-117,1,C. Anthony makes free throw 1 of 2
0:06.0,,,112-118,1,C. Anthony makes free throw 2 of 2
0:02.0,Z. LaVine makes 2-pt shot at rim,2,114-118,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
