time,LA Lakers,pts.away,score,pts.home,New York
7:32.0,J. Randle enters the game for L. Nance,,104-87,,
7:20.0,,,105-90,3,K. Porzingis makes 3-pt shot from 26 ft (assist by B. Jennings)
7:01.0,J. Clarkson misses 2-pt shot from 2 ft,,105-90,,
7:00.0,Offensive rebound by I. Zubac,,105-90,,
6:58.0,I. Zubac makes 2-pt shot at rim,2,107-90,,
6:52.0,,,107-90,,B. Jennings misses 2-pt shot from 3 ft
6:51.0,,,107-90,,Offensive rebound by Team
6:51.0,Loose ball foul by J. Randle (drawn by W. Hernangomez),,107-90,,
6:38.0,,,107-90,,M. Kuzminskas misses 2-pt shot from 1 ft
6:37.0,,,107-90,,Offensive rebound by W. Hernangomez
6:37.0,,,107-90,,W. Hernangomez misses 2-pt shot from 1 ft
6:35.0,,,107-90,,Offensive rebound by W. Hernangomez
6:34.0,,,107-90,,W. Hernangomez misses 2-pt shot from 2 ft
6:32.0,Defensive rebound by I. Zubac,,107-90,,
6:23.0,I. Zubac makes 2-pt shot from 11 ft (assist by L. Williams),2,109-90,,
6:11.0,,,109-90,,K. Porzingis misses 2-pt shot from 10 ft
6:10.0,Defensive rebound by J. Clarkson,,109-90,,
5:51.0,J. Randle makes 2-pt shot from 2 ft (assist by L. Deng),2,111-90,,
5:51.0,,,111-90,,New York full timeout
5:51.0,,,111-90,,D. Rose enters the game for W. Hernangomez
5:51.0,,,111-90,,C. Lee enters the game for J. Holiday
5:51.0,,,111-90,,C. Anthony enters the game for M. Kuzminskas
5:51.0,B. Ingram enters the game for I. Zubac,,111-90,,
5:42.0,,,111-90,,Shooting foul by J. Randle (drawn by K. Porzingis)
5:42.0,,,111-91,1,K. Porzingis makes free throw 1 of 2
5:42.0,,,111-92,1,K. Porzingis makes free throw 2 of 2
5:42.0,L. Nance enters the game for J. Randle,,111-90,,
5:29.0,L. Williams misses 3-pt shot from 26 ft,,111-92,,
5:28.0,,,111-92,,Defensive rebound by B. Jennings
5:22.0,,,111-95,3,B. Jennings makes 3-pt shot from 25 ft
5:09.0,,,111-95,,Personal foul by B. Jennings (drawn by J. Clarkson)
5:02.0,L. Williams misses 2-pt shot from 10 ft,,111-95,,
5:01.0,,,111-95,,Defensive rebound by D. Rose
4:54.0,,,111-95,,Turnover by D. Rose (bad pass; steal by B. Ingram)
4:35.0,Shooting foul by C. Lee (drawn by L. Deng),,111-95,,
4:35.0,L. Deng makes free throw 1 of 2,1,112-95,,
4:35.0,L. Deng makes free throw 2 of 2,1,113-95,,
4:16.0,,,113-95,,K. Porzingis misses 3-pt shot from 25 ft
4:15.0,Defensive rebound by J. Clarkson,,113-95,,
3:51.0,L. Deng misses 3-pt shot from 25 ft,,113-95,,
3:50.0,,,113-95,,Defensive rebound by K. Porzingis
3:45.0,Violation by L. Nance (def goaltending),,113-95,,
3:45.0,,,113-97,2,D. Rose makes 2-pt shot from 1 ft
3:31.0,L. Nance misses 2-pt shot from 15 ft,,113-97,,
3:30.0,,,113-97,,Defensive rebound by C. Lee
3:17.0,,,113-97,,B. Jennings misses 3-pt shot from 24 ft
3:16.0,Defensive rebound by L. Deng,,113-97,,
3:06.0,Turnover by J. Clarkson (bad pass; steal by B. Jennings),,113-97,,
3:05.0,Personal foul by J. Clarkson (drawn by B. Jennings),,113-97,,
3:05.0,,,113-98,1,B. Jennings makes free throw 1 of 2
3:05.0,,,113-99,1,B. Jennings makes free throw 2 of 2
2:49.0,Shooting foul by K. Porzingis (drawn by L. Deng),,113-99,,
2:49.0,L. Deng makes free throw 1 of 2,1,114-99,,
2:49.0,L. Deng makes free throw 2 of 2,1,115-99,,
2:35.0,Personal foul by J. Clarkson (drawn by K. Porzingis),,115-99,,
2:35.0,,,115-100,1,K. Porzingis makes free throw 1 of 2
2:35.0,,,115-100,,K. Porzingis misses free throw 2 of 2
2:34.0,Defensive rebound by L. Nance,,115-100,,
2:33.0,,,115-100,,Personal foul by D. Rose (drawn by B. Ingram)
2:33.0,B. Ingram makes free throw 1 of 2,1,116-100,,
2:33.0,B. Ingram makes free throw 2 of 2,1,117-100,,
2:17.0,,,117-102,2,B. Jennings makes 2-pt shot from 2 ft (assist by D. Rose)
1:58.0,Shooting foul by D. Rose,,117-102,,
1:58.0,L. Williams makes free throw 1 of 2,1,118-102,,
1:58.0,L. Williams makes free throw 2 of 2,1,119-102,,
1:58.0,,,119-102,,New York full timeout
1:58.0,M. World Peace enters the game for L. Deng,,119-102,,
1:58.0,N. Young enters the game for L. Williams,,119-102,,
1:55.0,,,119-105,3,C. Lee makes 3-pt shot from 25 ft (assist by C. Anthony)
1:35.0,B. Ingram misses 3-pt shot from 24 ft,,119-105,,
1:34.0,,,119-105,,Defensive rebound by K. Porzingis
1:28.0,,,119-107,2,B. Jennings makes 2-pt shot at rim
1:10.0,M. World Peace makes 2-pt shot from 14 ft,2,121-107,,
1:02.0,,,121-107,,Turnover by B. Jennings (bad pass; steal by L. Nance)
0:55.0,,,121-107,,Personal take foul by B. Jennings (drawn by M. World Peace)
0:55.0,M. World Peace misses free throw 1 of 2,,121-107,,
0:55.0,Offensive rebound by Team,,121-107,,
0:55.0,M. World Peace misses free throw 2 of 2,,121-107,,
0:55.0,,,121-107,,M. Ndour enters the game for C. Anthony
0:55.0,,,121-107,,M. Plumlee enters the game for K. Porzingis
0:55.0,,,121-107,,M. Kuzminskas enters the game for C. Lee
0:55.0,,,121-107,,R. Baker enters the game for D. Rose
0:55.0,,,121-107,,S. Vujacic enters the game for B. Jennings
0:54.0,Offensive rebound by B. Ingram,,121-107,,
0:49.0,M. World Peace misses 3-pt shot from 27 ft,,121-107,,
0:49.0,,,121-107,,Defensive rebound by S. Vujacic
0:37.0,,,121-107,,Turnover by R. Baker (lost ball)
0:16.0,M. World Peace misses 2-pt shot from 10 ft,,121-107,,
0:16.0,Offensive rebound by Team,,121-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
