time,Washington,pts.away,score,pts.home,Denver
1:25.0,B. Beal makes 2-pt shot from 9 ft (assist by J. Wall),2,116-106,,
1:16.0,,,116-108,2,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Murray)
0:54.0,O. Porter makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,119-108,,
0:54.0,,,119-108,,Denver full timeout
0:54.0,K. Oubre enters the game for M. Gortat,,119-108,,
0:46.0,,,119-110,2,J. Hernangomez makes 2-pt shot from 2 ft (assist by G. Harris)
0:46.0,,,119-110,,Shooting foul by B. Bogdanovic
0:46.0,,,119-110,,J. Hernangomez misses free throw 1 of 1
0:46.0,M. Gortat enters the game for K. Oubre,,119-110,,
0:44.0,Defensive rebound by M. Gortat,,119-110,,
0:38.0,,,119-110,,Personal foul by M. Plumlee (drawn by J. Wall)
0:31.0,,,119-110,,Personal foul by J. Hernangomez
0:31.0,J. Wall makes free throw 1 of 2,1,120-110,,
0:31.0,J. Wall makes free throw 2 of 2,1,121-110,,
0:31.0,K. Oubre enters the game for B. Beal,,120-110,,
0:31.0,T. Satoransky enters the game for O. Porter,,120-110,,
0:24.0,,,121-113,3,G. Harris makes 3-pt shot from 25 ft (assist by J. Murray)
0:24.0,,,121-113,,Personal foul by J. Murray (drawn by J. Wall)
0:24.0,J. Wall makes free throw 1 of 2,1,122-113,,
0:24.0,J. Wall makes free throw 2 of 2,1,123-113,,
0:18.0,,,123-113,,Turnover by M. Plumlee (bad pass; steal by T. Satoransky)
0:00.0,End of 4th quarter,,,,End of 4th quarter
