time,Memphis,pts.away,score,pts.home,Detroit
1:55.0,,,93-83,,Turnover by K. Caldwell-Pope (traveling)
1:35.0,M. Gasol makes 2-pt shot from 11 ft,2,95-83,,
1:22.0,,,95-83,,M. Morris misses 2-pt shot from 18 ft
1:21.0,,,95-83,,Offensive rebound by A. Drummond
1:19.0,,,95-85,2,A. Drummond makes 2-pt shot from 7 ft
1:15.0,,,95-85,,Personal foul by M. Morris (drawn by A. Harrison)
1:03.0,Shooting foul by A. Drummond (drawn by J. Green),,95-85,,
1:03.0,J. Green makes free throw 1 of 2,1,96-85,,
1:03.0,J. Green makes free throw 2 of 2,1,97-85,,
0:56.0,,,97-85,,K. Caldwell-Pope misses 3-pt shot from 24 ft
0:55.0,Defensive rebound by A. Harrison,,97-85,,
0:36.0,Shooting foul by A. Drummond (drawn by M. Gasol),,97-85,,
0:36.0,M. Gasol misses free throw 1 of 2,,97-85,,
0:36.0,Offensive rebound by Team,,97-85,,
0:36.0,M. Gasol makes free throw 2 of 2,1,98-85,,
0:36.0,T. Williams enters the game for M. Conley,,97-85,,
0:35.0,Personal take foul by A. Harrison (drawn by I. Smith),,98-85,,
0:35.0,,,98-85,,I. Smith misses free throw 1 of 2
0:35.0,,,98-85,,Offensive rebound by Team
0:35.0,,,98-86,1,I. Smith makes free throw 2 of 2
0:35.0,J. Martin enters the game for M. Gasol,,98-85,,
0:17.0,T. Daniels misses 3-pt shot from 26 ft,,98-86,,
0:14.0,,,98-86,,Defensive rebound by A. Drummond
0:12.0,,,98-86,,Turnover by A. Drummond (bad pass)
0:00.0,End of 4th quarter,,,,End of 4th quarter
