time,San Antonio,pts.away,score,pts.home,Atlanta
2:48.0,D. Green makes 3-pt shot from 25 ft (assist by J. Simmons),3,96-90,,
2:33.0,,,96-93,3,K. Korver makes 3-pt shot from 25 ft (assist by P. Millsap)
2:11.0,L. Aldridge makes 2-pt shot from 5 ft,2,98-93,,
1:50.0,,,98-95,2,D. Schroder makes 2-pt shot at rim
1:27.0,T. Parker misses 2-pt shot from 2 ft,,98-95,,
1:25.0,Offensive rebound by T. Parker,,98-95,,
1:08.0,Turnover by L. Aldridge (step out of bounds),,98-95,,
1:08.0,Official timeout,,98-95,,
1:08.0,M. Ginobili enters the game for J. Simmons,,98-95,,
0:49.0,,,98-97,2,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder)
0:27.0,T. Parker misses 2-pt shot from 20 ft,,98-97,,
0:24.0,,,98-97,,Defensive rebound by D. Howard
0:15.0,,,98-97,,D. Schroder misses 2-pt shot from 1 ft
0:12.0,Defensive rebound by D. Green,,98-97,,
0:11.0,,,98-97,,Personal take foul by P. Millsap (drawn by D. Green)
0:11.0,,,98-97,,T. Sefolosha enters the game for K. Korver
0:11.0,,,98-97,,K. Bazemore enters the game for T. Hardaway
0:11.0,K. Leonard enters the game for P. Gasol,,98-97,,
0:11.0,,,98-97,,T. Hardaway enters the game for D. Howard
0:10.0,,,98-97,,Personal take foul by K. Bazemore (drawn by K. Leonard)
0:10.0,K. Leonard makes free throw 1 of 2,1,99-97,,
0:10.0,K. Leonard makes free throw 2 of 2,1,100-97,,
0:10.0,,,100-97,,Atlanta full timeout
0:10.0,,,100-97,,Atlanta full timeout
0:10.0,,,99-97,,D. Howard enters the game for T. Hardaway
0:10.0,,,100-97,,K. Korver enters the game for K. Bazemore
0:10.0,,,100-97,,T. Hardaway enters the game for D. Schroder
0:10.0,J. Simmons enters the game for T. Parker,,100-97,,
0:10.0,,,100-97,,D. Schroder enters the game for T. Sefolosha
0:10.0,,,100-97,,M. Muscala enters the game for D. Howard
0:03.0,,,100-100,3,T. Hardaway makes 3-pt shot from 26 ft (assist by D. Schroder)
0:03.0,San Antonio full timeout,,100-100,,
0:03.0,,,100-100,,K. Bazemore enters the game for K. Korver
0:03.0,,,100-100,,T. Sefolosha enters the game for M. Muscala
0:03.0,T. Parker enters the game for J. Simmons,,100-100,,
0:03.0,San Antonio full timeout,,100-100,,
0:00.0,K. Leonard misses 2-pt shot from 14 ft,,100-100,,
0:00.0,Offensive rebound by Team,,100-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:49.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Green),2,102-100,,
4:28.0,,,102-103,3,T. Hardaway makes 3-pt shot from 24 ft (assist by D. Schroder)
4:17.0,T. Parker makes 2-pt shot from 14 ft,2,104-103,,
4:00.0,,,104-103,,P. Millsap misses 2-pt shot from 20 ft
3:58.0,Defensive rebound by P. Gasol,,104-103,,
3:46.0,L. Aldridge misses 2-pt shot from 8 ft,,104-103,,
3:44.0,,,104-103,,Defensive rebound by K. Korver
3:28.0,,,104-105,2,T. Hardaway makes 2-pt shot from 1 ft (assist by K. Korver)
3:08.0,T. Parker misses 2-pt shot from 1 ft,,104-105,,
3:05.0,,,104-105,,Defensive rebound by D. Schroder
3:02.0,,,104-108,3,T. Hardaway makes 3-pt shot from 27 ft (assist by D. Schroder)
2:45.0,T. Parker misses 2-pt shot from 1 ft,,104-108,,
2:43.0,,,104-108,,Defensive rebound by T. Hardaway
2:33.0,,,104-110,2,D. Schroder makes 2-pt shot from 2 ft
2:32.0,San Antonio full timeout,,104-110,,
2:21.0,P. Gasol makes 2-pt shot from 16 ft (assist by K. Leonard),2,106-110,,
2:03.0,,,106-110,,P. Millsap misses 2-pt shot from 20 ft
2:00.0,Defensive rebound by D. Green,,106-110,,
1:51.0,L. Aldridge misses 2-pt shot from 3 ft (block by D. Howard),,106-110,,
1:51.0,,,106-110,,Defensive rebound by Team
1:51.0,M. Ginobili enters the game for D. Green,,106-110,,
1:40.0,,,106-112,2,D. Schroder makes 2-pt shot from 15 ft
1:29.0,Shooting foul by D. Howard (drawn by P. Gasol),,106-112,,
1:29.0,P. Gasol makes free throw 1 of 2,1,107-112,,
1:29.0,P. Gasol misses free throw 2 of 2,,107-112,,
1:27.0,,,107-112,,Defensive rebound by T. Hardaway
1:08.0,,,107-112,,K. Korver misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by M. Ginobili,,107-112,,
1:01.0,,,107-112,,Personal foul by T. Hardaway (drawn by L. Aldridge)
1:01.0,L. Aldridge makes free throw 1 of 2,1,108-112,,
1:01.0,L. Aldridge makes free throw 2 of 2,1,109-112,,
0:45.0,,,109-112,,D. Schroder misses 2-pt shot from 8 ft
0:45.0,,,109-112,,Offensive rebound by D. Howard
0:45.0,,,109-112,,Turnover by D. Howard (offensive foul)
0:45.0,,,109-112,,Offensive foul by D. Howard
0:45.0,,,109-112,,T. Sefolosha enters the game for K. Korver
0:45.0,D. Green enters the game for M. Ginobili,,109-112,,
0:34.0,K. Leonard makes 3-pt shot from 26 ft,3,112-112,,
0:34.0,,,112-112,,Atlanta full timeout
0:34.0,J. Simmons enters the game for P. Gasol,,112-112,,
0:34.0,,,112-112,,M. Muscala enters the game for T. Sefolosha
0:34.0,,,112-112,,K. Korver enters the game for D. Howard
0:15.0,M. Ginobili enters the game for J. Simmons,,112-112,,
0:12.0,,,112-112,,P. Millsap misses 3-pt shot from 23 ft
0:11.0,,,112-112,,Offensive rebound by T. Hardaway
0:11.0,,,112-112,,Shooting foul by D. Green (drawn by T. Hardaway)
0:11.0,,,112-113,1,T. Hardaway makes free throw 1 of 2
0:11.0,,,112-113,,T. Hardaway misses free throw 2 of 2
0:11.0,,,112-113,,T. Sefolosha enters the game for K. Korver
0:11.0,P. Gasol enters the game for M. Ginobili,,112-113,,
0:09.0,,,112-113,,Offensive rebound by P. Millsap
0:05.0,Personal take foul by D. Green (drawn by D. Schroder),,112-113,,
0:05.0,,,112-114,1,D. Schroder makes free throw 1 of 2
0:05.0,,,112-114,,D. Schroder misses free throw 2 of 2
0:04.0,Defensive rebound by K. Leonard,,112-114,,
0:04.0,San Antonio full timeout,,112-114,,
0:04.0,,,112-114,,K. Bazemore enters the game for M. Muscala
0:04.0,M. Ginobili enters the game for P. Gasol,,112-114,,
0:04.0,K. Anderson enters the game for T. Parker,,112-114,,
0:01.0,K. Leonard misses 2-pt shot at rim,,112-114,,
0:00.0,Offensive rebound by Team,,112-114,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
