time,Indiana,pts.away,score,pts.home,Utah
1:30.0,Defensive rebound by J. Teague,,94-107,,
1:28.0,,,94-107,,Personal foul by J. Ingles (drawn by J. Teague)
1:28.0,J. Teague makes free throw 1 of 2,1,95-107,,
1:28.0,J. Teague makes free throw 2 of 2,1,96-107,,
1:14.0,Violation by M. Ellis (kicked ball),,96-107,,
1:05.0,,,96-109,2,B. Diaw makes 2-pt shot from 2 ft (assist by G. Hill)
1:00.0,Offensive foul by T. Young,,96-109,,
1:00.0,Turnover by T. Young (offensive foul),,96-109,,
0:43.0,,,96-109,,G. Hill misses 2-pt shot from 3 ft
0:42.0,,,96-109,,Offensive rebound by R. Gobert
0:42.0,,,96-109,,R. Gobert misses 2-pt shot at rim
0:42.0,Defensive rebound by J. Teague,,96-109,,
0:40.0,Shooting foul by J. Ingles (drawn by J. Teague),,96-109,,
0:40.0,J. Teague makes free throw 1 of 3,1,97-109,,
0:40.0,J. Teague makes free throw 2 of 3,1,98-109,,
0:40.0,J. Teague misses free throw 3 of 3,,98-109,,
0:40.0,G. Niang enters the game for T. Young,,96-109,,
0:40.0,,,96-109,,R. Neto enters the game for G. Hayward
0:40.0,,,96-109,,A. Burks enters the game for R. Gobert
0:40.0,,,96-109,,J. Withey enters the game for J. Ingles
0:40.0,K. Seraphin enters the game for M. Turner,,96-109,,
0:40.0,G. Robinson enters the game for M. Ellis,,96-109,,
0:40.0,L. Allen enters the game for C. Miles,,96-109,,
0:38.0,,,98-109,,Defensive rebound by J. Withey
0:17.0,,,98-109,,B. Diaw misses 2-pt shot from 3 ft
0:17.0,Defensive rebound by K. Seraphin,,98-109,,
0:09.0,J. Teague makes 2-pt shot from 2 ft,2,100-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
