time,Miami,pts.away,score,pts.home,Minnesota
0:19.0,Turnover by J. Johnson (bad pass; steal by A. Wiggins),,114-113,,
0:11.0,,,114-113,,A. Wiggins misses 2-pt shot from 19 ft
0:09.0,Defensive rebound by H. Whiteside,,114-113,,
0:09.0,,,114-113,,Personal take foul by K. Towns (drawn by H. Whiteside)
0:09.0,H. Whiteside misses free throw 1 of 2,,114-113,,
0:09.0,Offensive rebound by Team,,114-113,,
0:09.0,H. Whiteside makes free throw 2 of 2,1,115-113,,
0:09.0,,,115-113,,Minnesota full timeout
0:09.0,,,114-113,,G. Dieng enters the game for S. Muhammad
0:09.0,,,115-113,,S. Muhammad enters the game for G. Dieng
0:01.0,,,115-113,,A. Wiggins misses 2-pt shot from 15 ft
0:00.0,Defensive rebound by D. Waiters,,115-113,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
