time,Denver,pts.away,score,pts.home,Miami
4:23.0,Defensive rebound by N. Jokic,,105-102,,
4:08.0,,,105-102,,Personal block foul by G. Dragic (drawn by E. Mudiay)
4:08.0,,,105-102,,T. Johnson enters the game for R. McGruder
4:08.0,,,105-102,,J. Johnson enters the game for O. White
3:56.0,G. Harris misses 3-pt shot from 27 ft,,105-102,,
3:55.0,,,105-102,,Defensive rebound by H. Whiteside
3:45.0,Shooting block foul by N. Jokic (drawn by G. Dragic),,105-102,,
3:45.0,,,105-103,1,G. Dragic makes free throw 1 of 2
3:45.0,,,105-104,1,G. Dragic makes free throw 2 of 2
3:25.0,D. Gallinari makes 2-pt shot from 18 ft,2,107-104,,
3:24.0,,,107-104,,Miami full timeout
3:07.0,,,107-104,,T. Johnson misses 2-pt shot from 1 ft (block by W. Chandler)
3:06.0,Defensive rebound by W. Chandler,,107-104,,
2:49.0,W. Chandler misses 3-pt shot from 25 ft,,107-104,,
2:48.0,,,107-104,,Defensive rebound by H. Whiteside
2:28.0,,,107-104,,J. Johnson misses 2-pt shot from 8 ft
2:27.0,Defensive rebound by N. Jokic,,107-104,,
2:11.0,D. Gallinari makes 3-pt shot from 24 ft (assist by N. Jokic),3,110-104,,
1:56.0,,,110-104,,Offensive foul by H. Whiteside
1:56.0,,,110-104,,Turnover by H. Whiteside (offensive foul)
1:38.0,N. Jokic misses 2-pt shot from 14 ft,,110-104,,
1:37.0,,,110-104,,Defensive rebound by T. Johnson
1:31.0,,,110-107,3,J. Richardson makes 3-pt shot from 24 ft (assist by G. Dragic)
1:17.0,E. Mudiay makes 2-pt shot from 6 ft,2,112-107,,
1:17.0,,,112-107,,Miami full timeout
1:08.0,,,112-110,3,J. Johnson makes 3-pt shot from 23 ft (assist by G. Dragic)
0:55.0,N. Jokic makes 2-pt shot from 20 ft (assist by E. Mudiay),2,114-110,,
0:42.0,,,114-110,,T. Johnson misses 2-pt shot from 11 ft (block by E. Mudiay)
0:41.0,Defensive rebound by G. Harris,,114-110,,
0:18.0,G. Harris misses 3-pt shot from 48 ft,,114-110,,
0:17.0,,,114-110,,Defensive rebound by Team
0:17.0,,,114-110,,Miami full timeout
0:17.0,M. Plumlee enters the game for N. Jokic,,114-110,,
0:17.0,,,114-110,,Miami full timeout
0:11.0,,,114-113,3,T. Johnson makes 3-pt shot from 26 ft (assist by J. Richardson)
0:11.0,Denver full timeout,,114-113,,
0:11.0,N. Jokic enters the game for W. Chandler,,114-113,,
0:11.0,J. Murray enters the game for M. Plumlee,,114-113,,
0:10.0,,,114-113,,Personal foul by T. Johnson (drawn by D. Gallinari)
0:10.0,Denver full timeout,,114-113,,
0:10.0,Denver full timeout,,114-113,,
0:10.0,,,114-113,,Personal foul by G. Dragic (drawn by J. Murray)
0:10.0,J. Murray makes free throw 1 of 2,1,115-113,,
0:10.0,J. Murray makes free throw 2 of 2,1,116-113,,
0:10.0,K. Faried enters the game for N. Jokic,,115-113,,
0:02.0,,,116-113,,J. Richardson misses 3-pt shot from 24 ft
0:00.0,,,116-113,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
