time,New Orleans,pts.away,score,pts.home,Boston
4:33.0,L. Galloway makes 3-pt shot from 26 ft (assist by T. Evans),3,99-109,,
4:08.0,Personal foul by L. Galloway (drawn by M. Smart),,99-109,,
4:08.0,,,99-109,,A. Johnson enters the game for K. Olynyk
4:08.0,J. Holiday enters the game for T. Evans,,99-109,,
4:01.0,,,99-112,3,I. Thomas makes 3-pt shot from 26 ft (assist by A. Horford)
3:54.0,Turnover by J. Holiday (lost ball),,99-112,,
3:41.0,,,99-115,3,I. Thomas makes 3-pt shot from 30 ft (assist by M. Smart)
3:18.0,A. Davis misses 2-pt shot from 17 ft,,99-115,,
3:17.0,Offensive rebound by D. Cunningham,,99-115,,
3:13.0,E. Moore misses 3-pt shot from 27 ft,,99-115,,
3:12.0,Offensive rebound by A. Davis,,99-115,,
3:09.0,A. Davis misses 2-pt shot from 1 ft,,99-115,,
3:07.0,Offensive rebound by A. Davis,,99-115,,
3:07.0,A. Davis makes 2-pt shot at rim,2,101-115,,
2:52.0,,,101-115,,Turnover by M. Smart (bad pass; steal by D. Cunningham)
2:44.0,D. Cunningham misses 3-pt shot from 28 ft,,101-115,,
2:43.0,,,101-115,,Defensive rebound by J. Crowder
2:24.0,,,101-115,,A. Horford misses 2-pt shot from 14 ft
2:23.0,Defensive rebound by L. Galloway,,101-115,,
2:23.0,New Orleans full timeout,,101-115,,
2:08.0,A. Davis makes 3-pt shot from 27 ft (assist by L. Galloway),3,104-115,,
1:40.0,,,104-115,,A. Horford misses 3-pt shot from 26 ft
1:39.0,Defensive rebound by A. Davis,,104-115,,
1:37.0,New Orleans full timeout,,104-115,,
1:23.0,A. Davis makes 2-pt shot from 12 ft,2,106-115,,
1:03.0,,,106-115,,I. Thomas misses 3-pt shot from 25 ft (block by J. Holiday)
1:01.0,Defensive rebound by L. Galloway,,106-115,,
0:54.0,J. Holiday misses 2-pt shot from 1 ft (block by A. Horford),,106-115,,
0:52.0,Offensive rebound by E. Moore,,106-115,,
0:51.0,E. Moore makes 2-pt shot from 8 ft,2,108-115,,
0:30.0,Personal foul by E. Moore (drawn by I. Thomas),,108-115,,
0:30.0,,,108-115,,K. Olynyk enters the game for A. Johnson
0:28.0,Personal take foul by L. Galloway (drawn by I. Thomas),,108-115,,
0:28.0,,,108-116,1,I. Thomas makes free throw 1 of 2
0:28.0,,,108-117,1,I. Thomas makes free throw 2 of 2
0:28.0,New Orleans full timeout,,108-117,,
0:22.0,L. Galloway misses 3-pt shot from 25 ft,,108-117,,
0:21.0,,,108-117,,Defensive rebound by M. Smart
0:00.0,End of 4th quarter,,,,End of 4th quarter
