time,Atlanta,pts.away,score,pts.home,Memphis
5:02.0,Turnover by K. Bazemore (bad pass; steal by V. Carter),,98-76,,
4:59.0,,,98-76,,Shooting foul by E. Ilyasova (drawn by A. Harrison)
4:59.0,,,98-76,,A. Harrison misses free throw 1 of 2
4:59.0,,,98-76,,Offensive rebound by Team
4:59.0,,,98-76,,A. Harrison misses free throw 2 of 2
4:58.0,Defensive rebound by E. Ilyasova,,98-76,,
4:39.0,E. Ilyasova misses 2-pt shot from 14 ft,,98-76,,
4:37.0,,,98-76,,Defensive rebound by A. Harrison
4:29.0,,,98-78,2,J. Green makes 2-pt shot from 21 ft (assist by A. Harrison)
4:03.0,Turnover by M. Muscala (lost ball; steal by A. Harrison),,98-78,,
3:48.0,,,98-78,,T. Allen misses 2-pt shot at rim
3:48.0,,,98-78,,Offensive rebound by Team
3:48.0,Jump ball: T. Allen vs. M. Muscala (J. Green gains possession),,,,Jump ball: T. Allen vs. M. Muscala (J. Green gains possession)
3:34.0,,,98-81,3,J. Green makes 3-pt shot from 25 ft (assist by Z. Randolph)
3:12.0,T. Waller-Prince makes 3-pt shot from 23 ft (assist by J. Calderon),3,101-81,,
3:05.0,,,101-81,,Shooting foul by J. Calderon (drawn by A. Harrison)
3:05.0,,,101-81,,A. Harrison misses free throw 1 of 3
3:05.0,,,101-81,,Offensive rebound by Team
3:05.0,,,101-82,1,A. Harrison makes free throw 2 of 3
3:05.0,,,101-83,1,A. Harrison makes free throw 3 of 3
2:52.0,Shooting foul by A. Harrison (drawn by E. Ilyasova),,101-83,,
2:52.0,,,101-83,,Technical foul by A. Harrison (drawn by E. Ilyasova)
2:52.0,Technical foul by E. Ilyasova,,101-83,,
2:52.0,,,101-83,,Memphis full timeout
2:52.0,E. Ilyasova makes free throw 1 of 2,1,102-83,,
2:52.0,E. Ilyasova makes free throw 2 of 2,1,103-83,,
2:52.0,,,101-83,,J. Ennis enters the game for Z. Randolph
2:52.0,,,101-83,,T. Douglas enters the game for T. Allen
2:52.0,,,101-83,,B. Wright enters the game for V. Carter
2:52.0,D. Bembry enters the game for K. Bazemore,,101-83,,
2:52.0,R. Kelly enters the game for M. Muscala,,101-83,,
2:33.0,,,103-83,,Shooting foul by E. Ilyasova (drawn by B. Wright)
2:33.0,,,103-84,1,B. Wright makes free throw 1 of 2
2:33.0,,,103-85,1,B. Wright makes free throw 2 of 2
2:33.0,K. Humphries enters the game for E. Ilyasova,,103-83,,
2:17.0,D. Bembry misses 2-pt shot from 1 ft (block by J. Green),,103-85,,
2:13.0,,,103-85,,Defensive rebound by A. Harrison
2:11.0,,,103-85,,A. Harrison misses 3-pt shot from 25 ft
2:09.0,,,103-85,,Offensive rebound by T. Douglas
2:09.0,,,103-87,2,T. Douglas makes 2-pt shot from 1 ft
2:02.0,Shooting foul by J. Green (drawn by R. Kelly),,103-87,,
2:02.0,R. Kelly misses free throw 1 of 2,,103-87,,
2:02.0,Offensive rebound by Team,,103-87,,
2:02.0,R. Kelly makes free throw 2 of 2,1,104-87,,
1:41.0,,,104-87,,Shooting foul by K. Humphries (drawn by J. Ennis)
1:41.0,,,104-87,,J. Ennis misses free throw 1 of 2
1:41.0,,,104-87,,Offensive rebound by Team
1:41.0,,,104-88,1,J. Ennis makes free throw 2 of 2
1:26.0,D. Bembry makes 2-pt shot from 5 ft,2,106-88,,
1:09.0,,,106-88,,A. Harrison misses 2-pt shot from 6 ft
1:06.0,Defensive rebound by K. Humphries,,106-88,,
1:03.0,D. Bembry misses 2-pt shot from 2 ft,,106-88,,
1:01.0,,,106-88,,Defensive rebound by J. Green
0:54.0,,,106-90,2,T. Douglas makes 2-pt shot from 1 ft
0:38.0,R. Kelly misses 2-pt shot from 8 ft,,106-90,,
0:35.0,,,106-90,,Defensive rebound by B. Wright
0:29.0,,,106-90,,B. Wright misses 2-pt shot from 2 ft (block by K. Humphries)
0:26.0,Defensive rebound by J. Calderon,,106-90,,
0:25.0,,,106-90,,Personal foul by T. Douglas (drawn by J. Calderon)
0:25.0,J. Calderon makes free throw 1 of 2,1,107-90,,
0:25.0,J. Calderon misses free throw 2 of 2,,107-90,,
0:25.0,Offensive rebound by K. Humphries,,107-90,,
0:20.0,K. Humphries misses 2-pt shot from 1 ft,,107-90,,
0:19.0,,,107-90,,Defensive rebound by J. Green
0:15.0,,,107-90,,T. Douglas misses 2-pt shot from 1 ft (block by T. Waller-Prince)
0:12.0,Defensive rebound by R. Kelly,,107-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
