time,Detroit,pts.away,score,pts.home,LA Lakers
10:01.0,R. Jackson misses 2-pt shot from 3 ft (block by T. Mozgov),,59-59,,
10:01.0,Offensive rebound by A. Baynes,,59-59,,
10:01.0,,,59-59,,Personal foul by N. Young (drawn by A. Baynes)
9:55.0,R. Jackson makes 2-pt shot from 1 ft,2,61-59,,
9:39.0,,,61-59,,L. Deng misses 2-pt shot from 12 ft (block by R. Bullock)
9:39.0,,,61-59,,Offensive rebound by Team
9:29.0,,,61-59,,Turnover by Team (shot clock)
9:11.0,M. Morris misses 3-pt shot from 25 ft,,61-59,,
9:10.0,,,61-59,,Defensive rebound by N. Young
9:04.0,,,61-59,,N. Young misses 3-pt shot from 26 ft
9:03.0,Defensive rebound by A. Baynes,,61-59,,
8:59.0,,,61-59,,Personal foul by J. Randle (drawn by A. Baynes)
8:51.0,R. Jackson misses 2-pt shot from 9 ft,,61-59,,
8:48.0,Offensive rebound by R. Jackson,,61-59,,
8:48.0,R. Jackson makes 2-pt shot from 1 ft,2,63-59,,
8:32.0,,,63-61,2,T. Mozgov makes 2-pt shot at rim (assist by D. Russell)
8:16.0,R. Jackson misses 2-pt shot from 12 ft,,63-61,,
8:15.0,,,63-61,,Defensive rebound by J. Randle
8:09.0,,,63-63,2,N. Young makes 2-pt shot from 1 ft (assist by J. Randle)
7:54.0,T. Harris misses 3-pt shot from 26 ft,,63-63,,
7:50.0,,,63-63,,Defensive rebound by D. Russell
7:40.0,,,63-65,2,T. Mozgov makes 2-pt shot from 2 ft (assist by L. Deng)
7:40.0,Detroit full timeout,,63-65,,
7:26.0,T. Harris makes 2-pt shot from 17 ft (assist by R. Jackson),2,65-65,,
7:12.0,,,65-65,,Offensive charge foul by D. Russell
7:12.0,,,65-65,,Turnover by D. Russell (offensive foul)
6:49.0,A. Baynes makes 2-pt shot from 4 ft (assist by R. Jackson),2,67-65,,
6:30.0,,,67-67,2,D. Russell makes 2-pt shot from 2 ft
6:04.0,M. Morris misses 2-pt shot from 10 ft,,67-67,,
6:03.0,,,67-67,,Defensive rebound by Team
5:51.0,,,67-67,,Turnover by D. Russell (bad pass)
5:37.0,M. Morris misses 2-pt shot from 18 ft,,67-67,,
5:33.0,,,67-67,,Defensive rebound by J. Randle
5:26.0,,,67-67,,Turnover by T. Mozgov (bad pass)
5:26.0,S. Johnson enters the game for M. Morris,,67-67,,
5:17.0,Turnover by R. Jackson (bad pass),,67-67,,
4:58.0,,,67-67,,L. Deng misses 3-pt shot from 23 ft
4:57.0,Defensive rebound by A. Baynes,,67-67,,
4:47.0,T. Harris misses 3-pt shot from 27 ft,,67-67,,
4:46.0,,,67-67,,Defensive rebound by T. Mozgov
4:36.0,,,67-67,,D. Russell misses 2-pt shot from 19 ft
4:33.0,,,67-67,,Offensive rebound by N. Young
4:23.0,,,67-67,,T. Mozgov misses 2-pt shot from 17 ft
4:21.0,,,67-67,,Offensive rebound by L. Deng
4:05.0,,,67-67,,D. Russell misses 2-pt shot from 4 ft
4:05.0,Defensive rebound by Team,,67-67,,
4:05.0,,,67-67,,T. Black enters the game for T. Mozgov
3:47.0,T. Harris misses 3-pt shot from 26 ft,,67-67,,
3:46.0,,,67-67,,Defensive rebound by N. Young
3:28.0,,,67-67,,Turnover by J. Randle (traveling)
3:28.0,A. Drummond enters the game for R. Jackson,,67-67,,
3:28.0,I. Smith enters the game for A. Baynes,,67-67,,
3:28.0,,,67-67,,L. Williams enters the game for L. Deng
3:28.0,,,67-67,,B. Ingram enters the game for N. Young
3:28.0,,,67-67,,J. Clarkson enters the game for D. Russell
3:18.0,T. Harris misses 2-pt shot from 18 ft,,67-67,,
3:17.0,,,67-67,,Defensive rebound by B. Ingram
3:05.0,,,67-67,,J. Clarkson misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by A. Drummond,,67-67,,
2:53.0,Shooting foul by T. Black (drawn by T. Harris),,67-67,,
2:53.0,,,67-67,,LA Lakers full timeout
2:53.0,T. Harris makes free throw 1 of 2,1,68-67,,
