time,New York,pts.away,score,pts.home,Phoenix
8:17.0,,,86-87,,Turnover by T. Chandler (offensive foul)
8:02.0,J. Holiday misses 3-pt shot from 25 ft,,86-87,,
8:00.0,,,86-87,,Defensive rebound by T. Chandler
7:52.0,,,86-87,,M. Chriss misses 3-pt shot from 22 ft
7:50.0,Defensive rebound by K. O'Quinn,,86-87,,
7:42.0,J. Holiday makes 2-pt shot at rim (assist by L. Thomas),2,88-87,,
7:21.0,,,88-89,2,E. Bledsoe makes 2-pt shot from 5 ft
7:02.0,R. Baker misses 3-pt shot from 25 ft,,88-89,,
7:01.0,,,88-89,,Defensive rebound by B. Knight
6:59.0,,,88-89,,Turnover by B. Knight (bad pass)
6:55.0,K. Porzingis misses 2-pt shot from 18 ft,,88-89,,
6:53.0,,,88-89,,Defensive rebound by T. Chandler
6:44.0,,,88-89,,Turnover by T. Chandler (bad pass)
6:29.0,K. Porzingis makes 2-pt shot at rim (assist by J. Holiday),2,90-89,,
6:02.0,,,90-89,,Turnover by Team (shot clock)
6:02.0,,,90-89,,L. Barbosa enters the game for B. Knight
5:48.0,K. Porzingis makes 2-pt shot from 19 ft,2,92-89,,
5:34.0,,,92-89,,D. Booker misses 2-pt shot from 19 ft
5:34.0,,,92-89,,Offensive rebound by Team
5:34.0,Loose ball foul by K. O'Quinn (drawn by D. Booker),,92-89,,
5:34.0,,,92-89,,Phoenix full timeout
5:27.0,,,92-89,,E. Bledsoe misses 2-pt shot from 3 ft
5:25.0,,,92-89,,Offensive rebound by T. Chandler
5:25.0,,,92-91,2,T. Chandler makes 2-pt shot at rim
5:11.0,J. Holiday misses 2-pt shot at rim,,92-91,,
5:07.0,,,92-91,,Defensive rebound by T. Chandler
5:02.0,,,92-91,,M. Chriss misses 2-pt shot from 18 ft
4:59.0,Defensive rebound by K. Porzingis,,92-91,,
4:54.0,K. Porzingis makes 3-pt shot from 28 ft (assist by R. Baker),3,95-91,,
4:30.0,,,95-91,,Shooting foul by K. Porzingis (drawn by E. Bledsoe)
4:30.0,,,95-92,1,E. Bledsoe makes free throw 1 of 2
4:30.0,,,95-93,1,E. Bledsoe makes free throw 2 of 2
4:30.0,,,95-92,,P. Tucker enters the game for M. Chriss
4:17.0,J. Holiday makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,97-93,,
4:02.0,,,97-93,,L. Barbosa misses 3-pt shot from 26 ft
4:00.0,,,97-93,,Offensive rebound by T. Chandler
4:00.0,Violation by L. Thomas (kicked ball),,97-93,,
3:44.0,,,97-93,,E. Bledsoe misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by K. O'Quinn,,97-93,,
3:26.0,K. Porzingis misses 2-pt shot from 7 ft (block by P. Tucker),,97-93,,
3:23.0,,,97-93,,Defensive rebound by P. Tucker
3:20.0,,,97-95,2,E. Bledsoe makes 2-pt shot from 1 ft
3:20.0,New York full timeout,,97-95,,
3:20.0,C. Anthony enters the game for K. O'Quinn,,97-95,,
3:20.0,,,97-95,,M. Chriss enters the game for L. Barbosa
3:06.0,R. Baker misses 2-pt shot from 1 ft,,97-95,,
3:04.0,Offensive rebound by R. Baker,,97-95,,
2:57.0,Shooting foul by T. Chandler (drawn by L. Thomas),,97-95,,
2:57.0,,,97-95,,Technical foul by T. Chandler (drawn by L. Thomas)
2:57.0,C. Anthony makes technical free throw,1,98-95,,
2:57.0,L. Thomas makes free throw 1 of 3,1,99-95,,
2:57.0,L. Thomas makes free throw 2 of 3,1,100-95,,
2:57.0,L. Thomas makes free throw 3 of 3,1,101-95,,
2:43.0,,,101-97,2,P. Tucker makes 2-pt shot from 2 ft
2:28.0,R. Baker misses 2-pt shot from 1 ft,,101-97,,
2:26.0,,,101-97,,Defensive rebound by P. Tucker
2:24.0,,,101-97,,Shooting foul by J. Holiday (drawn by E. Bledsoe)
2:24.0,,,101-98,1,E. Bledsoe makes free throw 1 of 2
2:24.0,,,101-99,1,E. Bledsoe makes free throw 2 of 2
2:09.0,Turnover by R. Baker (bad pass),,101-99,,
1:50.0,,,101-99,,D. Booker misses 3-pt shot from 26 ft
1:49.0,,,101-99,,Offensive rebound by P. Tucker
1:47.0,,,101-99,,P. Tucker misses 2-pt shot from 2 ft (block by K. Porzingis)
1:46.0,,,101-99,,Offensive rebound by T. Chandler
1:46.0,,,101-99,,Shooting foul by K. Porzingis (drawn by T. Chandler)
1:46.0,,,101-100,1,T. Chandler makes free throw 1 of 2
1:46.0,,,101-101,1,T. Chandler makes free throw 2 of 2
1:46.0,New York full timeout,,101-101,,
1:46.0,B. Jennings enters the game for R. Baker,,101-101,,
1:30.0,K. Porzingis misses 2-pt shot from 12 ft,,101-101,,
1:27.0,,,101-101,,Defensive rebound by P. Tucker
1:07.0,,,101-101,,E. Bledsoe misses 2-pt shot from 9 ft
1:03.0,Defensive rebound by C. Anthony,,101-101,,
0:45.0,C. Anthony misses 2-pt shot from 17 ft,,101-101,,
0:42.0,,,101-101,,Defensive rebound by P. Tucker
0:19.0,,,101-101,,D. Booker misses 3-pt shot from 26 ft
0:17.0,Defensive rebound by Team,,101-101,,
0:17.0,New York full timeout,,101-101,,
0:00.0,K. Porzingis misses 2-pt shot from 17 ft,,101-101,,
0:00.0,Offensive rebound by Team,,101-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: T. Chandler vs. K. Porzingis (B. Jennings gains possession),,,,Jump ball: T. Chandler vs. K. Porzingis (B. Jennings gains possession)
4:35.0,,,101-101,,Defensive rebound by M. Chriss
4:13.0,,,101-101,,D. Booker misses 2-pt shot from 11 ft
4:11.0,,,101-101,,Offensive rebound by T. Chandler
4:11.0,,,101-103,2,T. Chandler makes 2-pt shot at rim
3:56.0,K. O'Quinn makes 2-pt shot from 18 ft (assist by C. Anthony),2,103-103,,
3:39.0,,,103-103,,D. Booker misses 2-pt shot from 19 ft
3:37.0,Defensive rebound by K. Porzingis,,103-103,,
3:27.0,K. Porzingis makes 2-pt shot at rim (assist by K. O'Quinn),2,105-103,,
3:07.0,,,105-103,,E. Bledsoe misses 2-pt shot from 16 ft
3:04.0,,,105-103,,Offensive rebound by T. Chandler
2:51.0,,,105-103,,P. Tucker misses 2-pt shot from 11 ft
2:48.0,Defensive rebound by K. O'Quinn,,105-103,,
2:45.0,Turnover by B. Jennings (bad pass; steal by E. Bledsoe),,105-103,,
2:41.0,,,105-105,2,E. Bledsoe makes 2-pt shot from 1 ft
2:15.0,K. Porzingis misses 2-pt shot from 16 ft,,105-105,,
2:13.0,,,105-105,,Defensive rebound by E. Bledsoe
2:05.0,,,105-105,,P. Tucker misses 3-pt shot from 24 ft
2:02.0,Defensive rebound by J. Holiday,,105-105,,
1:58.0,J. Holiday misses 2-pt shot from 4 ft (block by M. Chriss),,105-105,,
1:58.0,Offensive rebound by Team,,105-105,,
1:54.0,K. Porzingis makes 3-pt shot from 25 ft (assist by C. Anthony),3,108-105,,
1:34.0,,,108-105,,Shooting foul by K. Porzingis (drawn by E. Bledsoe)
1:34.0,,,108-106,1,E. Bledsoe makes free throw 1 of 2
1:34.0,,,108-107,1,E. Bledsoe makes free throw 2 of 2
1:34.0,C. Lee enters the game for K. Porzingis,,108-105,,
1:34.0,,,108-106,,L. Barbosa enters the game for M. Chriss
1:15.0,K. O'Quinn misses 2-pt shot from 8 ft,,108-107,,
1:13.0,,,108-107,,Defensive rebound by T. Chandler
1:00.0,,,108-109,2,E. Bledsoe makes 2-pt shot from 10 ft
1:00.0,New York full timeout,,108-109,,
0:42.0,C. Anthony makes 2-pt shot from 15 ft,2,110-109,,
0:30.0,,,110-111,2,E. Bledsoe makes 2-pt shot from 2 ft
0:08.0,C. Anthony misses 2-pt shot from 18 ft,,110-111,,
0:06.0,Offensive rebound by K. O'Quinn,,110-111,,
0:06.0,Turnover by Team (shot clock),,110-111,,
0:06.0,,,110-111,,Phoenix full timeout
0:06.0,,,110-111,,J. Dudley enters the game for T. Chandler
0:06.0,L. Thomas enters the game for K. O'Quinn,,110-111,,
0:05.0,Personal take foul by J. Holiday (drawn by D. Booker),,110-111,,
0:05.0,,,110-112,1,D. Booker makes free throw 1 of 2
0:05.0,,,110-113,1,D. Booker makes free throw 2 of 2
0:05.0,New York full timeout,,110-113,,
0:05.0,,,110-113,,Personal take foul by P. Tucker (drawn by K. O'Quinn)
0:05.0,New York full timeout,,110-113,,
0:05.0,K. O'Quinn enters the game for L. Thomas,,110-112,,
0:05.0,,,110-112,,T. Chandler enters the game for J. Dudley
0:05.0,L. Thomas enters the game for J. Holiday,,110-113,,
0:04.0,,,110-113,,Personal foul by T. Chandler (drawn by K. O'Quinn)
0:04.0,K. O'Quinn makes free throw 1 of 2,1,111-113,,
0:04.0,K. O'Quinn misses free throw 2 of 2,,111-113,,
0:04.0,Offensive rebound by L. Thomas,,111-113,,
0:04.0,J. Holiday enters the game for B. Jennings,,111-113,,
0:04.0,,,111-113,,M. Chriss enters the game for L. Barbosa
0:01.0,L. Thomas misses 2-pt shot from 2 ft,,111-113,,
0:01.0,,,111-113,,Defensive rebound by P. Tucker
0:01.0,Personal foul by J. Holiday (drawn by P. Tucker),,111-113,,
0:01.0,,,111-113,,P. Tucker misses free throw 1 of 2
0:01.0,,,111-113,,Offensive rebound by Team
0:01.0,,,111-113,,P. Tucker misses free throw 2 of 2
0:01.0,,,111-113,,L. Barbosa enters the game for M. Chriss
0:00.0,Defensive rebound by K. O'Quinn,,111-113,,
0:00.0,K. O'Quinn misses 3-pt shot from 77 ft (block by T. Chandler),,111-113,,
0:00.0,Offensive rebound by Team,,111-113,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
