time,Boston,pts.away,score,pts.home,New Orleans
4:37.0,I. Thomas misses 3-pt shot from 27 ft,,95-98,,
4:36.0,,,95-98,,Defensive rebound by A. Davis
4:13.0,,,95-98,,A. Davis misses 2-pt shot from 13 ft
4:11.0,Defensive rebound by M. Smart,,95-98,,
4:01.0,J. Jerebko misses 3-pt shot from 26 ft,,95-98,,
4:01.0,,,95-98,,Defensive rebound by T. Jones
3:41.0,,,95-98,,A. Davis misses 3-pt shot from 26 ft
3:41.0,Defensive rebound by I. Thomas,,95-98,,
3:38.0,Boston full timeout,,95-98,,
3:38.0,I. Thomas misses 2-pt shot from 3 ft,,95-98,,
3:38.0,Offensive rebound by A. Johnson,,95-98,,
3:38.0,K. Olynyk enters the game for J. Jerebko,,95-98,,
3:27.0,A. Johnson makes 2-pt shot from 1 ft,2,97-98,,
3:15.0,,,97-98,,A. Davis misses 2-pt shot from 7 ft
3:14.0,Defensive rebound by A. Bradley,,97-98,,
2:54.0,A. Bradley makes 2-pt shot from 2 ft (assist by A. Johnson),2,99-98,,
2:45.0,,,99-98,,T. Jones misses 3-pt shot from 27 ft
2:44.0,Defensive rebound by M. Smart,,99-98,,
2:20.0,Turnover by K. Olynyk (bad pass; steal by S. Hill),,99-98,,
2:12.0,,,99-100,2,L. Galloway makes 2-pt shot from 22 ft
1:57.0,I. Thomas makes 3-pt shot from 27 ft,3,102-100,,
1:56.0,,,102-100,,New Orleans full timeout
1:48.0,,,102-100,,Turnover by L. Galloway (lost ball; steal by I. Thomas)
1:31.0,I. Thomas misses 2-pt shot from 7 ft,,102-100,,
1:31.0,,,102-100,,Defensive rebound by A. Davis
1:31.0,Loose ball foul by K. Olynyk (drawn by A. Davis),,102-100,,
1:31.0,,,102-101,1,A. Davis makes free throw 1 of 2
1:31.0,,,102-102,1,A. Davis makes free throw 2 of 2
1:20.0,K. Olynyk misses 3-pt shot from 26 ft,,102-102,,
1:20.0,Offensive rebound by M. Smart,,102-102,,
1:04.0,I. Thomas misses 3-pt shot from 26 ft,,102-102,,
1:03.0,,,102-102,,Defensive rebound by A. Davis
0:58.0,,,102-102,,New Orleans full timeout
0:38.0,,,102-102,,A. Davis misses 2-pt shot from 17 ft
0:37.0,Defensive rebound by K. Olynyk,,102-102,,
0:37.0,Boston full timeout,,102-102,,
0:33.0,Shooting foul by A. Davis (drawn by I. Thomas),,102-102,,
0:33.0,I. Thomas misses free throw 1 of 2,,102-102,,
0:33.0,Offensive rebound by Team,,102-102,,
0:33.0,I. Thomas makes free throw 2 of 2,1,103-102,,
0:33.0,,,103-102,,New Orleans full timeout
0:33.0,,,103-102,,B. Hield enters the game for S. Hill
0:27.0,,,103-102,,A. Davis misses 2-pt shot from 8 ft
0:25.0,,,103-102,,Offensive rebound by A. Davis
0:25.0,,,103-102,,Shooting foul by A. Johnson (drawn by A. Davis)
0:25.0,,,103-103,1,A. Davis makes free throw 1 of 2
0:25.0,,,103-104,1,A. Davis makes free throw 2 of 2
0:25.0,Boston full timeout,,103-104,,
0:25.0,T. Zeller enters the game for K. Olynyk,,103-103,,
0:25.0,,,103-103,,S. Hill enters the game for B. Hield
0:25.0,K. Olynyk enters the game for A. Johnson,,103-104,,
0:25.0,T. Rozier enters the game for T. Zeller,,103-104,,
0:18.0,A. Bradley misses 3-pt shot from 27 ft (block by A. Davis),,103-104,,
0:15.0,Offensive rebound by Team,,103-104,,
0:15.0,Turnover by M. Smart (bad pass; steal by T. Frazier),,103-104,,
0:15.0,Personal foul by A. Johnson (drawn by T. Frazier),,103-104,,
0:15.0,,,103-104,,T. Frazier misses free throw 1 of 2
0:15.0,,,103-104,,Offensive rebound by Team
0:15.0,,,103-105,1,T. Frazier makes free throw 2 of 2
0:15.0,Boston full timeout,,103-105,,
0:15.0,A. Johnson enters the game for T. Rozier,,103-104,,
0:15.0,T. Zeller enters the game for A. Johnson,,103-104,,
0:15.0,J. Mickey enters the game for K. Olynyk,,103-104,,
0:15.0,T. Rozier enters the game for J. Mickey,,103-105,,
0:15.0,K. Olynyk enters the game for T. Zeller,,103-105,,
0:15.0,,,103-105,,A. Goodwin enters the game for T. Jones
0:07.0,I. Thomas makes 2-pt shot from 3 ft,2,105-105,,
0:03.0,Personal foul by K. Olynyk (drawn by T. Frazier),,105-105,,
0:03.0,,,105-106,1,T. Frazier makes free throw 1 of 2
0:03.0,,,105-106,,T. Frazier misses free throw 2 of 2
0:03.0,T. Zeller enters the game for K. Olynyk,,105-105,,
0:03.0,,,105-105,,T. Jones enters the game for A. Goodwin
0:02.0,Defensive rebound by Team,,105-106,,
0:02.0,,,105-106,,A. Goodwin enters the game for T. Jones
0:00.0,,,105-106,,O. Asik enters the game for T. Frazier
0:00.0,,,105-106,,A. Ajinca enters the game for L. Galloway
0:00.0,,,105-106,,D. Cunningham enters the game for A. Goodwin
0:00.0,End of 4th quarter,,,,End of 4th quarter
