time,Portland,pts.away,score,pts.home,Milwaukee
3:41.0,A. Crabbe misses 2-pt shot from 10 ft,,99-103,,
3:40.0,Offensive rebound by M. Harkless,,99-103,,
3:40.0,Turnover by M. Harkless (lost ball),,99-103,,
3:27.0,,,99-103,,J. Parker misses 3-pt shot from 25 ft
3:26.0,Defensive rebound by M. Plumlee,,99-103,,
3:12.0,A. Crabbe misses 3-pt shot from 24 ft,,99-103,,
3:11.0,,,99-103,,Defensive rebound by T. Snell
2:59.0,,,99-105,2,M. Dellavedova makes 2-pt shot from 4 ft
2:58.0,Portland full timeout,,99-105,,
2:38.0,D. Lillard misses 3-pt shot from 27 ft,,99-105,,
2:37.0,,,99-105,,Defensive rebound by G. Antetokounmpo
2:18.0,,,99-105,,J. Henson misses 2-pt shot from 6 ft
2:16.0,,,99-105,,Offensive rebound by G. Antetokounmpo
2:04.0,,,99-107,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
1:39.0,Shooting foul by M. Dellavedova (drawn by M. Plumlee),,99-107,,
1:39.0,M. Plumlee makes free throw 1 of 2,1,100-107,,
1:39.0,M. Plumlee misses free throw 2 of 2,,100-107,,
1:38.0,,,100-107,,Defensive rebound by J. Henson
1:26.0,,,100-107,,Shooting foul by M. Harkless (drawn by G. Antetokounmpo)
1:26.0,,,100-108,1,G. Antetokounmpo makes free throw 1 of 2
1:26.0,,,100-109,1,G. Antetokounmpo makes free throw 2 of 2
1:14.0,M. Plumlee misses 2-pt shot at rim (block by G. Antetokounmpo),,100-109,,
1:14.0,Offensive rebound by M. Harkless,,100-109,,
1:14.0,M. Harkless makes 2-pt shot at rim,2,102-109,,
1:01.0,,,102-109,,T. Snell misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by C. McCollum,,102-109,,
0:56.0,A. Crabbe makes 3-pt shot from 25 ft (assist by C. McCollum),3,105-109,,
0:38.0,,,105-111,2,M. Dellavedova makes 2-pt shot from 5 ft
0:38.0,Portland full timeout,,105-111,,
0:38.0,M. Leonard enters the game for M. Plumlee,,105-111,,
0:35.0,Turnover by A. Crabbe (step out of bounds),,105-111,,
0:31.0,Personal take foul by A. Crabbe (drawn by G. Antetokounmpo),,105-111,,
0:31.0,,,105-112,1,G. Antetokounmpo makes free throw 1 of 2
0:31.0,,,105-113,1,G. Antetokounmpo makes free throw 2 of 2
0:31.0,Portland full timeout,,105-113,,
0:31.0,M. Plumlee enters the game for A. Crabbe,,105-112,,
0:31.0,A. Crabbe enters the game for M. Harkless,,105-113,,
0:29.0,D. Lillard misses 3-pt shot from 23 ft,,105-113,,
0:27.0,,,105-113,,Defensive rebound by J. Henson
0:26.0,Personal take foul by M. Leonard (drawn by J. Henson),,105-113,,
0:26.0,,,105-114,1,J. Henson makes free throw 1 of 2
0:26.0,,,105-115,1,J. Henson makes free throw 2 of 2
0:17.0,M. Plumlee makes 2-pt shot from 2 ft (assist by M. Leonard),2,107-115,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
