time,Washington,pts.away,score,pts.home,New York
3:55.0,Shooting foul by W. Hernangomez (drawn by J. Wall),,97-92,,
3:55.0,J. Wall misses free throw 1 of 2,,97-92,,
3:55.0,Offensive rebound by Team,,97-92,,
3:55.0,J. Wall misses free throw 2 of 2,,97-92,,
3:54.0,,,97-92,,Defensive rebound by C. Lee
3:39.0,Personal foul by M. Gortat (drawn by W. Hernangomez),,97-92,,
3:35.0,,,97-92,,J. Holiday misses 3-pt shot from 24 ft
3:34.0,,,97-92,,Offensive rebound by C. Lee
3:24.0,,,97-95,3,S. Vujacic makes 3-pt shot from 24 ft
3:23.0,Washington full timeout,,97-95,,
3:23.0,B. Beal enters the game for B. Jennings,,97-95,,
3:07.0,Turnover by B. Bogdanovic (lost ball; steal by C. Lee),,97-95,,
3:06.0,Personal foul by B. Bogdanovic (drawn by C. Lee),,97-95,,
2:50.0,,,97-97,2,J. Holiday makes 2-pt shot at rim (assist by S. Vujacic)
2:27.0,Shooting foul by C. Anthony (drawn by B. Beal),,97-97,,
2:27.0,B. Beal makes free throw 1 of 2,1,98-97,,
2:27.0,B. Beal makes free throw 2 of 2,1,99-97,,
2:15.0,,,99-97,,S. Vujacic misses 2-pt shot from 23 ft
2:13.0,Defensive rebound by K. Oubre,,99-97,,
1:56.0,J. Wall makes 2-pt shot at rim,2,101-97,,
1:40.0,,,101-99,2,C. Anthony makes 2-pt shot from 16 ft
1:27.0,J. Wall misses 2-pt shot from 2 ft,,101-99,,
1:25.0,,,101-99,,Defensive rebound by C. Anthony
1:17.0,,,101-99,,W. Hernangomez misses 2-pt shot from 1 ft (block by B. Beal)
1:16.0,,,101-99,,Offensive rebound by Team
1:16.0,,,101-99,,New York full timeout
1:10.0,,,101-101,2,C. Anthony makes 2-pt shot from 15 ft
0:50.0,B. Beal makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,104-101,,
0:32.0,,,104-101,,Shooting foul by K. Oubre (drawn by C. Anthony)
0:32.0,,,104-102,1,C. Anthony makes free throw 1 of 2
0:32.0,,,104-103,1,C. Anthony makes free throw 2 of 2
0:32.0,Washington full timeout,,104-103,,
0:10.0,Washington full timeout,,104-103,,
0:09.0,Shooting foul by J. Holiday (drawn by B. Beal),,104-103,,
0:09.0,B. Beal makes free throw 1 of 2,1,105-103,,
0:09.0,B. Beal makes free throw 2 of 2,1,106-103,,
0:09.0,,,106-103,,New York full timeout
0:09.0,,,105-103,,K. O'Quinn enters the game for C. Lee
0:09.0,,,106-103,,C. Lee enters the game for K. O'Quinn
0:09.0,B. Jennings enters the game for B. Bogdanovic,,106-103,,
0:03.0,,,106-103,,C. Anthony misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by J. Wall,,106-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
