time,Toronto,pts.away,score,pts.home,LA Clippers
4:11.0,D. DeRozan makes 2-pt shot from 14 ft,2,99-107,,
3:53.0,,,99-107,,Shooting foul by K. Lowry (drawn by B. Griffin)
3:53.0,,,99-108,1,B. Griffin makes free throw 1 of 2
3:53.0,,,99-108,,B. Griffin misses free throw 2 of 2
3:52.0,Defensive rebound by T. Ross,,99-108,,
3:37.0,D. DeRozan misses 2-pt shot from 1 ft,,99-108,,
3:37.0,,,99-108,,Defensive rebound by B. Griffin
3:32.0,,,99-108,,C. Paul misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by K. Lowry,,99-108,,
3:26.0,Shooting foul by B. Griffin (drawn by K. Lowry),,99-108,,
3:26.0,K. Lowry makes free throw 1 of 2,1,100-108,,
3:26.0,K. Lowry makes free throw 2 of 2,1,101-108,,
3:06.0,,,101-110,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
3:06.0,Toronto full timeout,,101-110,,
2:48.0,K. Lowry makes 2-pt shot from 1 ft,2,103-110,,
2:48.0,Shooting foul by J. Redick (drawn by K. Lowry),,103-110,,
2:48.0,K. Lowry makes free throw 1 of 1,1,104-110,,
2:25.0,,,104-113,3,C. Paul makes 3-pt shot from 23 ft (assist by B. Griffin)
1:59.0,T. Ross misses 2-pt shot from 12 ft,,104-113,,
1:57.0,,,104-113,,Defensive rebound by D. Jordan
1:54.0,,,104-115,2,C. Paul makes 2-pt shot from 4 ft
1:54.0,,,104-115,,Shooting foul by T. Ross (drawn by C. Paul)
1:54.0,,,104-116,1,C. Paul makes free throw 1 of 1
1:54.0,Toronto full timeout,,104-116,,
1:40.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan),2,106-116,,
1:40.0,Shooting foul by D. Jordan (drawn by J. Valanciunas),,106-116,,
1:40.0,J. Valanciunas makes free throw 1 of 1,1,107-116,,
1:17.0,,,107-118,2,B. Griffin makes 2-pt shot from 2 ft
1:14.0,Shooting foul by B. Griffin (drawn by P. Patterson),,107-118,,
1:14.0,P. Patterson makes free throw 1 of 3,1,108-118,,
1:14.0,P. Patterson makes free throw 2 of 3,1,109-118,,
1:14.0,P. Patterson makes free throw 3 of 3,1,110-118,,
0:54.0,,,110-118,,C. Paul misses 3-pt shot from 25 ft
0:53.0,Defensive rebound by P. Patterson,,110-118,,
0:43.0,T. Ross makes 2-pt shot from 22 ft,2,112-118,,
0:26.0,,,112-118,,Shooting foul by J. Valanciunas (drawn by D. Jordan)
0:26.0,,,112-118,,D. Jordan misses free throw 1 of 2
0:26.0,,,112-118,,Offensive rebound by Team
0:26.0,,,112-119,1,D. Jordan makes free throw 2 of 2
0:26.0,Toronto full timeout,,112-119,,
0:26.0,,,112-118,,L. Mbah a Moute enters the game for J. Crawford
0:22.0,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas),3,115-119,,
0:21.0,Personal foul by T. Ross (drawn by J. Redick),,115-119,,
0:21.0,,,115-120,1,J. Redick makes free throw 1 of 2
0:21.0,,,115-121,1,J. Redick makes free throw 2 of 2
0:09.0,K. Lowry misses 3-pt shot from 28 ft,,115-121,,
0:08.0,,,115-121,,Defensive rebound by J. Redick
0:06.0,Personal take foul by D. DeRozan (drawn by J. Redick),,115-121,,
0:06.0,,,115-122,1,J. Redick makes free throw 1 of 2
0:06.0,,,115-123,1,J. Redick makes free throw 2 of 2
0:04.0,Turnover by P. Patterson (bad pass; steal by C. Paul),,115-123,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
