time,Denver,pts.away,score,pts.home,Brooklyn
7:29.0,,,90-100,2,J. Harris makes 2-pt shot from 3 ft (assist by T. Booker)
7:11.0,W. Barton misses 3-pt shot from 23 ft,,90-100,,
7:10.0,Offensive rebound by W. Chandler,,90-100,,
7:05.0,W. Chandler makes 3-pt shot from 23 ft (assist by J. Murray),3,93-100,,
6:47.0,Personal foul by J. Nelson (drawn by I. Whitehead),,93-100,,
6:40.0,,,93-100,,J. Harris misses 2-pt shot from 13 ft
6:39.0,Defensive rebound by W. Chandler,,93-100,,
6:32.0,J. Nelson makes 2-pt shot from 20 ft,2,95-100,,
6:13.0,,,95-100,,Turnover by T. Booker (lost ball; steal by W. Chandler)
5:57.0,W. Chandler misses 3-pt shot from 26 ft,,95-100,,
5:56.0,Offensive rebound by K. Faried,,95-100,,
5:53.0,W. Barton misses 3-pt shot from 25 ft,,95-100,,
5:52.0,Offensive rebound by W. Chandler,,95-100,,
5:51.0,W. Chandler misses 2-pt shot from 1 ft (block by B. Lopez),,95-100,,
5:50.0,,,95-100,,Defensive rebound by B. Lopez
5:46.0,Official timeout,,95-100,,
5:40.0,,,95-100,,Shooting foul by J. Nelson (drawn by T. Booker)
5:40.0,,,95-100,,T. Booker misses free throw 1 of 2
5:40.0,,,95-100,,Offensive rebound by Team
5:40.0,,,95-101,1,T. Booker makes free throw 2 of 2
5:40.0,,,95-100,,B. Bogdanovic enters the game for I. Whitehead
5:29.0,W. Barton misses 3-pt shot from 23 ft,,95-101,,
5:27.0,,,95-101,,Defensive rebound by S. Kilpatrick
5:26.0,,,95-101,,Turnover by S. Kilpatrick (lost ball; steal by J. Nelson)
5:22.0,Turnover by J. Nelson (bad pass; steal by J. Harris),,95-101,,
4:58.0,,,95-103,2,T. Booker makes 2-pt shot from 6 ft
4:47.0,J. Nelson makes 2-pt shot from 9 ft,2,97-103,,
4:39.0,,,97-103,,B. Lopez misses 2-pt shot from 2 ft
4:38.0,Defensive rebound by J. Nelson,,97-103,,
4:33.0,K. Faried makes 2-pt shot from 5 ft (assist by J. Murray),2,99-103,,
4:25.0,Personal foul by W. Barton (drawn by S. Kilpatrick),,99-103,,
4:25.0,,,99-104,1,S. Kilpatrick makes free throw 1 of 2
4:25.0,,,99-105,1,S. Kilpatrick makes free throw 2 of 2
4:25.0,N. Jokic enters the game for J. Nelson,,99-104,,
4:07.0,W. Chandler misses 2-pt shot from 14 ft,,99-105,,
4:06.0,,,99-105,,Defensive rebound by S. Kilpatrick
3:56.0,,,99-105,,Shooting foul by K. Faried (drawn by S. Kilpatrick)
3:56.0,,,99-106,1,S. Kilpatrick makes free throw 1 of 2
3:56.0,,,99-107,1,S. Kilpatrick makes free throw 2 of 2
3:56.0,Denver full timeout,,99-107,,
3:56.0,J. Nelson enters the game for K. Faried,,99-107,,
3:44.0,J. Murray misses 2-pt shot from 17 ft,,99-107,,
3:43.0,,,99-107,,Defensive rebound by T. Booker
3:29.0,,,99-109,2,S. Kilpatrick makes 2-pt shot from 7 ft
3:19.0,J. Nelson misses 2-pt shot from 7 ft,,99-109,,
3:18.0,Offensive rebound by Team,,99-109,,
3:18.0,,,99-109,,Loose ball foul by S. Kilpatrick (drawn by N. Jokic)
3:10.0,J. Nelson misses 2-pt shot from 19 ft,,99-109,,
3:09.0,,,99-109,,Defensive rebound by S. Kilpatrick
2:53.0,,,99-109,,Turnover by T. Booker (lost ball; steal by J. Nelson)
2:46.0,J. Nelson misses 2-pt shot from 2 ft,,99-109,,
2:44.0,Offensive rebound by N. Jokic,,99-109,,
2:41.0,N. Jokic makes 2-pt shot from 1 ft,2,101-109,,
2:23.0,,,101-109,,Offensive foul by T. Booker
2:23.0,,,101-109,,Turnover by T. Booker (offensive foul)
2:06.0,W. Chandler misses 3-pt shot from 24 ft,,101-109,,
2:05.0,,,101-109,,Defensive rebound by S. Kilpatrick
1:46.0,Personal foul by W. Barton (drawn by J. Harris),,101-109,,
1:46.0,,,101-110,1,J. Harris makes free throw 1 of 2
1:46.0,,,101-111,1,J. Harris makes free throw 2 of 2
1:27.0,,,101-111,,Personal foul by J. Harris (drawn by J. Murray)
1:19.0,J. Nelson misses 2-pt shot from 2 ft (block by B. Lopez),,101-111,,
1:17.0,Offensive rebound by N. Jokic,,101-111,,
1:15.0,W. Chandler makes 3-pt shot from 26 ft (assist by N. Jokic),3,104-111,,
0:54.0,,,104-111,,B. Lopez misses 3-pt shot from 24 ft
0:53.0,Defensive rebound by J. Murray,,104-111,,
0:51.0,,,104-111,,Personal foul by B. Lopez (drawn by N. Jokic)
0:51.0,N. Jokic makes free throw 1 of 2,1,105-111,,
0:51.0,N. Jokic makes free throw 2 of 2,1,106-111,,
0:34.0,,,106-111,,S. Kilpatrick misses 2-pt shot from 2 ft (block by N. Jokic)
0:32.0,Defensive rebound by N. Jokic,,106-111,,
0:24.0,W. Barton misses 3-pt shot from 24 ft,,106-111,,
0:23.0,Offensive rebound by J. Nelson,,106-111,,
0:20.0,J. Nelson misses 2-pt shot from 22 ft,,106-111,,
0:19.0,Offensive rebound by W. Barton,,106-111,,
0:16.0,W. Chandler makes 3-pt shot from 23 ft (assist by W. Barton),3,109-111,,
0:16.0,,,109-111,,Brooklyn full timeout
0:16.0,K. Faried enters the game for N. Jokic,,109-111,,
0:14.0,Personal foul by J. Nelson (drawn by T. Booker),,109-111,,
0:14.0,,,109-111,,T. Booker misses free throw 1 of 2
0:14.0,,,109-111,,Offensive rebound by Team
0:14.0,,,109-112,1,T. Booker makes free throw 2 of 2
0:14.0,Denver full timeout,,109-112,,
0:14.0,Turnover by J. Nelson (bad pass),,109-112,,
0:14.0,,,109-112,,Brooklyn full timeout
0:14.0,N. Jokic enters the game for W. Barton,,109-111,,
0:14.0,W. Barton enters the game for K. Faried,,109-112,,
0:14.0,,,109-112,,I. Whitehead enters the game for B. Lopez
0:14.0,K. Faried enters the game for N. Jokic,,109-112,,
0:14.0,,,109-112,,B. Lopez enters the game for T. Booker
0:14.0,,,109-112,,R. Foye enters the game for I. Whitehead
0:13.0,Personal foul by W. Barton (drawn by B. Bogdanovic),,109-112,,
0:13.0,,,109-113,1,B. Bogdanovic makes free throw 1 of 2
0:13.0,,,109-114,1,B. Bogdanovic makes free throw 2 of 2
0:13.0,Denver full timeout,,109-114,,
0:13.0,,,109-113,,I. Whitehead enters the game for R. Foye
0:13.0,,,109-113,,T. Booker enters the game for B. Lopez
0:13.0,N. Jokic enters the game for K. Faried,,109-114,,
0:09.0,W. Chandler makes 2-pt shot from 2 ft,2,111-114,,
0:09.0,Personal foul by W. Chandler (drawn by S. Kilpatrick),,111-114,,
0:09.0,,,111-115,1,S. Kilpatrick makes free throw 1 of 2
0:09.0,,,111-116,1,S. Kilpatrick makes free throw 2 of 2
0:04.0,J. Nelson misses 2-pt shot from 23 ft,,111-116,,
0:02.0,,,111-116,,Defensive rebound by J. Harris
0:00.0,End of 4th quarter,,,,End of 4th quarter
