time,LA Clippers,pts.away,score,pts.home,Utah
6:48.0,LA Clippers full timeout,,87-82,,
6:48.0,D. Jordan enters the game for M. Speights,,87-82,,
6:48.0,L. Mbah a Moute enters the game for W. Johnson,,87-82,,
6:48.0,,,87-82,,D. Favors enters the game for R. Gobert
6:37.0,Turnover by C. Paul (traveling),,87-82,,
6:19.0,,,87-85,3,J. Johnson makes 3-pt shot from 24 ft
5:58.0,J. Redick misses 3-pt shot from 24 ft,,87-85,,
5:58.0,,,87-85,,Defensive rebound by D. Favors
5:42.0,,,87-87,2,J. Johnson makes 2-pt shot from 8 ft
5:14.0,C. Paul misses 3-pt shot from 24 ft,,87-87,,
5:14.0,Offensive rebound by D. Jordan,,87-87,,
5:02.0,Shooting foul by S. Mack (drawn by C. Paul),,87-87,,
5:02.0,C. Paul makes free throw 1 of 3,1,88-87,,
5:02.0,C. Paul makes free throw 2 of 3,1,89-87,,
5:02.0,C. Paul makes free throw 3 of 3,1,90-87,,
5:02.0,,,89-87,,R. Hood enters the game for S. Mack
5:02.0,J. Crawford enters the game for R. Felton,,89-87,,
4:37.0,,,90-89,2,J. Johnson makes 2-pt shot from 9 ft
4:09.0,C. Paul misses 2-pt shot from 21 ft,,90-89,,
4:07.0,Offensive rebound by D. Jordan,,90-89,,
4:06.0,D. Jordan misses 2-pt shot from 2 ft,,90-89,,
4:05.0,,,90-89,,Defensive rebound by D. Favors
3:55.0,,,90-91,2,J. Johnson makes 2-pt shot from 11 ft
3:55.0,LA Clippers full timeout,,90-91,,
3:42.0,Turnover by J. Crawford (lost ball; steal by R. Hood),,90-91,,
3:24.0,,,90-94,3,J. Ingles makes 3-pt shot from 25 ft (assist by J. Johnson)
3:05.0,,,90-94,,Personal foul by J. Ingles
3:05.0,J. Redick makes free throw 1 of 2,1,91-94,,
3:05.0,J. Redick makes free throw 2 of 2,1,92-94,,
2:41.0,,,92-94,,Turnover by J. Ingles (bad pass; steal by L. Mbah a Moute)
2:32.0,J. Crawford misses 2-pt shot from 4 ft,,92-94,,
2:31.0,,,92-94,,Defensive rebound by J. Johnson
2:13.0,,,92-97,3,R. Hood makes 3-pt shot from 27 ft (assist by J. Johnson)
1:51.0,J. Redick misses 3-pt shot from 26 ft,,92-97,,
1:50.0,,,92-97,,Defensive rebound by J. Johnson
1:30.0,,,92-99,2,R. Hood makes 2-pt shot from 9 ft
1:30.0,LA Clippers full timeout,,92-99,,
1:20.0,C. Paul makes 2-pt shot from 13 ft,2,94-99,,
0:58.0,,,94-102,3,J. Ingles makes 3-pt shot from 24 ft (assist by J. Johnson)
0:52.0,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul),2,96-102,,
0:51.0,Personal foul by C. Paul (drawn by G. Hill),,96-102,,
0:51.0,R. Felton enters the game for J. Crawford,,96-102,,
0:29.0,,,96-102,,J. Johnson misses 2-pt shot from 11 ft
0:29.0,,,96-102,,Offensive rebound by Team
0:29.0,Loose ball foul by C. Paul (drawn by D. Favors),,96-102,,
0:29.0,,,96-102,,D. Favors misses free throw 1 of 2
0:29.0,,,96-102,,Offensive rebound by Team
0:29.0,,,96-103,1,D. Favors makes free throw 2 of 2
0:29.0,M. Speights enters the game for D. Jordan,,96-102,,
0:29.0,J. Crawford enters the game for L. Mbah a Moute,,96-102,,
0:20.0,C. Paul misses 3-pt shot from 25 ft,,96-103,,
0:20.0,,,96-103,,Defensive rebound by J. Johnson
0:18.0,Personal foul by C. Paul (drawn by J. Johnson),,96-103,,
0:18.0,Violation by Team (jump ball),,96-103,,
0:18.0,,,96-104,1,J. Johnson makes free throw 1 of 2
0:18.0,,,96-105,1,J. Johnson makes free throw 2 of 2
