time,Philadelphia,pts.away,score,pts.home,Golden State
8:16.0,Defensive rebound by T. McConnell,,70-62,,
8:06.0,R. Covington misses 2-pt shot from 22 ft,,70-62,,
8:06.0,,,70-62,,Defensive rebound by D. Green
7:59.0,,,70-62,,Shooting foul by R. Covington (drawn by J. McAdoo)
7:59.0,,,70-62,,J. McAdoo misses free throw 1 of 2
7:59.0,,,70-62,,Offensive rebound by Team
7:59.0,,,70-62,,J. McAdoo misses free throw 2 of 2
7:59.0,N. Stauskas enters the game for R. Covington,,70-62,,
7:59.0,,,70-62,,A. Iguodala enters the game for P. McCaw
7:58.0,Defensive rebound by J. Okafor,,70-62,,
7:47.0,D. Saric makes 3-pt shot from 26 ft (assist by T. McConnell),3,73-62,,
7:30.0,,,73-62,,K. Thompson misses 2-pt shot from 15 ft
7:28.0,,,73-62,,Offensive rebound by J. McAdoo
7:21.0,,,73-65,3,S. Curry makes 3-pt shot from 27 ft
7:09.0,Turnover by T. McConnell (bad pass; steal by D. Green),,73-65,,
7:04.0,,,73-67,2,A. Iguodala makes 2-pt shot at rim (assist by D. Green)
6:45.0,D. Saric makes 2-pt shot from 11 ft (assist by T. McConnell),2,75-67,,
6:28.0,,,75-67,,S. Curry misses 2-pt shot from 3 ft
6:27.0,,,75-67,,Offensive rebound by D. Green
6:27.0,,,75-67,,D. Green misses 2-pt shot from 2 ft
6:26.0,Defensive rebound by T. McConnell,,75-67,,
6:24.0,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by T. McConnell),2,77-67,,
6:24.0,,,77-67,,Golden State full timeout
6:24.0,R. Holmes enters the game for J. Okafor,,77-67,,
6:10.0,,,77-67,,K. Thompson misses 2-pt shot from 7 ft (block by R. Holmes)
6:10.0,,,77-67,,Offensive rebound by Team
6:00.0,,,77-67,,S. Curry misses 2-pt shot from 1 ft
5:58.0,,,77-67,,Offensive rebound by J. McAdoo
5:58.0,,,77-67,,J. McAdoo misses 2-pt shot from 1 ft
5:57.0,Defensive rebound by D. Saric,,77-67,,
5:38.0,Turnover by D. Saric (bad pass; steal by J. McAdoo),,77-67,,
5:37.0,Personal foul by T. McConnell,,77-67,,
5:24.0,,,77-67,,Shooting foul by T. McConnell (drawn by K. Thompson)
5:24.0,,,77-68,1,K. Thompson makes free throw 1 of 2
5:24.0,,,77-69,1,K. Thompson makes free throw 2 of 2
5:24.0,,,77-68,,M. Barnes enters the game for D. Green
5:12.0,Turnover by D. Saric (traveling),,77-69,,
5:05.0,,,77-69,,K. Thompson misses 3-pt shot from 26 ft
5:05.0,Defensive rebound by T. McConnell,,77-69,,
4:59.0,R. Holmes makes 2-pt shot at rim (assist by D. Saric),2,79-69,,
4:46.0,,,79-69,,S. Curry misses 2-pt shot from 10 ft
4:45.0,Defensive rebound by T. Luwawu-Cabarrot,,79-69,,
4:37.0,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by T. McConnell),2,81-69,,
4:28.0,,,81-69,,Turnover by M. Barnes (bad pass)
4:28.0,,,81-69,,I. Clark enters the game for S. Curry
4:28.0,R. Covington enters the game for D. Saric,,81-69,,
4:11.0,R. Covington misses 2-pt shot from 1 ft,,81-69,,
4:10.0,,,81-69,,Defensive rebound by M. Barnes
4:05.0,,,81-69,,A. Iguodala misses 2-pt shot from 1 ft
4:05.0,Defensive rebound by R. Holmes,,81-69,,
