time,Boston,pts.away,score,pts.home,Phoenix
8:58.0,Shooting foul by D. Booker (drawn by I. Thomas),,79-84,,
8:58.0,Official timeout,,79-84,,
8:58.0,I. Thomas makes free throw 1 of 3,1,80-84,,
8:58.0,I. Thomas makes free throw 2 of 3,1,81-84,,
8:58.0,I. Thomas makes free throw 3 of 3,1,82-84,,
8:58.0,,,79-84,,E. Bledsoe enters the game for D. Booker
8:37.0,,,82-84,,Shooting foul by K. Olynyk (drawn by E. Bledsoe)
8:37.0,,,82-85,1,E. Bledsoe makes free throw 1 of 2
8:37.0,,,82-86,1,E. Bledsoe makes free throw 2 of 2
8:23.0,T. Rozier misses 2-pt shot from 14 ft,,82-86,,
8:21.0,,,82-86,,Defensive rebound by J. Dudley
8:19.0,,,82-86,,Turnover by J. Dudley (bad pass; steal by T. Rozier)
8:15.0,I. Thomas makes 3-pt shot from 25 ft (assist by J. Mickey),3,85-86,,
7:47.0,,,85-88,2,A. Williams makes 2-pt shot from 2 ft (assist by E. Bledsoe)
7:29.0,I. Thomas misses 3-pt shot from 25 ft,,85-88,,
7:27.0,Offensive rebound by T. Rozier,,85-88,,
7:18.0,G. Green misses 3-pt shot from 25 ft,,85-88,,
7:16.0,,,85-88,,Defensive rebound by A. Williams
6:57.0,,,85-91,3,E. Bledsoe makes 3-pt shot from 25 ft
6:56.0,Boston full timeout,,85-91,,
6:56.0,J. Crowder enters the game for G. Green,,85-91,,
6:56.0,M. Smart enters the game for J. Mickey,,85-91,,
6:56.0,,,85-91,,M. Chriss enters the game for J. Dudley
6:31.0,I. Thomas misses 3-pt shot from 25 ft,,85-91,,
6:29.0,,,85-91,,Defensive rebound by A. Williams
6:13.0,,,85-91,,A. Williams misses 2-pt shot from 2 ft (block by K. Olynyk)
6:11.0,Defensive rebound by M. Smart,,85-91,,
6:00.0,,,85-91,,Personal foul by D. Jones (drawn by K. Olynyk)
6:00.0,A. Johnson enters the game for K. Olynyk,,85-91,,
6:00.0,,,85-91,,T. Warren enters the game for D. Jones
5:54.0,J. Crowder misses 3-pt shot from 25 ft,,85-91,,
5:52.0,,,85-91,,Defensive rebound by A. Williams
5:37.0,,,85-91,,E. Bledsoe misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by A. Johnson,,85-91,,
5:29.0,Shooting foul by T. Warren (drawn by M. Smart),,85-91,,
5:29.0,M. Smart makes free throw 1 of 2,1,86-91,,
5:29.0,M. Smart makes free throw 2 of 2,1,87-91,,
5:29.0,J. Brown enters the game for T. Rozier,,86-91,,
5:29.0,,,86-91,,D. Booker enters the game for A. Williams
5:22.0,,,87-91,,Turnover by E. Bledsoe (bad pass; steal by M. Smart)
5:10.0,J. Brown makes 3-pt shot from 24 ft (assist by I. Thomas),3,90-91,,
4:50.0,,,90-91,,M. Chriss misses 3-pt shot from 25 ft
4:48.0,Defensive rebound by I. Thomas,,90-91,,
4:41.0,I. Thomas makes 3-pt shot from 24 ft,3,93-91,,
4:39.0,,,93-91,,Phoenix full timeout
4:39.0,,,93-91,,A. Williams enters the game for M. Chriss
4:31.0,,,93-93,2,D. Booker makes 2-pt shot from 17 ft (assist by E. Bledsoe)
4:19.0,Offensive foul by M. Smart,,93-93,,
4:19.0,Turnover by M. Smart (offensive foul),,93-93,,
4:02.0,,,93-93,,T. Ulis misses 2-pt shot from 15 ft
3:59.0,Defensive rebound by J. Crowder,,93-93,,
3:53.0,I. Thomas misses 2-pt shot at rim,,93-93,,
3:50.0,Offensive rebound by A. Johnson,,93-93,,
3:49.0,A. Johnson makes 2-pt shot from 2 ft,2,95-93,,
3:22.0,,,95-95,2,T. Warren makes 2-pt shot from 8 ft
2:55.0,J. Brown misses 2-pt shot from 7 ft (block by T. Warren),,95-95,,
2:53.0,Offensive rebound by Team,,95-95,,
2:53.0,Turnover by Team (shot clock),,95-95,,
2:42.0,,,95-97,2,E. Bledsoe makes 2-pt shot from 22 ft
2:30.0,I. Thomas makes 2-pt shot at rim,2,97-97,,
2:15.0,Personal foul by A. Johnson (drawn by A. Williams),,97-97,,
2:15.0,,,97-98,1,A. Williams makes free throw 1 of 2
2:15.0,,,97-98,,A. Williams misses free throw 2 of 2
2:14.0,Defensive rebound by J. Brown,,97-98,,
1:59.0,A. Johnson makes 2-pt shot at rim (assist by I. Thomas),2,99-98,,
1:41.0,,,99-100,2,A. Williams makes 2-pt shot from 1 ft (assist by T. Ulis)
1:32.0,Boston full timeout,,99-100,,
1:32.0,K. Olynyk enters the game for A. Johnson,,99-100,,
1:26.0,I. Thomas makes 2-pt shot from 2 ft,2,101-100,,
1:13.0,,,101-100,,E. Bledsoe misses 2-pt shot from 6 ft
1:11.0,Defensive rebound by J. Crowder,,101-100,,
1:03.0,J. Crowder misses 3-pt shot from 25 ft,,101-100,,
1:01.0,,,101-100,,Defensive rebound by E. Bledsoe
0:53.0,,,101-100,,T. Warren misses 2-pt shot from 16 ft
0:53.0,,,101-100,,Offensive rebound by A. Williams
0:51.0,,,101-100,,A. Williams misses 2-pt shot from 2 ft
0:51.0,,,101-100,,Offensive rebound by A. Williams
0:51.0,,,101-102,2,A. Williams makes 2-pt shot from 2 ft
0:51.0,,,101-102,,Shooting foul by K. Olynyk (drawn by A. Williams)
0:51.0,,,101-102,,A. Williams misses free throw 1 of 1
0:50.0,Defensive rebound by J. Crowder,,101-102,,
0:49.0,Boston full timeout,,101-102,,
0:49.0,A. Johnson enters the game for K. Olynyk,,101-102,,
0:42.0,J. Crowder makes 2-pt shot from 1 ft (assist by M. Smart),2,103-102,,
0:42.0,Shooting foul by A. Williams (drawn by J. Crowder),,103-102,,
0:42.0,J. Crowder makes free throw 1 of 1,1,104-102,,
0:42.0,,,104-102,,Phoenix full timeout
0:42.0,T. Rozier enters the game for I. Thomas,,103-102,,
0:42.0,,,103-102,,M. Chriss enters the game for D. Booker
0:42.0,,,103-102,,A. Len enters the game for T. Ulis
0:42.0,,,104-102,,T. Ulis enters the game for M. Chriss
0:42.0,,,104-102,,J. Dudley enters the game for A. Len
0:42.0,,,104-102,,D. Booker enters the game for A. Williams
0:42.0,J. Jerebko enters the game for A. Johnson,,104-102,,
0:25.0,,,104-102,,Phoenix full timeout
0:22.0,,,104-102,,D. Booker misses 2-pt shot from 17 ft
0:21.0,Defensive rebound by J. Brown,,104-102,,
0:21.0,,,104-102,,Personal take foul by J. Dudley (drawn by J. Brown)
0:21.0,J. Brown misses free throw 1 of 2,,104-102,,
0:21.0,Offensive rebound by Team,,104-102,,
0:21.0,J. Brown makes free throw 2 of 2,1,105-102,,
0:21.0,,,104-102,,M. Chriss enters the game for T. Warren
0:14.0,,,105-104,2,E. Bledsoe makes 2-pt shot from 1 ft
0:14.0,Boston full timeout,,105-104,,
0:14.0,I. Thomas enters the game for J. Jerebko,,105-104,,
0:14.0,,,105-104,,L. Barbosa enters the game for D. Booker
0:14.0,,,105-104,,T. Warren enters the game for J. Dudley
0:12.0,,,105-104,,Personal take foul by T. Ulis (drawn by I. Thomas)
0:12.0,I. Thomas misses free throw 1 of 2,,105-104,,
0:12.0,Offensive rebound by Team,,105-104,,
0:12.0,I. Thomas makes free throw 2 of 2,1,106-104,,
0:12.0,,,105-104,,D. Booker enters the game for T. Warren
0:12.0,,,105-104,,J. Dudley enters the game for L. Barbosa
0:04.0,,,106-106,2,E. Bledsoe makes 2-pt shot from 1 ft
0:02.0,Turnover by J. Crowder (bad pass; steal by M. Chriss),,106-106,,
0:00.0,,,106-109,3,T. Ulis makes 3-pt shot from 25 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
