time,Brooklyn,pts.away,score,pts.home,Philadelphia
7:22.0,,,91-63,,N. Stauskas enters the game for T. Luwawu-Cabarrot
7:08.0,,,91-63,,N. Stauskas misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by R. Hollis-Jefferson,,91-63,,
6:57.0,Turnover by J. Lin (bad pass; steal by D. Saric),,91-63,,
6:48.0,,,91-63,,T. McConnell misses 2-pt shot from 2 ft (block by C. LeVert)
6:46.0,Defensive rebound by B. Lopez,,91-63,,
6:40.0,C. LeVert makes 2-pt shot from 1 ft (assist by J. Lin),2,93-63,,
6:18.0,,,93-65,2,D. Saric makes 2-pt shot from 1 ft
6:08.0,,,93-65,,Personal block foul by D. Saric (drawn by R. Foye)
6:08.0,,,93-65,,G. Henderson enters the game for J. Anderson
6:02.0,Shooting foul by N. Stauskas (drawn by B. Lopez),,93-65,,
6:02.0,B. Lopez makes free throw 1 of 2,1,94-65,,
6:02.0,B. Lopez makes free throw 2 of 2,1,95-65,,
5:57.0,,,95-65,,G. Henderson misses 2-pt shot from 5 ft
5:56.0,Defensive rebound by Team,,95-65,,
5:36.0,R. Foye makes 3-pt shot from 25 ft (assist by C. LeVert),3,98-65,,
5:22.0,K. McDaniels enters the game for C. LeVert,,98-65,,
5:22.0,,,98-65,,Turnover by N. Stauskas (lost ball; steal by J. Lin)
5:22.0,Jump ball: J. Lin vs. N. Stauskas (B. Lopez gains possession),,,,Jump ball: J. Lin vs. N. Stauskas (B. Lopez gains possession)
5:16.0,,,98-65,,Personal foul by N. Stauskas
5:15.0,,,98-65,,Violation by G. Henderson (kicked ball)
5:06.0,J. Lin makes 2-pt shot from 16 ft,2,100-65,,
4:50.0,,,100-67,2,R. Holmes makes 2-pt shot from 19 ft (assist by T. McConnell)
4:34.0,Turnover by J. Lin (bad pass),,100-67,,
4:34.0,,,100-67,,A. Poythress enters the game for D. Saric
4:34.0,T. Booker enters the game for R. Hollis-Jefferson,,100-67,,
4:21.0,,,100-67,,R. Holmes misses 2-pt shot from 10 ft
4:20.0,Defensive rebound by J. Lin,,100-67,,
4:20.0,,,100-67,,Technical foul by R. Holmes
4:20.0,,,100-67,,Technical foul by Team
4:20.0,R. Foye makes technical free throw,1,101-67,,
4:20.0,R. Foye makes technical free throw,1,102-67,,
4:20.0,Q. Acy enters the game for B. Lopez,,102-67,,
4:20.0,S. Dinwiddie enters the game for J. Lin,,102-67,,
4:05.0,K. McDaniels misses 3-pt shot from 25 ft,,102-67,,
4:04.0,,,102-67,,Defensive rebound by N. Stauskas
3:54.0,Shooting block foul by Q. Acy (drawn by A. Poythress),,102-67,,
3:54.0,,,102-67,,A. Poythress misses free throw 1 of 2
3:54.0,,,102-67,,Offensive rebound by Team
3:54.0,,,102-68,1,A. Poythress makes free throw 2 of 2
3:45.0,Turnover by Q. Acy (lost ball; steal by A. Poythress),,102-68,,
3:24.0,,,102-70,2,N. Stauskas makes 2-pt shot from 2 ft
3:08.0,Turnover by K. McDaniels (lost ball),,102-70,,
3:08.0,,,102-70,,S. Long enters the game for R. Holmes
3:08.0,,,102-70,,T. Luwawu-Cabarrot enters the game for T. McConnell
3:00.0,,,102-70,,Turnover by N. Stauskas (lost ball; steal by R. Foye)
2:57.0,Shooting foul by N. Stauskas (drawn by R. Foye),,102-70,,
2:57.0,R. Foye makes free throw 1 of 2,1,103-70,,
2:57.0,R. Foye makes free throw 2 of 2,1,104-70,,
2:47.0,,,104-70,,G. Henderson misses 3-pt shot from 24 ft
2:46.0,,,104-70,,Offensive rebound by S. Long
2:45.0,,,104-70,,S. Long misses 2-pt shot from 1 ft
2:43.0,Defensive rebound by Q. Acy,,104-70,,
2:35.0,T. Booker misses 2-pt shot from 2 ft,,104-70,,
2:34.0,,,104-70,,Defensive rebound by G. Henderson
2:27.0,,,104-70,,A. Poythress misses 2-pt shot from 11 ft
2:26.0,,,104-70,,Offensive rebound by S. Long
2:25.0,,,104-72,2,S. Long makes 2-pt shot from 2 ft
2:01.0,R. Foye misses 3-pt shot from 25 ft,,104-72,,
2:00.0,,,104-72,,Defensive rebound by S. Long
1:51.0,,,104-72,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by S. Dinwiddie,,104-72,,
1:43.0,Q. Acy misses 3-pt shot from 25 ft,,104-72,,
1:42.0,,,104-72,,Defensive rebound by T. Luwawu-Cabarrot
1:22.0,,,104-72,,Shooting foul by R. Foye (drawn by N. Stauskas)
1:22.0,,,104-73,1,N. Stauskas makes free throw 1 of 2
1:22.0,,,104-74,1,N. Stauskas makes free throw 2 of 2
1:09.0,S. Dinwiddie makes 2-pt shot from 3 ft (assist by T. Booker),2,106-74,,
1:09.0,Shooting foul by N. Stauskas (drawn by S. Dinwiddie),,106-74,,
1:09.0,S. Dinwiddie makes free throw 1 of 1,1,107-74,,
1:09.0,,,106-74,,T. McConnell enters the game for N. Stauskas
0:57.0,,,107-74,,G. Henderson misses 2-pt shot from 17 ft
0:55.0,,,107-74,,Offensive rebound by A. Poythress
0:47.0,,,107-77,3,T. Luwawu-Cabarrot makes 3-pt shot from 23 ft (assist by T. McConnell)
0:27.0,T. Booker makes 2-pt shot from 6 ft (assist by R. Foye),2,109-77,,
0:06.0,,,109-77,,T. McConnell misses 2-pt shot from 5 ft
0:05.0,Defensive rebound by Team,,109-77,,
0:05.0,,,109-77,,Personal foul by T. Luwawu-Cabarrot (drawn by R. Foye)
0:05.0,R. Foye makes free throw 1 of 2,1,110-77,,
0:05.0,R. Foye makes free throw 2 of 2,1,111-77,,
0:00.0,,,111-77,,A. Poythress misses 2-pt shot from 16 ft (block by K. McDaniels)
0:00.0,,,111-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,111-77,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by K. McDaniels,,111-77,,
11:29.0,K. McDaniels misses 2-pt shot from 4 ft,,111-77,,
11:28.0,,,111-77,,Defensive rebound by T. McConnell
11:17.0,,,111-80,3,G. Henderson makes 3-pt shot from 23 ft (assist by T. Luwawu-Cabarrot)
