time,Portland,pts.away,score,pts.home,Indiana
0:41.0,,,109-112,,Indiana full timeout
0:34.0,,,109-112,,P. George misses 2-pt shot from 19 ft
0:33.0,,,109-112,,Offensive rebound by P. George
0:31.0,,,109-114,2,P. George makes 2-pt shot from 2 ft
0:31.0,Portland full timeout,,109-114,,
0:31.0,M. Leonard enters the game for E. Davis,,109-114,,
0:31.0,A. Crabbe enters the game for M. Plumlee,,109-114,,
0:31.0,Turnover by Team (5 sec inbounds),,109-114,,
0:31.0,,,109-114,,Indiana full timeout
0:31.0,M. Plumlee enters the game for M. Leonard,,109-114,,
0:31.0,,,109-114,,C. Miles enters the game for T. Young
0:28.0,Personal foul by M. Plumlee (drawn by P. George),,109-114,,
0:28.0,,,109-115,1,P. George makes free throw 1 of 2
0:28.0,,,109-116,1,P. George makes free throw 2 of 2
0:28.0,Portland full timeout,,109-116,,
0:28.0,,,109-116,,T. Young enters the game for C. Miles
0:20.0,D. Lillard misses 3-pt shot from 25 ft,,109-116,,
0:19.0,,,109-116,,Defensive rebound by R. Stuckey
0:17.0,Personal take foul by C. McCollum (drawn by R. Stuckey),,109-116,,
0:17.0,,,109-117,1,R. Stuckey makes free throw 1 of 2
0:17.0,,,109-118,1,R. Stuckey makes free throw 2 of 2
0:11.0,D. Lillard makes 2-pt shot from 2 ft,2,111-118,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
