time,LA Clippers,pts.away,score,pts.home,Indiana
2:28.0,R. Felton misses 2-pt shot from 2 ft,,68-89,,
2:27.0,,,68-89,,Defensive rebound by R. Stuckey
2:11.0,,,68-89,,Turnover by R. Stuckey (step out of bounds)
2:11.0,,,68-89,,G. Niang enters the game for M. Ellis
2:11.0,,,68-89,,J. Young enters the game for A. Jefferson
1:51.0,A. Rivers makes 2-pt shot from 1 ft,2,70-89,,
1:51.0,Shooting foul by J. Young (drawn by A. Rivers),,70-89,,
1:51.0,A. Rivers misses free throw 1 of 1,,70-89,,
1:51.0,,,70-89,,Defensive rebound by A. Brooks
1:51.0,,,70-89,,L. Allen enters the game for T. Young
1:51.0,,,70-89,,A. Brooks enters the game for R. Stuckey
1:30.0,,,70-89,,G. Niang misses 3-pt shot from 27 ft
1:28.0,Defensive rebound by M. Speights,,70-89,,
1:16.0,M. Speights misses 2-pt shot from 1 ft (block by A. Brooks),,70-89,,
1:14.0,,,70-89,,Defensive rebound by A. Brooks
0:56.0,,,70-91,2,G. Robinson makes 2-pt shot from 1 ft (assist by A. Brooks)
0:38.0,R. Felton misses 3-pt shot from 28 ft,,70-91,,
0:37.0,,,70-91,,Defensive rebound by G. Robinson
0:21.0,,,70-91,,Turnover by J. Young (bad pass; steal by A. Rivers)
0:18.0,Turnover by A. Rivers (bad pass; steal by A. Brooks),,70-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
