time,Orlando,pts.away,score,pts.home,Charlotte
3:34.0,Defensive rebound by D. Rudez,,80-105,,
3:21.0,J. Meeks misses 2-pt shot from 20 ft,,80-105,,
3:21.0,,,80-105,,Defensive rebound by Team
3:04.0,,,80-107,2,T. Graham makes 2-pt shot from 1 ft (assist by J. Lamb)
2:51.0,D. Rudez makes 3-pt shot from 24 ft (assist by J. Meeks),3,83-107,,
2:39.0,Official timeout,,83-107,,
2:29.0,,,83-107,,Offensive foul by S. Hawes
2:29.0,,,83-107,,Turnover by S. Hawes (offensive foul)
2:19.0,D. Rudez makes 2-pt shot from 16 ft (assist by M. Hezonja),2,85-107,,
2:07.0,,,85-107,,B. Roberts misses 2-pt shot from 1 ft
2:06.0,Defensive rebound by C. Wilcox,,85-107,,
1:58.0,C. Wilcox misses 3-pt shot from 25 ft,,85-107,,
1:57.0,,,85-107,,Defensive rebound by J. Lamb
1:47.0,,,85-107,,S. Hawes misses 3-pt shot from 25 ft
1:46.0,,,85-107,,Offensive rebound by F. Kaminsky
1:41.0,,,85-107,,Turnover by B. Roberts (step out of bounds)
1:32.0,M. Hezonja makes 3-pt shot from 24 ft (assist by C. Wilcox),3,88-107,,
1:10.0,,,88-107,,S. Hawes misses 2-pt shot from 2 ft
1:09.0,,,88-107,,Offensive rebound by F. Kaminsky
1:06.0,,,88-107,,Offensive charge foul by B. Roberts
1:06.0,,,88-107,,Turnover by B. Roberts (offensive foul)
0:57.0,D. Rudez misses 3-pt shot from 25 ft,,88-107,,
0:53.0,,,88-107,,Defensive rebound by F. Kaminsky
0:40.0,,,88-107,,Shooting foul by M. Hezonja (drawn by T. Graham)
0:40.0,,,88-108,1,T. Graham makes free throw 1 of 2
0:40.0,,,88-109,1,T. Graham makes free throw 2 of 2
0:34.0,,,88-109,,Personal foul by B. Roberts (drawn by M. Hezonja)
0:26.0,J. Meeks misses 3-pt shot from 23 ft,,88-109,,
0:26.0,,,88-109,,Defensive rebound by T. Graham
0:02.0,,,88-109,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
