time,Philadelphia,pts.away,score,pts.home,LA Clippers
2:18.0,,,96-105,,Defensive rebound by B. Griffin
2:01.0,,,96-105,,B. Griffin misses 3-pt shot from 24 ft
2:01.0,,,96-105,,Offensive rebound by D. Jordan
2:01.0,Personal foul by R. Covington (drawn by D. Jordan),,96-105,,
2:01.0,,,96-106,1,D. Jordan makes free throw 1 of 2
2:01.0,,,96-106,,D. Jordan misses free throw 2 of 2
2:00.0,Defensive rebound by R. Holmes,,96-106,,
1:46.0,T. McConnell misses 3-pt shot from 23 ft,,96-106,,
1:46.0,Offensive rebound by D. Saric,,96-106,,
1:46.0,D. Saric makes 2-pt shot from 1 ft,2,98-106,,
1:20.0,,,98-106,,J. Redick misses 3-pt shot from 26 ft
1:20.0,,,98-106,,Offensive rebound by D. Jordan
0:57.0,Personal foul by R. Covington (drawn by J. Crawford),,98-106,,
0:57.0,,,98-107,1,J. Crawford makes free throw 1 of 2
0:57.0,,,98-108,1,J. Crawford makes free throw 2 of 2
0:57.0,Philadelphia full timeout,,98-108,,
0:57.0,N. Stauskas enters the game for R. Covington,,98-106,,
0:57.0,S. Rodriguez enters the game for T. McConnell,,98-108,,
0:53.0,Shooting foul by D. Jordan (drawn by N. Stauskas),,98-108,,
0:53.0,N. Stauskas misses free throw 1 of 2,,98-108,,
0:53.0,Offensive rebound by Team,,98-108,,
0:53.0,N. Stauskas misses free throw 2 of 2,,98-108,,
0:53.0,T. McConnell enters the game for S. Rodriguez,,98-108,,
0:52.0,,,98-108,,Defensive rebound by D. Jordan
0:47.0,Personal take foul by R. Holmes (drawn by C. Paul),,98-108,,
0:47.0,,,98-109,1,C. Paul makes free throw 1 of 2
0:47.0,,,98-110,1,C. Paul makes free throw 2 of 2
0:47.0,Philadelphia full timeout,,98-110,,
0:47.0,S. Rodriguez enters the game for T. McConnell,,98-110,,
0:36.0,R. Holmes makes 2-pt shot at rim (assist by D. Saric),2,100-110,,
0:36.0,Personal take foul by N. Stauskas (drawn by C. Paul),,100-110,,
0:36.0,,,100-111,1,C. Paul makes free throw 1 of 2
0:36.0,,,100-112,1,C. Paul makes free throw 2 of 2
0:21.0,D. Saric misses 2-pt shot from 5 ft,,100-112,,
0:21.0,Offensive rebound by Team,,100-112,,
0:20.0,Turnover by S. Rodriguez (bad pass; steal by J. Redick),,100-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
