time,Toronto,pts.away,score,pts.home,Utah
0:43.0,J. Valanciunas enters the game for L. Nogueira,,102-96,,
0:43.0,,,102-96,,R. Neto enters the game for T. Lyles
0:21.0,K. Lowry makes 2-pt shot from 16 ft,2,104-96,,
0:21.0,,,104-96,,Utah full timeout
0:21.0,L. Nogueira enters the game for J. Valanciunas,,104-96,,
0:21.0,,,104-96,,T. Lyles enters the game for R. Neto
0:18.0,,,104-96,,G. Hayward misses 3-pt shot from 26 ft
0:18.0,,,104-96,,Offensive rebound by G. Hayward
0:13.0,,,104-96,,S. Mack misses 3-pt shot from 26 ft
0:12.0,Defensive rebound by N. Powell,,104-96,,
0:12.0,,,104-96,,Personal foul by T. Lyles (drawn by N. Powell)
0:10.0,Turnover by K. Lowry (lost ball),,104-96,,
0:05.0,,,104-98,2,R. Gobert makes 2-pt shot from 2 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
