time,Miami,pts.away,score,pts.home,Sacramento
1:35.0,,,102-101,,Defensive rebound by D. Cousins
1:16.0,,,102-101,,Shooting foul by U. Haslem (drawn by D. Cousins)
1:16.0,,,102-101,,D. Cousins misses free throw 1 of 2
1:16.0,,,102-101,,Offensive rebound by Team
1:16.0,,,102-102,1,D. Cousins makes free throw 2 of 2
0:55.0,Turnover by G. Dragic (bad pass; steal by G. Temple),,102-102,,
0:51.0,,,102-102,,D. Collison misses 2-pt shot from 1 ft (block by T. Johnson)
0:49.0,Defensive rebound by J. Richardson,,102-102,,
0:48.0,,,102-102,,Personal foul by M. Barnes (drawn by J. Richardson)
0:48.0,Miami full timeout,,102-102,,
0:28.0,T. Johnson makes 2-pt shot from 8 ft,2,104-102,,
0:28.0,Shooting foul by M. Barnes (drawn by T. Johnson),,104-102,,
0:28.0,T. Johnson makes free throw 1 of 1,1,105-102,,
0:28.0,,,105-102,,Sacramento full timeout
0:19.0,,,105-102,,D. Cousins misses 2-pt shot from 1 ft
0:19.0,,,105-102,,Offensive rebound by Team
0:19.0,,,105-102,,Sacramento full timeout
0:15.0,,,105-102,,D. Cousins misses 3-pt shot from 25 ft
0:14.0,Defensive rebound by R. McGruder,,105-102,,
0:12.0,,,105-102,,Personal foul by D. Cousins (drawn by T. Johnson)
0:12.0,T. Johnson makes free throw 1 of 2,1,106-102,,
0:12.0,T. Johnson makes free throw 2 of 2,1,107-102,,
0:12.0,,,107-102,,Sacramento full timeout
0:12.0,,,107-102,,Turnover by M. Barnes (bad pass; steal by G. Dragic)
0:00.0,End of 4th quarter,,,,End of 4th quarter
