time,Cleveland,pts.away,score,pts.home,LA Lakers
3:15.0,Shooting foul by B. Ingram (drawn by L. James),,72-79,,
3:15.0,,,72-79,,LA Lakers full timeout
3:15.0,,,72-79,,Technical foul by J. Randle
3:15.0,K. Irving makes technical free throw,1,73-79,,
3:15.0,L. James misses free throw 1 of 2,,73-79,,
3:15.0,Offensive rebound by Team,,73-79,,
3:15.0,L. James makes free throw 2 of 2,1,74-79,,
3:15.0,R. Jefferson enters the game for T. Thompson,,72-79,,
3:15.0,J. Smith enters the game for I. Shumpert,,72-79,,
3:15.0,,,72-79,,D. Nwaba enters the game for J. Clarkson
3:05.0,,,74-81,2,B. Ingram makes 2-pt shot from 1 ft (assist by D. Russell)
2:38.0,K. Irving makes 3-pt shot from 23 ft,3,77-81,,
2:24.0,Personal foul by L. James (drawn by J. Randle),,77-81,,
2:24.0,D. Williams enters the game for L. James,,77-81,,
2:09.0,,,77-81,,J. Randle misses 2-pt shot from 18 ft
2:06.0,Defensive rebound by R. Jefferson,,77-81,,
1:46.0,J. Smith misses 3-pt shot from 25 ft,,77-81,,
1:45.0,,,77-81,,Defensive rebound by B. Ingram
1:40.0,,,77-83,2,C. Brewer makes 2-pt shot from 2 ft (assist by B. Ingram)
1:40.0,,,77-83,,Shooting foul by D. Williams (drawn by C. Brewer)
1:40.0,,,77-84,1,C. Brewer makes free throw 1 of 1
1:31.0,Offensive foul by C. Frye,,77-84,,
1:31.0,Turnover by C. Frye (offensive foul),,77-84,,
1:20.0,,,77-86,2,D. Russell makes 2-pt shot from 2 ft
1:01.0,K. Irving makes 3-pt shot from 26 ft (assist by D. Williams),3,80-86,,
0:50.0,,,80-89,3,D. Russell makes 3-pt shot from 25 ft
0:34.0,K. Irving makes 2-pt shot from 2 ft,2,82-89,,
0:20.0,,,82-92,3,D. Russell makes 3-pt shot from 25 ft
0:03.0,K. Irving misses 3-pt shot from 26 ft,,82-92,,
0:00.0,,,82-92,,Defensive rebound by B. Ingram
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Shooting foul by C. Brewer (drawn by R. Jefferson),,82-92,,
11:51.0,R. Jefferson misses free throw 1 of 2,,82-92,,
11:51.0,Offensive rebound by Team,,82-92,,
11:51.0,R. Jefferson makes free throw 2 of 2,1,83-92,,
11:51.0,K. Love enters the game for C. Frye,,82-92,,
11:39.0,,,83-94,2,D. Nwaba makes 2-pt shot at rim (assist by J. Clarkson)
11:19.0,,,83-94,,Personal foul by L. Nance (drawn by R. Jefferson)
11:06.0,L. James misses 3-pt shot from 25 ft,,83-94,,
11:05.0,,,83-94,,Defensive rebound by C. Brewer
10:51.0,,,83-94,,J. Clarkson misses 2-pt shot from 4 ft
10:49.0,Defensive rebound by R. Jefferson,,83-94,,
10:44.0,R. Jefferson makes 2-pt shot at rim (assist by L. James),2,85-94,,
10:22.0,,,85-94,,C. Brewer misses 2-pt shot from 5 ft
10:20.0,Defensive rebound by K. Love,,85-94,,
10:15.0,R. Jefferson makes 2-pt shot from 1 ft (assist by L. James),2,87-94,,
10:15.0,,,87-94,,LA Lakers full timeout
10:06.0,,,87-94,,Shooting foul by R. Jefferson (drawn by D. Nwaba)
10:06.0,,,87-94,,D. Nwaba misses free throw 1 of 2
10:06.0,,,87-94,,Offensive rebound by Team
10:06.0,,,87-95,1,D. Nwaba makes free throw 2 of 2
9:42.0,R. Jefferson makes 2-pt shot at rim (assist by J. Smith),2,89-95,,
9:17.0,,,89-95,,Turnover by Team (back court)
9:17.0,,,89-95,,B. Ingram enters the game for D. Russell
9:02.0,,,89-95,,Personal foul by J. Clarkson (drawn by L. James)
8:48.0,J. Smith misses 3-pt shot from 25 ft,,89-95,,
8:47.0,,,89-95,,Defensive rebound by C. Brewer
8:40.0,,,89-95,,Turnover by J. Clarkson (lost ball; steal by R. Jefferson)
8:35.0,L. James makes 2-pt shot from 1 ft (assist by R. Jefferson),2,91-95,,
8:16.0,,,91-97,2,J. Clarkson makes 2-pt shot from 2 ft
8:03.0,,,91-97,,Personal foul by J. Clarkson (drawn by J. Smith)
7:56.0,D. Williams misses 2-pt shot from 10 ft,,91-97,,
7:54.0,,,91-97,,Defensive rebound by D. Nwaba
7:48.0,,,91-97,,C. Brewer misses 3-pt shot from 24 ft
7:45.0,Defensive rebound by K. Love,,91-97,,
7:37.0,Shooting foul by L. Nance (drawn by K. Love),,91-97,,
7:37.0,K. Love makes free throw 1 of 3,1,92-97,,
7:37.0,K. Love makes free throw 2 of 3,1,93-97,,
7:37.0,K. Love makes free throw 3 of 3,1,94-97,,
7:37.0,,,93-97,,D. Russell enters the game for C. Brewer
7:37.0,,,93-97,,J. Randle enters the game for L. Nance
7:22.0,,,94-99,2,B. Ingram makes 2-pt shot from 22 ft (assist by J. Randle)
7:02.0,L. James makes 2-pt shot from 1 ft,2,96-99,,
7:02.0,Shooting foul by J. Randle (drawn by L. James),,96-99,,
7:02.0,L. James misses free throw 1 of 1,,96-99,,
7:00.0,Offensive rebound by K. Love,,96-99,,
6:52.0,L. James misses 3-pt shot from 27 ft,,96-99,,
6:50.0,,,96-99,,Defensive rebound by J. Randle
6:36.0,,,96-101,2,J. Clarkson makes 2-pt shot from 1 ft
6:36.0,Cleveland full timeout,,96-101,,
6:36.0,K. Irving enters the game for D. Williams,,96-101,,
6:11.0,K. Love makes 3-pt shot from 26 ft (assist by L. James),3,99-101,,
