time,Utah,pts.away,score,pts.home,Minnesota
1:48.0,,,103-94,1,Z. LaVine makes free throw 2 of 2
1:36.0,G. Hayward makes 2-pt shot from 1 ft (assist by B. Diaw),2,105-94,,
1:25.0,,,105-96,2,A. Wiggins makes 2-pt shot from 2 ft (assist by Z. LaVine)
1:05.0,R. Gobert misses 2-pt shot at rim,,105-96,,
1:05.0,,,105-96,,Defensive rebound by T. Jones
1:00.0,,,105-96,,Turnover by T. Jones (bad pass; steal by R. Hood)
0:56.0,,,105-96,,Personal take foul by K. Towns (drawn by G. Hill)
0:56.0,G. Hill makes free throw 1 of 2,1,106-96,,
0:56.0,G. Hill makes free throw 2 of 2,1,107-96,,
0:56.0,,,107-96,,Minnesota full timeout
0:54.0,,,107-98,2,K. Towns makes 2-pt shot at rim (assist by Z. LaVine)
0:54.0,,,107-98,,Shooting foul by R. Gobert (drawn by K. Towns)
0:54.0,,,107-99,1,K. Towns makes free throw 1 of 1
0:51.0,R. Gobert makes 2-pt shot at rim (assist by R. Hood),2,109-99,,
0:43.0,,,109-99,,Z. LaVine misses 3-pt shot from 22 ft
0:39.0,Defensive rebound by R. Gobert,,109-99,,
0:35.0,Turnover by R. Gobert (bad pass; steal by T. Jones),,109-99,,
0:29.0,,,109-101,2,Z. LaVine makes 2-pt shot from 1 ft
0:26.0,,,109-101,,Personal take foul by T. Jones (drawn by G. Hayward)
0:26.0,G. Hayward makes free throw 1 of 2,1,110-101,,
0:26.0,G. Hayward misses free throw 2 of 2,,110-101,,
0:26.0,,,110-101,,Defensive rebound by N. Bjelica
0:17.0,,,110-103,2,K. Towns makes 2-pt shot from 5 ft (assist by Z. LaVine)
0:15.0,,,110-103,,Personal foul by A. Wiggins (drawn by G. Hayward)
0:15.0,G. Hayward makes free throw 1 of 2,1,111-103,,
0:15.0,G. Hayward makes free throw 2 of 2,1,112-103,,
0:15.0,,,110-103,,S. Muhammad enters the game for A. Wiggins
0:10.0,,,112-103,,Z. LaVine misses 3-pt shot from 28 ft
0:07.0,,,112-103,,Offensive rebound by K. Towns
0:06.0,,,112-103,,K. Towns misses 2-pt shot from 3 ft (block by R. Gobert)
0:05.0,Defensive rebound by R. Gobert,,112-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
