time,New York,pts.away,score,pts.home,Dallas
6:53.0,,,38-38,,Dallas full timeout
6:53.0,,,38-38,,D. Finney-Smith enters the game for J. Anderson
6:53.0,C. Anthony enters the game for W. Hernangomez,,38-38,,
6:46.0,,,38-40,2,D. Finney-Smith makes 2-pt shot from 2 ft (assist by A. Bogut)
6:19.0,C. Anthony misses 2-pt shot from 11 ft,,38-40,,
6:16.0,Offensive rebound by K. O'Quinn,,38-40,,
6:14.0,C. Lee makes 3-pt shot from 25 ft (assist by K. O'Quinn),3,41-40,,
6:02.0,,,41-40,,Shooting foul by K. O'Quinn (drawn by D. Harris)
6:02.0,,,41-40,,D. Harris misses free throw 1 of 2
6:02.0,,,41-40,,Offensive rebound by Team
6:02.0,,,41-41,1,D. Harris makes free throw 2 of 2
5:46.0,C. Anthony misses 2-pt shot from 18 ft,,41-41,,
5:45.0,,,41-41,,Defensive rebound by D. Harris
5:36.0,,,41-41,,D. Harris misses 2-pt shot from 3 ft
5:34.0,,,41-41,,Offensive rebound by A. Bogut
5:34.0,,,41-43,2,A. Bogut makes 2-pt shot at rim
5:21.0,Offensive foul by K. O'Quinn,,41-43,,
5:21.0,Turnover by K. O'Quinn (offensive foul),,41-43,,
5:21.0,J. Noah enters the game for K. O'Quinn,,41-43,,
4:59.0,,,41-45,2,H. Barnes makes 2-pt shot from 10 ft
4:42.0,B. Jennings misses 2-pt shot from 18 ft,,41-45,,
4:41.0,,,41-45,,Defensive rebound by D. Finney-Smith
4:19.0,,,41-45,,H. Barnes misses 2-pt shot from 5 ft
4:17.0,Defensive rebound by J. Noah,,41-45,,
4:12.0,,,41-45,,Personal foul by D. Finney-Smith (drawn by C. Anthony)
4:12.0,J. Holiday enters the game for B. Jennings,,41-45,,
4:12.0,,,41-45,,D. Williams enters the game for P. Jackson
4:12.0,,,41-45,,S. Curry enters the game for D. Harris
4:12.0,,,41-45,,J. Anderson enters the game for D. Finney-Smith
3:55.0,C. Anthony makes 2-pt shot from 4 ft,2,43-45,,
3:29.0,,,43-45,,S. Curry misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by J. Noah,,43-45,,
3:15.0,C. Anthony makes 2-pt shot from 7 ft,2,45-45,,
3:12.0,,,45-45,,Dallas full timeout
3:12.0,,,45-45,,D. Finney-Smith enters the game for J. Anderson
3:05.0,,,45-47,2,D. Williams makes 2-pt shot from 17 ft
