time,Charlotte,pts.away,score,pts.home,Minnesota
3:31.0,,,39-48,2,A. Wiggins makes 2-pt shot from 18 ft
3:14.0,N. Batum makes 2-pt shot at rim (assist by S. Hawes),2,41-48,,
3:03.0,,,41-51,3,A. Wiggins makes 3-pt shot from 25 ft (assist by R. Rubio)
2:53.0,Charlotte full timeout,,41-51,,
2:53.0,,,41-51,,Minnesota full timeout
2:39.0,N. Batum misses 2-pt shot from 20 ft,,41-51,,
2:38.0,,,41-51,,Defensive rebound by Z. LaVine
2:22.0,,,41-53,2,G. Dieng makes 2-pt shot from 8 ft (assist by Z. LaVine)
2:07.0,N. Batum misses 2-pt shot from 17 ft (block by A. Wiggins),,41-53,,
2:07.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,41-53,,
2:07.0,Jump ball: N. Batum vs. A. Wiggins (G. Dieng gains possession),,,,Jump ball: N. Batum vs. A. Wiggins (G. Dieng gains possession)
2:07.0,,,41-53,,Defensive rebound by A. Wiggins
1:47.0,,,41-53,,A. Wiggins misses 2-pt shot from 8 ft
1:46.0,Defensive rebound by M. Kidd-Gilchrist,,41-53,,
1:40.0,Shooting foul by R. Rubio (drawn by M. Kidd-Gilchrist),,41-53,,
1:40.0,M. Kidd-Gilchrist misses free throw 1 of 2,,41-53,,
1:40.0,Offensive rebound by Team,,41-53,,
1:40.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,42-53,,
1:24.0,,,42-55,2,Z. LaVine makes 2-pt shot from 18 ft (assist by K. Towns)
1:06.0,,,42-55,,Personal foul by G. Dieng (drawn by M. Williams)
1:06.0,M. Williams makes free throw 1 of 2,1,43-55,,
1:06.0,M. Williams makes free throw 2 of 2,1,44-55,,
0:54.0,,,44-57,2,A. Wiggins makes 2-pt shot at rim
0:54.0,,,44-57,,Shooting foul by S. Hawes (drawn by A. Wiggins)
0:54.0,,,44-58,1,A. Wiggins makes free throw 1 of 1
0:36.0,K. Walker makes 2-pt shot from 1 ft,2,46-58,,
0:25.0,,,46-58,,R. Rubio misses 3-pt shot from 26 ft
0:24.0,Defensive rebound by S. Hawes,,46-58,,
0:02.0,K. Walker misses 2-pt shot from 2 ft (block by G. Dieng),,46-58,,
0:02.0,Offensive rebound by Team,,46-58,,
0:01.0,M. Williams misses 3-pt shot from 25 ft,,46-58,,
0:00.0,Offensive rebound by Team,,46-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,C. Zeller makes 2-pt shot at rim,2,48-58,,
11:23.0,,,48-58,,G. Dieng misses 3-pt shot from 25 ft
11:22.0,,,48-58,,Offensive rebound by R. Rubio
11:21.0,,,48-58,,R. Rubio misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist)
11:18.0,Defensive rebound by M. Kidd-Gilchrist,,48-58,,
11:14.0,,,48-58,,Shooting block foul by G. Dieng (drawn by C. Zeller)
11:14.0,C. Zeller makes free throw 1 of 2,1,49-58,,
11:14.0,C. Zeller makes free throw 2 of 2,1,50-58,,
11:07.0,Personal foul by M. Williams (drawn by K. Towns),,50-58,,
10:58.0,,,50-58,,Turnover by G. Dieng (lost ball; steal by K. Walker)
10:54.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker),2,52-58,,
10:54.0,,,52-58,,Minnesota full timeout
10:34.0,,,52-58,,Z. LaVine misses 2-pt shot from 22 ft
10:33.0,Defensive rebound by M. Kidd-Gilchrist,,52-58,,
10:24.0,K. Walker makes 2-pt shot from 1 ft,2,54-58,,
10:03.0,,,54-60,2,K. Towns makes 2-pt shot from 1 ft (assist by G. Dieng)
9:47.0,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum),3,57-60,,
9:45.0,,,57-60,,Minnesota full timeout
9:24.0,,,57-60,,A. Wiggins misses 2-pt shot from 2 ft
9:23.0,,,57-60,,Offensive rebound by K. Towns
9:22.0,,,57-60,,K. Towns misses 2-pt shot from 1 ft
9:21.0,Defensive rebound by C. Zeller,,57-60,,
