time,Dallas,pts.away,score,pts.home,Toronto
0:42.0,,,78-98,,Offensive rebound by P. Siakam
0:39.0,,,78-98,,Turnover by P. Siakam (bad pass; steal by Y. Ferrell)
0:34.0,Y. Ferrell misses 3-pt shot from 27 ft,,78-98,,
0:33.0,,,78-98,,Defensive rebound by N. Powell
0:21.0,,,78-98,,Shooting foul by N. Brussino (drawn by N. Powell)
0:21.0,,,78-99,1,N. Powell makes free throw 1 of 2
0:21.0,,,78-100,1,N. Powell makes free throw 2 of 2
0:04.0,D. Powell misses 2-pt shot from 15 ft,,78-100,,
0:04.0,,,78-100,,Defensive rebound by F. VanVleet
0:00.0,End of 4th quarter,,,,End of 4th quarter
