time,Brooklyn,pts.away,score,pts.home,Utah
6:07.0,S. Dinwiddie enters the game for J. Lin,,81-96,,
5:55.0,,,82-96,,G. Hayward misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by I. Whitehead,,82-96,,
5:47.0,I. Whitehead misses 2-pt shot from 13 ft,,82-96,,
5:46.0,,,82-96,,Defensive rebound by J. Ingles
5:35.0,,,82-96,,Shooting foul by C. LeVert (drawn by G. Hill)
5:35.0,,,82-96,,Utah full timeout
5:35.0,,,82-97,1,G. Hill makes free throw 1 of 3
5:35.0,,,82-98,1,G. Hill makes free throw 2 of 3
5:35.0,,,82-99,1,G. Hill makes free throw 3 of 3
5:35.0,Q. Acy enters the game for T. Booker,,82-96,,
5:35.0,S. Kilpatrick enters the game for I. Whitehead,,82-96,,
5:21.0,S. Kilpatrick makes 2-pt shot from 2 ft,2,84-99,,
5:21.0,Shooting foul by D. Favors (drawn by S. Kilpatrick),,84-99,,
5:21.0,S. Kilpatrick makes free throw 1 of 1,1,85-99,,
5:02.0,,,85-102,3,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hayward)
4:45.0,A. Nicholson misses 3-pt shot from 24 ft,,85-102,,
4:44.0,,,85-102,,Defensive rebound by R. Gobert
4:29.0,,,85-102,,G. Hayward misses 3-pt shot from 25 ft
4:29.0,Defensive rebound by S. Dinwiddie,,85-102,,
4:25.0,Brooklyn full timeout,,85-102,,
4:25.0,I. Whitehead enters the game for C. LeVert,,85-102,,
4:25.0,K. McDaniels enters the game for S. Dinwiddie,,85-102,,
4:14.0,Q. Acy makes 2-pt shot from 22 ft,2,87-102,,
3:58.0,,,87-105,3,G. Hill makes 3-pt shot from 25 ft
3:29.0,I. Whitehead misses 3-pt shot from 25 ft,,87-105,,
3:29.0,,,87-105,,Defensive rebound by G. Hayward
3:16.0,,,87-107,2,G. Hayward makes 2-pt shot from 2 ft (assist by G. Hill)
3:00.0,S. Kilpatrick makes 2-pt shot from 21 ft,2,89-107,,
2:38.0,,,89-110,3,D. Favors makes 3-pt shot from 24 ft (assist by G. Hayward)
2:28.0,,,89-110,,Personal foul by J. Ingles (drawn by Q. Acy)
2:28.0,Q. Acy makes free throw 1 of 2,1,90-110,,
2:28.0,Q. Acy makes free throw 2 of 2,1,91-110,,
2:28.0,,,90-110,,A. Burks enters the game for G. Hayward
2:28.0,,,90-110,,T. Lyles enters the game for D. Favors
2:28.0,,,90-110,,J. Withey enters the game for R. Gobert
2:28.0,,,90-110,,D. Exum enters the game for J. Ingles
2:28.0,,,90-110,,R. Neto enters the game for G. Hill
2:16.0,,,91-110,,Shooting foul by A. Nicholson (drawn by J. Withey)
2:16.0,,,91-110,,J. Withey misses free throw 1 of 2
2:16.0,,,91-110,,Offensive rebound by Team
2:16.0,,,91-110,,J. Withey misses free throw 2 of 2
2:16.0,Defensive rebound by A. Nicholson,,91-110,,
2:01.0,K. McDaniels misses 2-pt shot from 9 ft,,91-110,,
2:01.0,,,91-110,,Defensive rebound by A. Burks
1:42.0,,,91-110,,T. Lyles misses 3-pt shot from 24 ft
1:41.0,Defensive rebound by S. Kilpatrick,,91-110,,
1:32.0,S. Kilpatrick misses 2-pt shot from 13 ft,,91-110,,
1:32.0,,,91-110,,Defensive rebound by D. Exum
1:21.0,,,91-110,,Shooting foul by K. McDaniels (drawn by J. Withey)
1:21.0,,,91-111,1,J. Withey makes free throw 1 of 2
1:21.0,,,91-112,1,J. Withey makes free throw 2 of 2
1:11.0,Brooklyn full timeout,,91-112,,
1:03.0,I. Whitehead misses 2-pt shot from 2 ft,,91-112,,
1:03.0,Offensive rebound by A. Nicholson,,91-112,,
1:03.0,A. Nicholson makes 2-pt shot from 1 ft,2,93-112,,
0:44.0,,,93-112,,T. Lyles misses 2-pt shot from 9 ft
0:43.0,Defensive rebound by A. Nicholson,,93-112,,
0:37.0,S. Kilpatrick makes 2-pt shot from 2 ft,2,95-112,,
0:16.0,,,95-112,,A. Burks misses 2-pt shot from 14 ft
0:14.0,Defensive rebound by K. McDaniels,,95-112,,
0:01.0,Q. Acy misses 2-pt shot from 3 ft,,95-112,,
0:01.0,Offensive rebound by A. Nicholson,,95-112,,
0:00.0,A. Nicholson makes 2-pt shot from 1 ft,2,97-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
