time,Dallas,pts.away,score,pts.home,Miami
0:19.0,,,92-95,,R. McGruder enters the game for H. Whiteside
0:19.0,D. Harris enters the game for D. Nowitzki,,92-95,,
0:19.0,D. Powell enters the game for P. Jackson,,92-95,,
0:13.0,Personal foul by D. Powell (drawn by T. Johnson),,92-95,,
0:13.0,,,92-96,1,T. Johnson makes free throw 1 of 2
0:13.0,,,92-97,1,T. Johnson makes free throw 2 of 2
0:13.0,Dallas full timeout,,92-97,,
0:13.0,D. Nowitzki enters the game for D. Powell,,92-96,,
0:13.0,S. Mejri enters the game for D. Harris,,92-96,,
0:13.0,S. Curry enters the game for S. Mejri,,92-97,,
0:07.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by W. Matthews),3,95-97,,
0:04.0,Personal foul by D. Williams (drawn by G. Dragic),,95-97,,
0:04.0,,,95-98,1,G. Dragic makes free throw 1 of 2
0:04.0,,,95-99,1,G. Dragic makes free throw 2 of 2
0:01.0,H. Barnes misses 3-pt shot from 25 ft,,95-99,,
0:00.0,Offensive rebound by Team,,95-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
