time,Chicago,pts.away,score,pts.home,Sacramento
0:56.0,,,107-105,3,D. Cousins makes 3-pt shot from 25 ft (assist by T. Lawson)
0:39.0,M. Carter-Williams misses 2-pt shot from 4 ft (block by T. Lawson),,107-105,,
0:39.0,,,107-105,,Defensive rebound by Team
0:39.0,,,107-105,,W. Cauley-Stein enters the game for D. Collison
0:38.0,Jump ball: M. Carter-Williams vs. T. Lawson (W. Cauley-Stein gains possession),,,,Jump ball: M. Carter-Williams vs. T. Lawson (W. Cauley-Stein gains possession)
0:36.0,,,107-105,,Sacramento full timeout
0:36.0,,,107-105,,D. Collison enters the game for W. Cauley-Stein
0:31.0,,,107-107,2,D. Cousins makes 2-pt shot from 4 ft (assist by D. Collison)
0:31.0,,,107-107,,Shooting foul by T. Gibson (drawn by D. Cousins)
0:31.0,,,107-107,,D. Cousins misses free throw 1 of 1
0:31.0,N. Mirotic enters the game for J. Grant,,107-107,,
0:31.0,R. Lopez enters the game for T. Gibson,,107-107,,
0:30.0,Defensive rebound by D. Wade,,107-107,,
0:13.0,D. Wade makes 2-pt shot from 20 ft,2,109-107,,
0:13.0,,,109-107,,Sacramento full timeout
0:13.0,J. Grant enters the game for N. Mirotic,,109-107,,
0:12.0,,,109-107,,Turnover by M. Barnes (bad pass; steal by D. Wade)
0:10.0,D. Wade makes 2-pt shot at rim,2,111-107,,
0:05.0,,,111-107,,D. Cousins misses 3-pt shot from 26 ft
0:04.0,,,111-107,,Offensive rebound by A. Tolliver
0:02.0,,,111-107,,Turnover by A. Tolliver (bad pass; steal by R. Lopez)
0:01.0,,,111-107,,Technical foul by D. Cousins
0:01.0,D. Wade makes technical free throw,1,112-107,,
0:01.0,,,111-107,,W. Cauley-Stein enters the game for D. Cousins
0:00.0,End of 4th quarter,,,,End of 4th quarter
