time,Houston,pts.away,score,pts.home,Brooklyn
8:59.0,,,115-97,2,I. Whitehead makes 2-pt shot from 8 ft
8:41.0,E. Gordon misses 3-pt shot from 25 ft,,115-97,,
8:40.0,,,115-97,,Defensive rebound by S. Kilpatrick
8:35.0,Personal foul by P. Beverley (drawn by S. Kilpatrick),,115-97,,
8:35.0,Official timeout,,115-97,,
8:35.0,,,115-97,,J. Hamilton enters the game for Q. Acy
8:27.0,,,115-99,2,T. Booker makes 2-pt shot from 6 ft
8:00.0,M. Harrell misses 2-pt shot from 18 ft,,115-99,,
7:59.0,,,115-99,,Defensive rebound by I. Whitehead
7:56.0,,,115-99,,Turnover by I. Whitehead (lost ball; steal by S. Dekker)
7:52.0,P. Beverley makes 3-pt shot from 27 ft (assist by S. Dekker),3,118-99,,
7:34.0,,,118-99,,J. Hamilton misses 2-pt shot from 8 ft
7:33.0,Defensive rebound by M. Harrell,,118-99,,
7:29.0,Houston full timeout,,118-99,,
7:29.0,,,118-99,,J. Harris enters the game for S. Kilpatrick
7:29.0,J. Harden enters the game for S. Dekker,,118-99,,
7:29.0,T. Ariza enters the game for E. Gordon,,118-99,,
7:20.0,P. Beverley makes 3-pt shot from 27 ft (assist by J. Harden),3,121-99,,
7:03.0,,,121-99,,T. Booker misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by P. Beverley,,121-99,,
6:51.0,C. Brewer misses 3-pt shot from 24 ft,,121-99,,
6:50.0,Offensive rebound by J. Harden,,121-99,,
6:46.0,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden),3,124-99,,
6:31.0,,,124-99,,Turnover by B. Bogdanovic (lost ball; steal by P. Beverley)
6:23.0,T. Ariza misses 3-pt shot from 27 ft,,124-99,,
6:22.0,Offensive rebound by T. Ariza,,124-99,,
6:05.0,J. Harden makes 3-pt shot from 27 ft,3,127-99,,
5:49.0,,,127-101,2,T. Booker makes 2-pt shot from 16 ft (assist by J. Hamilton)
5:31.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,130-101,,
5:31.0,,,130-101,,Brooklyn full timeout
5:31.0,K. McDaniels enters the game for J. Harden,,130-101,,
5:31.0,,,130-101,,C. McCullough enters the game for B. Bogdanovic
5:31.0,,,130-101,,L. Scola enters the game for T. Booker
5:31.0,,,130-101,,S. Dinwiddie enters the game for J. Hamilton
5:31.0,,,130-101,,C. LeVert enters the game for I. Whitehead
5:14.0,,,130-101,,Offensive charge foul by S. Dinwiddie
5:14.0,,,130-101,,Turnover by S. Dinwiddie (offensive foul)
5:14.0,,,130-101,,I. Whitehead enters the game for J. Harris
4:59.0,P. Beverley misses 3-pt shot from 25 ft,,130-101,,
4:58.0,,,130-101,,Defensive rebound by L. Scola
4:48.0,Personal block foul by P. Beverley (drawn by I. Whitehead),,130-101,,
4:48.0,,,130-101,,I. Whitehead misses free throw 1 of 2
4:48.0,,,130-101,,Offensive rebound by Team
4:48.0,,,130-102,1,I. Whitehead makes free throw 2 of 2
4:28.0,C. Brewer misses 2-pt shot from 2 ft,,130-102,,
4:27.0,,,130-102,,Defensive rebound by C. LeVert
4:15.0,,,130-102,,I. Whitehead misses 3-pt shot from 26 ft
4:14.0,Defensive rebound by P. Beverley,,130-102,,
4:03.0,Turnover by M. Harrell (bad pass; steal by L. Scola),,130-102,,
3:52.0,,,130-102,,C. LeVert misses 3-pt shot from 24 ft
3:51.0,Defensive rebound by M. Harrell,,130-102,,
3:43.0,Shooting foul by C. McCullough (drawn by K. McDaniels),,130-102,,
3:43.0,K. McDaniels makes free throw 1 of 2,1,131-102,,
3:43.0,K. McDaniels makes free throw 2 of 2,1,132-102,,
3:43.0,T. Ennis enters the game for P. Beverley,,131-102,,
3:43.0,B. Brown enters the game for T. Ariza,,131-102,,
3:24.0,,,132-104,2,C. McCullough makes 2-pt shot from 19 ft (assist by I. Whitehead)
2:58.0,B. Brown misses 2-pt shot from 15 ft,,132-104,,
2:57.0,,,132-104,,Defensive rebound by I. Whitehead
2:53.0,,,132-104,,I. Whitehead misses 2-pt shot from 2 ft (block by M. Harrell)
2:49.0,Defensive rebound by C. Brewer,,132-104,,
2:45.0,K. McDaniels makes 2-pt shot from 2 ft (assist by C. Brewer),2,134-104,,
2:29.0,,,134-106,2,L. Scola makes 2-pt shot from 6 ft (assist by I. Whitehead)
2:11.0,B. Brown misses 3-pt shot from 25 ft,,134-106,,
2:10.0,,,134-106,,Defensive rebound by L. Scola
2:03.0,,,134-106,,L. Scola misses 3-pt shot from 26 ft
2:01.0,Defensive rebound by K. McDaniels,,134-106,,
1:51.0,T. Ennis misses 2-pt shot from 2 ft,,134-106,,
1:50.0,Offensive rebound by C. Brewer,,134-106,,
1:43.0,K. McDaniels makes 3-pt shot from 25 ft (assist by B. Brown),3,137-106,,
1:33.0,Personal foul by K. McDaniels (drawn by L. Scola),,137-106,,
1:33.0,,,137-106,,Personal foul by L. Scola
1:23.0,,,137-106,,I. Whitehead misses 3-pt shot from 25 ft
1:22.0,,,137-106,,Offensive rebound by Team
1:22.0,Loose ball foul by K. McDaniels (drawn by C. McCullough),,137-106,,
1:22.0,,,137-107,1,C. McCullough makes free throw 1 of 2
1:22.0,,,137-107,,C. McCullough misses free throw 2 of 2
1:21.0,Defensive rebound by M. Harrell,,137-107,,
1:13.0,B. Brown misses 3-pt shot from 27 ft,,137-107,,
1:12.0,,,137-107,,Defensive rebound by L. Scola
0:58.0,,,137-107,,Shooting foul by K. McDaniels (drawn by L. Scola)
0:58.0,,,137-108,1,L. Scola makes free throw 1 of 2
0:58.0,,,137-109,1,L. Scola makes free throw 2 of 2
0:44.0,C. Brewer misses 3-pt shot from 23 ft,,137-109,,
0:43.0,Offensive rebound by Team,,137-109,,
0:29.0,T. Ennis misses 2-pt shot from 15 ft,,137-109,,
0:28.0,,,137-109,,Defensive rebound by I. Whitehead
0:21.0,,,137-112,3,C. LeVert makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
0:00.0,End of 4th quarter,,,,End of 4th quarter
