time,Chicago,pts.away,score,pts.home,New Orleans
3:02.0,,,110-100,,D. Cousins misses 3-pt shot from 25 ft
3:02.0,Defensive rebound by R. Rondo,,110-100,,
2:54.0,J. Lauvergne makes 3-pt shot from 22 ft (assist by P. Zipser),3,113-100,,
2:41.0,,,113-103,3,J. Holiday makes 3-pt shot from 25 ft
2:25.0,J. Butler misses 2-pt shot from 15 ft,,113-103,,
2:24.0,,,113-103,,Defensive rebound by A. Davis
2:20.0,Personal foul by P. Zipser (drawn by D. Cousins),,113-103,,
2:20.0,,,113-104,1,D. Cousins makes free throw 1 of 2
2:20.0,,,113-105,1,D. Cousins makes free throw 2 of 2
1:55.0,R. Rondo misses 2-pt shot from 3 ft,,113-105,,
1:54.0,,,113-105,,Defensive rebound by A. Davis
1:42.0,,,113-107,2,A. Davis makes 2-pt shot from 5 ft (assist by D. Cousins)
1:24.0,J. Lauvergne misses 3-pt shot from 23 ft,,113-107,,
1:22.0,,,113-107,,Defensive rebound by Team
1:05.0,,,113-107,,A. Davis misses 2-pt shot from 3 ft
1:05.0,Defensive rebound by Team,,113-107,,
0:42.0,J. Butler misses 2-pt shot from 7 ft (block by J. Holiday),,113-107,,
0:41.0,,,113-107,,Defensive rebound by A. Davis
0:37.0,,,113-107,,J. Holiday misses 2-pt shot from 1 ft (block by P. Zipser)
0:35.0,Defensive rebound by R. Rondo,,113-107,,
0:35.0,,,113-107,,Personal foul by S. Hill (drawn by R. Rondo)
0:35.0,,,113-107,,D. Cunningham enters the game for D. Cousins
0:35.0,D. Valentine enters the game for R. Rondo,,113-107,,
0:30.0,Chicago full timeout,,113-107,,
0:20.0,J. Butler makes 2-pt shot from 20 ft,2,115-107,,
0:20.0,,,115-107,,New Orleans full timeout
0:20.0,,,115-107,,D. Cousins enters the game for D. Cunningham
0:14.0,,,115-110,3,J. Crawford makes 3-pt shot from 25 ft (assist by D. Cousins)
0:13.0,,,115-110,,Personal take foul by J. Crawford (drawn by P. Zipser)
0:13.0,P. Zipser makes free throw 1 of 2,1,116-110,,
0:13.0,P. Zipser makes free throw 2 of 2,1,117-110,,
0:13.0,,,117-110,,New Orleans full timeout
0:13.0,M. Carter-Williams enters the game for B. Portis,,117-110,,
0:08.0,,,117-110,,A. Davis misses 3-pt shot from 26 ft
0:08.0,Defensive rebound by D. Valentine,,117-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
