time,Sacramento,pts.away,score,pts.home,Indiana
1:17.0,T. Lawson enters the game for A. Tolliver,,104-103,,
1:17.0,,,104-103,,L. Allen enters the game for M. Turner
1:00.0,D. Cousins misses 3-pt shot from 25 ft,,104-104,,
1:00.0,,,104-104,,Defensive rebound by P. George
0:37.0,,,104-104,,P. George misses 2-pt shot from 18 ft
0:36.0,Defensive rebound by D. Collison,,104-104,,
0:19.0,D. Cousins misses 2-pt shot from 4 ft (block by L. Allen),,104-104,,
0:18.0,,,104-104,,Defensive rebound by J. Teague
0:15.0,,,104-104,,Indiana full timeout
0:15.0,A. Tolliver enters the game for T. Lawson,,104-104,,
0:15.0,,,104-104,,M. Turner enters the game for L. Allen
0:02.0,,,104-104,,P. George misses 2-pt shot from 22 ft
0:01.0,Defensive rebound by D. Collison,,104-104,,
0:01.0,Sacramento full timeout,,104-104,,
0:01.0,M. Barnes enters the game for A. Tolliver,,104-104,,
0:00.0,D. Cousins misses 2-pt shot from 2 ft,,104-104,,
0:00.0,Offensive rebound by Team,,104-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:35.0,A. Afflalo misses 2-pt shot from 20 ft,,104-104,,
4:35.0,Offensive rebound by D. Collison,,104-104,,
4:22.0,,,104-104,,Personal foul by P. George (drawn by D. Cousins)
4:22.0,,,104-104,,T. Young enters the game for G. Robinson
4:15.0,Turnover by G. Temple (bad pass; steal by T. Young),,104-104,,
4:06.0,,,104-106,2,P. George makes 2-pt shot from 2 ft
3:41.0,D. Collison makes 2-pt shot from 19 ft,2,106-106,,
3:28.0,,,106-106,,J. Teague misses 2-pt shot from 4 ft
3:27.0,,,106-106,,Offensive rebound by L. Allen
3:15.0,,,106-109,3,C. Miles makes 3-pt shot from 26 ft (assist by J. Teague)
2:57.0,G. Temple misses 2-pt shot from 18 ft,,106-109,,
2:56.0,,,106-109,,Defensive rebound by J. Teague
2:39.0,,,106-109,,T. Young misses 2-pt shot from 4 ft
2:38.0,Defensive rebound by D. Cousins,,106-109,,
2:13.0,D. Collison makes 3-pt shot from 25 ft,3,109-109,,
1:57.0,,,109-111,2,P. George makes 2-pt shot from 18 ft (assist by J. Teague)
1:34.0,A. Afflalo makes 2-pt shot from 21 ft,2,111-111,,
1:14.0,,,111-111,,T. Young misses 3-pt shot from 24 ft
1:13.0,Defensive rebound by K. Koufos,,111-111,,
1:04.0,Sacramento full timeout,,111-111,,
1:04.0,A. Tolliver enters the game for K. Koufos,,111-111,,
1:04.0,,,111-111,,G. Robinson enters the game for L. Allen
0:56.0,Turnover by G. Temple (bad pass),,111-111,,
0:56.0,,,111-111,,Indiana full timeout
0:56.0,,,111-111,,Violation by Team (jump ball)
0:56.0,,,111-111,,M. Turner enters the game for G. Robinson
0:35.0,,,111-113,2,P. George makes 2-pt shot from 21 ft
0:19.0,D. Cousins misses 2-pt shot from 3 ft (block by M. Turner),,111-113,,
0:18.0,Offensive rebound by D. Cousins,,111-113,,
0:18.0,Sacramento full timeout,,111-113,,
0:18.0,,,111-113,,L. Allen enters the game for M. Turner
0:10.0,G. Temple misses 2-pt shot from 20 ft,,111-113,,
0:09.0,Offensive rebound by D. Cousins,,111-113,,
0:07.0,Sacramento full timeout,,111-113,,
0:07.0,,,111-113,,Indiana full timeout
0:03.0,D. Collison misses 2-pt shot from 3 ft,,111-113,,
0:02.0,,,111-113,,Defensive rebound by Team
0:02.0,,,111-113,,Indiana full timeout
0:02.0,,,111-113,,M. Turner enters the game for L. Allen
0:02.0,M. Barnes enters the game for A. Afflalo,,111-113,,
0:01.0,Personal take foul by D. Cousins (drawn by P. George),,111-113,,
0:00.0,Personal take foul by A. Tolliver (drawn by J. Teague),,111-113,,
0:00.0,,,111-114,1,J. Teague makes free throw 1 of 2
0:00.0,,,111-115,1,J. Teague makes free throw 2 of 2
0:00.0,D. Cousins misses 3-pt shot from 60 ft,,111-115,,
0:00.0,Offensive rebound by Team,,111-115,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
0:00.0,A. Afflalo enters the game for M. Barnes,,111-114,,
