time,Sacramento,pts.away,score,pts.home,Milwaukee
5:35.0,,,83-107,2,J. Henson makes 2-pt shot from 1 ft
5:35.0,,,83-107,,Shooting foul by G. Papagiannis (drawn by J. Henson)
5:35.0,,,83-107,,J. Henson misses free throw 1 of 1
5:32.0,,,83-107,,Offensive rebound by T. Maker
5:28.0,,,83-107,,Turnover by J. Henson (traveling)
5:06.0,S. Labissiere misses 2-pt shot from 15 ft,,83-107,,
5:04.0,,,83-107,,Defensive rebound by T. Maker
4:48.0,,,83-107,,M. Brogdon misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by G. Papagiannis,,83-107,,
4:23.0,Turnover by Team (shot clock),,83-107,,
4:05.0,,,83-109,2,T. Maker makes 2-pt shot from 18 ft
3:46.0,M. Richardson misses 3-pt shot from 26 ft,,83-109,,
3:43.0,,,83-109,,Defensive rebound by T. Maker
3:34.0,,,83-109,,S. Novak enters the game for J. Henson
3:34.0,Personal foul by G. Papagiannis (drawn by J. Henson),,83-109,,
3:27.0,,,83-109,,R. Vaughn misses 3-pt shot from 24 ft
3:27.0,,,83-109,,Offensive rebound by T. Maker
3:27.0,,,83-109,,Shooting foul by G. Papagiannis (drawn by T. Maker)
3:27.0,,,83-109,,T. Maker misses free throw 1 of 2
3:27.0,,,83-109,,Offensive rebound by Team
3:27.0,,,83-110,1,T. Maker makes free throw 2 of 2
3:14.0,G. Papagiannis makes 2-pt shot at rim (assist by J. Farmar),2,85-110,,
2:59.0,,,85-112,2,M. Beasley makes 2-pt shot at rim (assist by M. Brogdon)
2:45.0,Turnover by G. Papagiannis (bad pass; steal by M. Beasley),,85-112,,
2:42.0,Violation by G. Papagiannis (def goaltending),,85-112,,
2:42.0,,,85-114,2,M. Beasley makes 2-pt shot at rim
2:28.0,J. Farmar misses 3-pt shot from 23 ft,,85-114,,
2:27.0,,,85-114,,Defensive rebound by M. Beasley
2:19.0,,,85-114,,S. Novak misses 3-pt shot from 26 ft
2:18.0,Defensive rebound by J. Farmar,,85-114,,
2:10.0,M. Richardson makes 3-pt shot from 24 ft (assist by J. Farmar),3,88-114,,
1:53.0,,,88-117,3,R. Vaughn makes 3-pt shot from 26 ft (assist by M. Brogdon)
1:35.0,,,88-117,,Personal foul by T. Maker (drawn by M. Richardson)
1:35.0,,,88-117,,Milwaukee full timeout
1:21.0,M. Richardson misses 3-pt shot from 26 ft,,88-117,,
1:21.0,Offensive rebound by S. Labissiere,,88-117,,
1:21.0,S. Labissiere makes 2-pt shot at rim,2,90-117,,
1:07.0,,,90-117,,M. Brogdon misses 2-pt shot from 10 ft
1:04.0,Defensive rebound by G. Temple,,90-117,,
0:57.0,J. Farmar misses 3-pt shot from 25 ft,,90-117,,
0:54.0,,,90-117,,Defensive rebound by M. Beasley
0:44.0,,,90-117,,Turnover by R. Vaughn (bad pass; steal by G. Temple)
0:28.0,,,90-117,,Personal foul by R. Vaughn (drawn by S. Labissiere)
0:28.0,S. Labissiere makes free throw 1 of 2,1,91-117,,
0:28.0,S. Labissiere misses free throw 2 of 2,,91-117,,
0:27.0,,,91-117,,Defensive rebound by T. Maker
0:04.0,,,91-117,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
