time,Oklahoma City,pts.away,score,pts.home,Charlotte
8:39.0,E. Kanter makes 2-pt shot from 1 ft (assist by S. Christon),2,95-92,,
8:24.0,,,95-94,2,R. Sessions makes 2-pt shot from 8 ft
8:04.0,E. Kanter misses 2-pt shot from 1 ft,,95-94,,
8:03.0,,,95-94,,Defensive rebound by S. Hawes
7:49.0,,,95-94,,R. Sessions misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by J. Grant,,95-94,,
7:32.0,J. Grant makes 2-pt shot from 1 ft (assist by S. Christon),2,97-94,,
7:11.0,,,97-97,3,S. Hawes makes 3-pt shot from 24 ft (assist by R. Sessions)
6:52.0,E. Kanter misses 2-pt shot from 5 ft,,97-97,,
6:49.0,,,97-97,,Defensive rebound by M. Belinelli
6:37.0,,,97-99,2,M. Belinelli makes 2-pt shot at rim (assist by N. Batum)
6:37.0,Oklahoma City full timeout,,97-99,,
6:37.0,V. Oladipo enters the game for A. Abrines,,97-99,,
6:37.0,S. Adams enters the game for S. Christon,,97-99,,
6:37.0,R. Westbrook enters the game for E. Kanter,,97-99,,
6:37.0,,,97-99,,M. Kidd-Gilchrist enters the game for F. Kaminsky
6:37.0,,,97-99,,M. Williams enters the game for S. Hawes
6:37.0,,,97-99,,R. Hibbert enters the game for R. Sessions
6:37.0,,,97-99,,K. Walker enters the game for M. Belinelli
6:30.0,R. Westbrook makes 2-pt shot from 16 ft,2,99-99,,
6:13.0,,,99-101,2,N. Batum makes 2-pt shot from 9 ft (assist by K. Walker)
5:59.0,R. Westbrook misses 3-pt shot from 26 ft,,99-101,,
5:56.0,Offensive rebound by A. Roberson,,99-101,,
5:52.0,V. Oladipo misses 3-pt shot from 24 ft,,99-101,,
5:51.0,,,99-101,,Defensive rebound by M. Williams
5:46.0,,,99-101,,Turnover by N. Batum (bad pass; steal by R. Westbrook)
5:40.0,R. Westbrook makes 2-pt shot from 1 ft,2,101-101,,
5:23.0,,,101-101,,Shooting foul by R. Westbrook (drawn by R. Hibbert)
5:23.0,,,101-102,1,R. Hibbert makes free throw 1 of 2
5:23.0,,,101-102,,R. Hibbert misses free throw 2 of 2
5:22.0,Defensive rebound by S. Adams,,101-102,,
5:05.0,V. Oladipo misses 2-pt shot from 16 ft,,101-102,,
5:04.0,,,101-102,,Defensive rebound by M. Kidd-Gilchrist
4:52.0,,,101-102,,N. Batum misses 2-pt shot from 16 ft
4:51.0,Defensive rebound by S. Adams,,101-102,,
4:45.0,Offensive foul by S. Adams,,101-102,,
4:45.0,Turnover by S. Adams (offensive foul),,101-102,,
4:23.0,,,101-102,,N. Batum misses 3-pt shot from 25 ft
4:22.0,,,101-102,,Offensive rebound by M. Kidd-Gilchrist
4:16.0,,,101-102,,Shooting foul by A. Roberson (drawn by K. Walker)
4:16.0,,,101-103,1,K. Walker makes free throw 1 of 3
4:16.0,,,101-104,1,K. Walker makes free throw 2 of 3
4:16.0,,,101-105,1,K. Walker makes free throw 3 of 3
4:08.0,,,101-105,,Personal foul by N. Batum (drawn by S. Adams)
3:59.0,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook),3,104-105,,
3:43.0,,,104-105,,K. Walker misses 3-pt shot from 25 ft
3:41.0,,,104-105,,Offensive rebound by M. Williams
3:32.0,,,104-107,2,N. Batum makes 2-pt shot from 1 ft
3:10.0,R. Westbrook misses 2-pt shot from 4 ft (block by R. Hibbert),,104-107,,
3:08.0,Offensive rebound by V. Oladipo,,104-107,,
3:05.0,R. Westbrook misses 3-pt shot from 24 ft,,104-107,,
3:03.0,,,104-107,,Defensive rebound by M. Williams
3:01.0,Violation by A. Roberson (def goaltending),,104-107,,
3:01.0,,,104-109,2,K. Walker makes 2-pt shot from 2 ft (assist by N. Batum)
2:53.0,R. Westbrook misses 2-pt shot at rim (block by M. Williams),,104-109,,
2:53.0,Offensive rebound by Team,,104-109,,
2:53.0,,,104-109,,Loose ball foul by M. Kidd-Gilchrist (drawn by S. Adams)
2:53.0,Official timeout,,104-109,,
2:38.0,R. Westbrook misses 3-pt shot from 25 ft,,104-109,,
2:35.0,,,104-109,,Defensive rebound by R. Hibbert
2:21.0,,,104-112,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
2:01.0,S. Adams misses 2-pt shot from 2 ft (block by M. Williams),,104-112,,
2:01.0,,,104-112,,Defensive rebound by Team
1:42.0,,,104-112,,K. Walker misses 2-pt shot from 1 ft
1:41.0,,,104-112,,Offensive rebound by K. Walker
1:24.0,,,104-112,,Turnover by K. Walker (bad pass; steal by V. Oladipo)
1:19.0,Turnover by R. Westbrook (bad pass; steal by R. Hibbert),,104-112,,
1:19.0,Personal foul by S. Adams (drawn by R. Hibbert),,104-112,,
1:19.0,,,104-113,1,R. Hibbert makes free throw 1 of 2
1:19.0,,,104-114,1,R. Hibbert makes free throw 2 of 2
1:19.0,A. Abrines enters the game for A. Roberson,,104-113,,
1:16.0,Shooting foul by R. Hibbert (drawn by R. Westbrook),,104-114,,
1:16.0,R. Westbrook makes free throw 1 of 2,1,105-114,,
1:16.0,R. Westbrook makes free throw 2 of 2,1,106-114,,
1:16.0,A. Roberson enters the game for A. Abrines,,105-114,,
1:15.0,Personal take foul by V. Oladipo (drawn by K. Walker),,106-114,,
1:15.0,,,106-115,1,K. Walker makes free throw 1 of 2
1:15.0,,,106-116,1,K. Walker makes free throw 2 of 2
1:15.0,A. Abrines enters the game for A. Roberson,,106-115,,
1:09.0,R. Westbrook makes 3-pt shot from 25 ft,3,109-116,,
1:09.0,,,109-116,,Charlotte full timeout
1:09.0,A. Roberson enters the game for A. Abrines,,109-116,,
1:09.0,,,109-116,,F. Kaminsky enters the game for M. Kidd-Gilchrist
1:09.0,,,109-116,,M. Belinelli enters the game for R. Hibbert
0:51.0,Personal foul by S. Adams (drawn by M. Belinelli),,109-116,,
0:51.0,,,109-116,,M. Belinelli misses free throw 1 of 2
0:51.0,,,109-116,,Offensive rebound by Team
0:51.0,,,109-117,1,M. Belinelli makes free throw 2 of 2
0:51.0,Oklahoma City full timeout,,109-117,,
0:51.0,,,109-116,,R. Hibbert enters the game for F. Kaminsky
0:51.0,A. Abrines enters the game for A. Roberson,,109-116,,
0:51.0,A. Morrow enters the game for J. Grant,,109-117,,
0:51.0,,,109-117,,M. Kidd-Gilchrist enters the game for M. Belinelli
0:45.0,R. Westbrook misses 3-pt shot from 24 ft,,109-117,,
0:44.0,,,109-117,,Defensive rebound by M. Williams
0:44.0,Loose ball foul by A. Abrines (drawn by N. Batum),,109-117,,
0:44.0,,,109-118,1,N. Batum makes free throw 1 of 2
0:44.0,,,109-119,1,N. Batum makes free throw 2 of 2
0:38.0,A. Morrow makes 3-pt shot from 25 ft (assist by R. Westbrook),3,112-119,,
0:38.0,,,112-119,,Charlotte full timeout
0:38.0,J. Grant enters the game for A. Abrines,,112-119,,
0:38.0,A. Roberson enters the game for A. Morrow,,112-119,,
0:38.0,,,112-119,,F. Kaminsky enters the game for M. Kidd-Gilchrist
0:38.0,,,112-119,,M. Belinelli enters the game for R. Hibbert
0:37.0,Personal take foul by R. Westbrook (drawn by M. Belinelli),,112-119,,
0:37.0,,,112-120,1,M. Belinelli makes free throw 1 of 2
0:37.0,,,112-121,1,M. Belinelli makes free throw 2 of 2
0:37.0,A. Morrow enters the game for A. Roberson,,112-120,,
0:37.0,A. Abrines enters the game for J. Grant,,112-120,,
0:33.0,A. Morrow misses 3-pt shot from 25 ft (block by M. Williams),,112-121,,
0:30.0,Offensive rebound by R. Westbrook,,112-121,,
0:30.0,R. Westbrook misses 2-pt shot from 1 ft,,112-121,,
0:30.0,,,112-121,,Defensive rebound by Team
0:25.0,Personal foul by S. Adams (drawn by K. Walker),,112-121,,
0:25.0,,,112-122,1,K. Walker makes free throw 1 of 2
0:25.0,,,112-123,1,K. Walker makes free throw 2 of 2
0:25.0,,,112-122,,M. Kidd-Gilchrist enters the game for F. Kaminsky
0:25.0,,,112-122,,R. Hibbert enters the game for M. Belinelli
0:18.0,V. Oladipo misses 3-pt shot from 25 ft,,112-123,,
0:17.0,,,112-123,,Defensive rebound by N. Batum
0:00.0,End of 4th quarter,,,,End of 4th quarter
