time,New York,pts.away,score,pts.home,Minnesota
4:09.0,B. Jennings misses 3-pt shot from 24 ft,,101-95,,
4:07.0,Offensive rebound by Team,,101-95,,
4:07.0,,,101-95,,Loose ball foul by G. Dieng (drawn by M. Plumlee)
3:59.0,D. Rose misses 2-pt shot from 6 ft,,101-95,,
3:58.0,,,101-95,,Defensive rebound by K. Towns
3:58.0,Personal foul by M. Plumlee (drawn by K. Towns),,101-95,,
3:58.0,,,101-96,1,K. Towns makes free throw 1 of 2
3:58.0,,,101-97,1,K. Towns makes free throw 2 of 2
3:58.0,K. O'Quinn enters the game for M. Plumlee,,101-96,,
3:58.0,J. Holiday enters the game for D. Rose,,101-96,,
3:40.0,Shooting foul by A. Wiggins (drawn by C. Anthony),,101-97,,
3:40.0,C. Anthony misses free throw 1 of 2,,101-97,,
3:40.0,Offensive rebound by Team,,101-97,,
3:40.0,C. Anthony makes free throw 2 of 2,1,102-97,,
3:40.0,,,102-97,,Minnesota full timeout
3:27.0,,,102-97,,K. Towns misses 2-pt shot from 1 ft (block by K. Porzingis)
3:26.0,,,102-97,,Offensive rebound by Team
3:21.0,,,102-97,,Z. LaVine misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by J. Holiday,,102-97,,
3:00.0,B. Jennings misses 2-pt shot from 3 ft,,102-97,,
2:59.0,Offensive rebound by K. Porzingis,,102-97,,
2:41.0,K. Porzingis misses 2-pt shot from 19 ft,,102-97,,
2:39.0,,,102-97,,Defensive rebound by A. Wiggins
2:27.0,,,102-97,,A. Wiggins misses 2-pt shot from 18 ft
2:26.0,Defensive rebound by J. Holiday,,102-97,,
2:09.0,K. Porzingis misses 2-pt shot from 7 ft,,102-97,,
2:08.0,,,102-97,,Defensive rebound by G. Dieng
2:01.0,,,102-99,2,R. Rubio makes 2-pt shot from 2 ft
1:42.0,C. Anthony misses 3-pt shot from 24 ft,,102-99,,
1:41.0,,,102-99,,Defensive rebound by Team
1:27.0,,,102-99,,K. Towns misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by J. Holiday,,102-99,,
1:04.0,C. Anthony misses 2-pt shot from 17 ft,,102-99,,
1:03.0,,,102-99,,Defensive rebound by K. Towns
0:55.0,,,102-99,,A. Wiggins misses 2-pt shot from 17 ft
0:53.0,,,102-99,,Offensive rebound by G. Dieng
0:50.0,,,102-102,3,Z. LaVine makes 3-pt shot from 24 ft (assist by G. Dieng)
0:50.0,New York full timeout,,102-102,,
0:37.0,J. Holiday misses 2-pt shot from 1 ft,,102-102,,
0:36.0,Offensive rebound by K. Porzingis,,102-102,,
0:36.0,K. Porzingis makes 2-pt shot at rim,2,104-102,,
0:25.0,,,104-102,,G. Dieng misses 2-pt shot from 16 ft
0:24.0,,,104-102,,Offensive rebound by Team
0:24.0,Loose ball foul by K. O'Quinn (drawn by K. Towns),,104-102,,
0:24.0,,,104-103,1,K. Towns makes free throw 1 of 2
0:24.0,,,104-104,1,K. Towns makes free throw 2 of 2
0:24.0,New York full timeout,,104-104,,
0:24.0,M. Kuzminskas enters the game for K. O'Quinn,,104-104,,
0:02.0,C. Anthony makes 2-pt shot from 18 ft,2,106-104,,
0:02.0,,,106-104,,Minnesota full timeout
0:02.0,,,106-104,,Minnesota full timeout
0:00.0,,,106-104,,Turnover by Z. LaVine (bad pass; steal by C. Anthony)
0:00.0,End of 4th quarter,,,,End of 4th quarter
