time,Indiana,pts.away,score,pts.home,Denver
10:16.0,,,56-71,,Turnover by N. Jokic (bad pass; steal by P. George)
10:10.0,G. Robinson misses 2-pt shot from 3 ft,,56-71,,
10:09.0,Offensive rebound by G. Robinson,,56-71,,
10:01.0,G. Robinson makes 2-pt shot from 16 ft,2,58-71,,
9:44.0,,,58-71,,Turnover by N. Jokic (bad pass)
9:33.0,P. George misses 3-pt shot from 26 ft,,58-71,,
9:32.0,,,58-71,,Defensive rebound by W. Chandler
9:24.0,Violation by M. Turner (kicked ball),,58-71,,
9:16.0,,,58-74,3,E. Mudiay makes 3-pt shot from 25 ft (assist by N. Jokic)
9:09.0,Turnover by J. Teague (bad pass; steal by W. Chandler),,58-74,,
9:06.0,,,58-76,2,G. Harris makes 2-pt shot from 1 ft (assist by W. Chandler)
9:06.0,Shooting block foul by J. Teague (drawn by G. Harris),,58-76,,
9:06.0,Indiana full timeout,,58-76,,
9:06.0,,,58-77,1,G. Harris makes free throw 1 of 1
8:50.0,G. Robinson makes 2-pt shot from 13 ft (assist by P. George),2,60-77,,
8:23.0,,,60-79,2,N. Jokic makes 2-pt shot from 2 ft (assist by W. Chandler)
8:09.0,Turnover by J. Teague (back court),,60-79,,
7:57.0,,,60-79,,Shooting foul by T. Young (drawn by G. Harris)
7:57.0,,,60-80,1,G. Harris makes free throw 1 of 2
7:57.0,,,60-81,1,G. Harris makes free throw 2 of 2
7:42.0,M. Turner makes 3-pt shot from 25 ft (assist by J. Teague),3,63-81,,
7:31.0,,,63-81,,Shooting foul by M. Turner (drawn by N. Jokic)
7:31.0,,,63-82,1,N. Jokic makes free throw 1 of 2
7:31.0,,,63-83,1,N. Jokic makes free throw 2 of 2
7:31.0,K. Seraphin enters the game for M. Turner,,63-82,,
7:16.0,P. George misses 2-pt shot from 12 ft,,63-83,,
7:14.0,,,63-83,,Defensive rebound by N. Jokic
7:02.0,,,63-86,3,G. Harris makes 3-pt shot from 25 ft (assist by E. Mudiay)
6:49.0,J. Teague makes 2-pt shot from 3 ft,2,65-86,,
6:39.0,,,65-89,3,N. Jokic makes 3-pt shot from 25 ft (assist by E. Mudiay)
6:16.0,P. George misses 2-pt shot from 16 ft,,65-89,,
6:15.0,,,65-89,,Defensive rebound by N. Jokic
6:01.0,,,65-91,2,E. Mudiay makes 2-pt shot at rim
5:50.0,,,65-91,,Personal foul by G. Harris (drawn by J. Teague)
5:50.0,M. Ellis enters the game for G. Robinson,,65-91,,
5:43.0,Turnover by T. Young (bad pass),,65-91,,
5:29.0,,,65-93,2,N. Jokic makes 2-pt shot from 6 ft
5:19.0,T. Young misses 2-pt shot from 18 ft,,65-93,,
5:18.0,Offensive rebound by M. Ellis,,65-93,,
5:16.0,Turnover by M. Ellis (bad pass; steal by E. Mudiay),,65-93,,
5:06.0,,,65-95,2,W. Chandler makes 2-pt shot from 3 ft (assist by E. Mudiay)
4:59.0,Indiana full timeout,,65-95,,
4:41.0,M. Ellis misses 3-pt shot from 25 ft,,65-95,,
4:40.0,,,65-95,,Defensive rebound by N. Jokic
4:34.0,,,65-97,2,D. Gallinari makes 2-pt shot from 2 ft (assist by N. Jokic)
4:19.0,J. Teague misses 2-pt shot from 7 ft,,65-97,,
4:18.0,,,65-97,,Defensive rebound by N. Jokic
4:12.0,,,65-97,,Turnover by G. Harris (lost ball; steal by M. Ellis)
3:56.0,K. Seraphin makes 2-pt shot from 17 ft (assist by J. Teague),2,67-97,,
3:41.0,,,67-100,3,W. Chandler makes 3-pt shot from 26 ft (assist by E. Mudiay)
3:25.0,K. Seraphin misses 2-pt shot from 6 ft,,67-100,,
3:25.0,,,67-100,,Defensive rebound by N. Jokic
