time,Charlotte,pts.away,score,pts.home,New York
9:41.0,,,78-82,,J. Holiday misses 2-pt shot from 17 ft
9:40.0,Defensive rebound by N. Batum,,78-82,,
9:26.0,Shooting foul by K. O'Quinn (drawn by R. Hibbert),,78-82,,
9:26.0,R. Hibbert makes free throw 1 of 2,1,79-82,,
9:26.0,R. Hibbert makes free throw 2 of 2,1,80-82,,
9:06.0,,,80-82,,B. Jennings misses 3-pt shot from 25 ft
9:05.0,,,80-82,,Offensive rebound by K. Porzingis
8:58.0,,,80-84,2,K. O'Quinn makes 2-pt shot from 5 ft (assist by J. Holiday)
8:44.0,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Sessions),3,83-84,,
8:34.0,,,83-84,,Turnover by B. Jennings (lost ball)
8:34.0,Official timeout,,83-84,,
8:13.0,N. Batum makes 2-pt shot from 10 ft,2,85-84,,
7:56.0,,,85-84,,K. O'Quinn misses 2-pt shot from 15 ft
7:55.0,Defensive rebound by N. Batum,,85-84,,
7:48.0,N. Batum misses 3-pt shot from 26 ft,,85-84,,
7:47.0,,,85-84,,Defensive rebound by K. O'Quinn
7:32.0,,,85-86,2,K. Porzingis makes 2-pt shot from 8 ft
7:16.0,F. Kaminsky misses 3-pt shot from 24 ft,,85-86,,
7:16.0,,,85-86,,Defensive rebound by B. Jennings
7:08.0,,,85-86,,B. Jennings misses 2-pt shot from 20 ft
7:07.0,Defensive rebound by N. Batum,,85-86,,
6:59.0,Turnover by F. Kaminsky (traveling),,85-86,,
6:44.0,,,85-86,,K. Porzingis misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by R. Hibbert,,85-86,,
6:30.0,Turnover by M. Belinelli (bad pass; steal by J. Holiday),,85-86,,
6:23.0,,,85-89,3,K. Porzingis makes 3-pt shot from 25 ft (assist by B. Jennings)
6:23.0,Charlotte full timeout,,85-89,,
6:23.0,K. Walker enters the game for R. Sessions,,85-89,,
6:23.0,C. Zeller enters the game for R. Hibbert,,85-89,,
6:23.0,,,85-89,,C. Anthony enters the game for M. Kuzminskas
6:06.0,N. Batum makes 2-pt shot from 18 ft,2,87-89,,
5:49.0,,,87-89,,C. Anthony misses 2-pt shot from 19 ft
5:48.0,Defensive rebound by C. Zeller,,87-89,,
5:37.0,K. Walker makes 2-pt shot at rim,2,89-89,,
5:26.0,,,89-89,,Turnover by J. Holiday (lost ball)
5:26.0,,,89-89,,D. Rose enters the game for B. Jennings
5:09.0,F. Kaminsky misses 2-pt shot from 14 ft,,89-89,,
5:08.0,Offensive rebound by Team,,89-89,,
5:08.0,,,89-89,,C. Lee enters the game for J. Holiday
5:02.0,Shooting foul by K. O'Quinn (drawn by F. Kaminsky),,89-89,,
5:02.0,F. Kaminsky makes free throw 1 of 2,1,90-89,,
5:02.0,F. Kaminsky makes free throw 2 of 2,1,91-89,,
4:39.0,,,91-91,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by D. Rose)
4:21.0,N. Batum makes 2-pt shot at rim,2,93-91,,
4:05.0,,,93-94,3,K. Porzingis makes 3-pt shot from 25 ft
3:45.0,M. Belinelli misses 2-pt shot from 4 ft,,93-94,,
3:44.0,Offensive rebound by C. Zeller,,93-94,,
3:44.0,C. Zeller misses 2-pt shot at rim,,93-94,,
3:41.0,Offensive rebound by F. Kaminsky,,93-94,,
