time,Washington,pts.away,score,pts.home,San Antonio
3:35.0,M. Gortat makes free throw 2 of 2,1,95-96,,
3:35.0,,,94-96,,D. Lee enters the game for P. Gasol
3:20.0,,,95-98,2,P. Mills makes 2-pt shot from 19 ft
3:05.0,B. Beal misses 2-pt shot from 18 ft,,95-98,,
3:04.0,,,95-98,,Defensive rebound by P. Mills
2:48.0,,,95-100,2,K. Leonard makes 2-pt shot from 16 ft
2:21.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,97-100,,
1:59.0,,,97-100,,K. Leonard misses 2-pt shot from 14 ft
1:58.0,,,97-100,,Offensive rebound by D. Lee
1:55.0,,,97-100,,P. Mills misses 3-pt shot from 30 ft
1:54.0,Defensive rebound by O. Porter,,97-100,,
1:46.0,Shooting foul by L. Aldridge (drawn by B. Beal),,97-100,,
1:46.0,Official timeout,,97-100,,
1:46.0,B. Beal makes free throw 1 of 2,1,98-100,,
1:46.0,B. Beal misses free throw 2 of 2,,98-100,,
1:45.0,,,98-100,,Defensive rebound by D. Lee
1:24.0,,,98-100,,Turnover by K. Leonard (lost ball; steal by O. Porter)
1:24.0,,,98-100,,Personal foul by K. Leonard (drawn by O. Porter)
1:24.0,O. Porter makes free throw 1 of 2,1,99-100,,
1:24.0,O. Porter makes free throw 2 of 2,1,100-100,,
1:07.0,,,100-100,,P. Mills misses 2-pt shot from 18 ft
1:07.0,,,100-100,,Offensive rebound by D. Lee
1:06.0,,,100-102,2,D. Lee makes 2-pt shot at rim
0:53.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,103-102,,
0:29.0,,,103-102,,P. Mills misses 3-pt shot from 26 ft
0:28.0,,,103-102,,Offensive rebound by L. Aldridge
0:24.0,,,103-102,,San Antonio full timeout
0:24.0,,,103-102,,D. Green enters the game for D. Lee
0:19.0,,,103-105,3,D. Green makes 3-pt shot from 24 ft (assist by P. Mills)
0:19.0,Washington full timeout,,103-105,,
0:11.0,J. Wall makes 2-pt shot from 1 ft,2,105-105,,
0:11.0,,,105-105,,San Antonio full timeout
0:11.0,K. Oubre enters the game for M. Morris,,105-105,,
0:06.0,,,105-107,2,K. Leonard makes 2-pt shot from 20 ft (assist by M. Ginobili)
0:06.0,Washington full timeout,,105-107,,
0:06.0,,,105-107,,J. Simmons enters the game for P. Mills
0:06.0,M. Morris enters the game for K. Oubre,,105-107,,
0:01.0,O. Porter misses 2-pt shot from 9 ft,,105-107,,
0:00.0,,,105-107,,Defensive rebound by L. Aldridge
0:00.0,Personal foul by M. Gortat (drawn by L. Aldridge),,105-107,,
0:00.0,,,105-107,,L. Aldridge misses free throw 1 of 2
0:00.0,,,105-107,,Offensive rebound by Team
0:00.0,,,105-107,,L. Aldridge misses free throw 2 of 2
0:00.0,Defensive rebound by J. Smith,,105-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
0:00.0,J. Smith enters the game for M. Gortat,,105-107,,
