time,LA Lakers,pts.away,score,pts.home,Brooklyn
10:10.0,L. Nance makes 2-pt shot from 17 ft (assist by B. Ingram),2,84-84,,
9:49.0,,,84-87,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by C. LeVert)
9:43.0,,,84-87,,Shooting block foul by I. Whitehead
9:43.0,L. Williams makes free throw 1 of 2,1,85-87,,
9:43.0,L. Williams makes free throw 2 of 2,1,86-87,,
9:31.0,,,86-87,,Turnover by B. Bogdanovic (bad pass; steal by L. Williams)
9:27.0,J. Clarkson makes 2-pt shot from 2 ft (assist by L. Williams),2,88-87,,
9:16.0,,,88-89,2,I. Whitehead makes 2-pt shot from 3 ft
9:06.0,L. Williams misses 2-pt shot from 16 ft,,88-89,,
9:05.0,,,88-89,,Defensive rebound by C. LeVert
8:53.0,,,88-91,2,I. Whitehead makes 2-pt shot from 3 ft (assist by L. Scola)
8:31.0,L. Deng misses 2-pt shot from 11 ft (block by R. Hollis-Jefferson),,88-91,,
8:29.0,,,88-91,,Defensive rebound by R. Hollis-Jefferson
8:23.0,,,88-91,,Turnover by I. Whitehead (step out of bounds)
8:23.0,Official timeout,,88-91,,
8:13.0,J. Clarkson misses 2-pt shot from 2 ft (block by L. Scola),,88-91,,
8:12.0,Offensive rebound by J. Clarkson,,88-91,,
8:11.0,J. Clarkson makes 2-pt shot from 2 ft,2,90-91,,
7:56.0,,,90-91,,L. Scola misses 2-pt shot from 8 ft
7:55.0,Defensive rebound by Team,,90-91,,
7:55.0,,,90-91,,Loose ball foul by R. Hollis-Jefferson (drawn by B. Ingram)
7:55.0,,,90-91,,J. Harris enters the game for B. Bogdanovic
7:42.0,L. Nance makes 2-pt shot from 9 ft (assist by J. Clarkson),2,92-91,,
7:19.0,,,92-91,,J. Harris misses 2-pt shot from 2 ft (block by L. Nance)
7:17.0,,,92-91,,Offensive rebound by L. Scola
7:15.0,,,92-93,2,L. Scola makes 2-pt shot from 1 ft
7:07.0,Turnover by J. Clarkson (lost ball; steal by J. Harris),,92-93,,
7:01.0,Personal foul by L. Deng (drawn by C. LeVert),,92-93,,
7:01.0,,,92-93,,B. Lopez enters the game for L. Scola
7:01.0,,,92-93,,T. Booker enters the game for C. LeVert
7:01.0,,,92-93,,S. Kilpatrick enters the game for R. Hollis-Jefferson
7:01.0,T. Mozgov enters the game for L. Deng,,92-93,,
6:52.0,,,92-93,,S. Kilpatrick misses 3-pt shot from 26 ft
6:50.0,,,92-93,,Offensive rebound by T. Booker
6:48.0,,,92-93,,T. Booker misses 2-pt shot from 3 ft
6:47.0,,,92-93,,Offensive rebound by B. Lopez
6:46.0,,,92-95,2,B. Lopez makes 2-pt shot from 1 ft
6:33.0,L. Williams misses 2-pt shot from 2 ft,,92-95,,
6:32.0,Offensive rebound by T. Mozgov,,92-95,,
6:27.0,J. Clarkson misses 2-pt shot from 6 ft,,92-95,,
6:26.0,Offensive rebound by T. Mozgov,,92-95,,
6:18.0,L. Williams makes 2-pt shot from 3 ft,2,94-95,,
6:01.0,Personal foul by L. Williams,,94-95,,
5:51.0,,,94-97,2,B. Lopez makes 2-pt shot from 3 ft (assist by S. Kilpatrick)
5:32.0,,,94-97,,Personal foul by T. Booker (drawn by T. Mozgov)
5:32.0,,,94-97,,Brooklyn full timeout
5:32.0,N. Young enters the game for J. Clarkson,,94-97,,
5:32.0,J. Randle enters the game for L. Nance,,94-97,,
5:23.0,L. Williams misses 3-pt shot from 24 ft,,94-97,,
5:22.0,,,94-97,,Defensive rebound by T. Booker
5:17.0,,,94-99,2,B. Lopez makes 2-pt shot from 2 ft (assist by I. Whitehead)
4:59.0,B. Ingram misses 2-pt shot from 16 ft,,94-99,,
4:58.0,,,94-99,,Defensive rebound by B. Lopez
4:47.0,,,94-102,3,J. Harris makes 3-pt shot from 24 ft (assist by I. Whitehead)
4:47.0,LA Lakers full timeout,,94-102,,
4:47.0,D. Russell enters the game for B. Ingram,,94-102,,
4:47.0,L. Deng enters the game for L. Williams,,94-102,,
4:28.0,N. Young misses 3-pt shot from 25 ft,,94-102,,
4:27.0,,,94-102,,Defensive rebound by I. Whitehead
4:13.0,,,94-102,,S. Kilpatrick misses 2-pt shot from 21 ft
4:11.0,Defensive rebound by J. Randle,,94-102,,
4:02.0,D. Russell misses 2-pt shot from 6 ft,,94-102,,
4:01.0,Offensive rebound by J. Randle,,94-102,,
3:50.0,Shooting foul by I. Whitehead (drawn by D. Russell),,94-102,,
3:50.0,D. Russell makes free throw 1 of 2,1,95-102,,
3:50.0,D. Russell makes free throw 2 of 2,1,96-102,,
3:50.0,,,94-102,,B. Bogdanovic enters the game for I. Whitehead
3:45.0,,,96-102,,Turnover by B. Lopez (bad pass; steal by D. Russell)
3:39.0,N. Young misses 3-pt shot from 24 ft,,96-102,,
3:37.0,,,96-102,,Defensive rebound by T. Booker
3:14.0,,,96-102,,B. Bogdanovic misses 3-pt shot from 26 ft
3:13.0,Defensive rebound by L. Deng,,96-102,,
3:03.0,L. Deng misses 3-pt shot from 22 ft,,96-102,,
3:01.0,,,96-102,,Defensive rebound by B. Bogdanovic
2:40.0,,,96-102,,J. Harris misses 3-pt shot from 24 ft
2:39.0,,,96-102,,Offensive rebound by B. Bogdanovic
2:21.0,Personal foul by J. Randle (drawn by T. Booker),,96-102,,
2:21.0,Technical foul by N. Young,,96-102,,
2:21.0,,,96-102,,S. Kilpatrick misses technical free throw
2:21.0,,,96-102,,Offensive rebound by Team
2:20.0,,,96-102,,Turnover by S. Kilpatrick (offensive foul)
2:20.0,,,96-102,,Offensive foul by S. Kilpatrick
2:20.0,,,96-102,,R. Hollis-Jefferson enters the game for B. Bogdanovic
2:11.0,D. Russell misses 2-pt shot from 9 ft,,96-102,,
2:10.0,,,96-102,,Defensive rebound by B. Lopez
2:01.0,,,96-102,,Shooting foul by T. Mozgov (drawn by B. Lopez)
2:01.0,,,96-103,1,B. Lopez makes free throw 1 of 2
2:01.0,,,96-104,1,B. Lopez makes free throw 2 of 2
1:44.0,N. Young misses 3-pt shot from 25 ft,,96-104,,
1:43.0,,,96-104,,Defensive rebound by J. Harris
1:34.0,,,96-104,,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Mozgov)
1:24.0,L. Deng misses 3-pt shot from 26 ft,,96-104,,
1:23.0,,,96-104,,Defensive rebound by B. Lopez
1:12.0,,,96-104,,S. Kilpatrick misses 2-pt shot from 12 ft
1:11.0,,,96-104,,Offensive rebound by S. Kilpatrick
1:10.0,,,96-104,,S. Kilpatrick misses 2-pt shot from 2 ft
1:09.0,,,96-104,,Offensive rebound by Team
1:09.0,,,96-104,,J. Harris misses 2-pt shot from 5 ft
1:08.0,,,96-104,,Offensive rebound by T. Booker
1:05.0,,,96-104,,Shooting foul by T. Mozgov (drawn by T. Booker)
1:05.0,,,96-104,,T. Booker misses free throw 1 of 2
1:05.0,,,96-104,,Offensive rebound by Team
1:05.0,,,96-105,1,T. Booker makes free throw 2 of 2
0:46.0,T. Mozgov misses 2-pt shot from 15 ft,,96-105,,
0:45.0,Offensive rebound by Team,,96-105,,
0:45.0,,,96-105,,Loose ball foul by B. Lopez (drawn by J. Randle)
0:45.0,J. Randle misses free throw 1 of 2,,96-105,,
0:45.0,Offensive rebound by Team,,96-105,,
0:45.0,J. Randle misses free throw 2 of 2,,96-105,,
0:45.0,,,96-105,,B. Bogdanovic enters the game for R. Hollis-Jefferson
0:44.0,Offensive rebound by L. Deng,,96-105,,
0:42.0,Shooting foul by S. Kilpatrick (drawn by J. Randle),,96-105,,
0:42.0,J. Randle makes free throw 1 of 2,1,97-105,,
0:42.0,J. Randle misses free throw 2 of 2,,97-105,,
0:41.0,,,97-105,,Defensive rebound by S. Kilpatrick
0:26.0,Personal foul by D. Russell (drawn by J. Harris),,97-105,,
0:26.0,,,97-106,1,J. Harris makes free throw 1 of 2
0:26.0,,,97-107,1,J. Harris makes free throw 2 of 2
0:26.0,LA Lakers full timeout,,97-107,,
0:26.0,,,97-106,,R. Hollis-Jefferson enters the game for B. Bogdanovic
0:24.0,Offensive foul by T. Mozgov,,97-107,,
0:24.0,Turnover by T. Mozgov (offensive foul),,97-107,,
0:24.0,,,97-107,,B. Bogdanovic enters the game for R. Hollis-Jefferson
0:00.0,End of 4th quarter,,,,End of 4th quarter
