time,Brooklyn,pts.away,score,pts.home,Indiana
2:50.0,L. Scola misses 3-pt shot from 25 ft,,103-117,,
2:50.0,,,103-117,,Defensive rebound by M. Turner
2:39.0,Shooting block foul by L. Scola (drawn by M. Turner),,103-117,,
2:39.0,Official timeout,,103-117,,
2:39.0,,,103-118,1,M. Turner makes free throw 1 of 2
2:39.0,,,103-119,1,M. Turner makes free throw 2 of 2
2:39.0,,,103-117,,C. Miles enters the game for P. George
2:39.0,,,103-117,,A. Brooks enters the game for T. Young
2:39.0,,,103-117,,K. Seraphin enters the game for J. Teague
2:27.0,A. Bennett makes 3-pt shot from 27 ft (assist by R. Foye),3,106-119,,
2:11.0,,,106-119,,M. Turner misses 2-pt shot from 2 ft (block by J. Harris)
2:08.0,,,106-119,,Offensive rebound by K. Seraphin
2:06.0,,,106-119,,C. Miles misses 3-pt shot from 26 ft
2:04.0,,,106-119,,Offensive rebound by G. Robinson
1:47.0,,,106-121,2,M. Turner makes 2-pt shot at rim (assist by A. Brooks)
1:47.0,,,106-121,,Technical foul by M. Turner
1:47.0,R. Foye makes technical free throw,1,107-121,,
1:47.0,,,107-121,,L. Allen enters the game for G. Robinson
1:47.0,,,107-121,,J. Young enters the game for M. Turner
1:33.0,L. Scola misses 2-pt shot from 11 ft,,107-121,,
1:32.0,,,107-121,,Defensive rebound by J. Young
1:22.0,,,107-121,,J. Young misses 3-pt shot from 26 ft
1:21.0,Defensive rebound by R. Foye,,107-121,,
1:17.0,Turnover by R. Foye (bad pass),,107-121,,
0:52.0,,,107-121,,J. Young misses 3-pt shot from 26 ft
0:51.0,Defensive rebound by A. Bennett,,107-121,,
0:45.0,A. Bennett makes 2-pt shot from 2 ft (assist by J. Harris),2,109-121,,
0:25.0,,,109-121,,J. Young misses 2-pt shot from 11 ft
0:24.0,Defensive rebound by L. Scola,,109-121,,
0:17.0,Turnover by R. Foye (bad pass; steal by L. Allen),,109-121,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
