time,Milwaukee,pts.away,score,pts.home,Phoenix
0:05.0,,,74-65,1,D. Booker makes free throw 1 of 2
0:05.0,,,74-66,1,D. Booker makes free throw 2 of 2
0:01.0,Offensive charge foul by G. Antetokounmpo,,74-66,,
0:01.0,Turnover by G. Antetokounmpo (offensive foul),,74-66,,
0:01.0,,,74-66,,Phoenix full timeout
0:00.0,,,74-66,,T. Warren misses 3-pt shot from 41 ft
0:00.0,,,74-66,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,74-66,,E. Bledsoe misses 2-pt shot from 16 ft
11:47.0,,,74-66,,Offensive rebound by Team
11:47.0,Loose ball foul by G. Antetokounmpo (drawn by T. Chandler),,74-66,,
11:35.0,,,74-66,,Turnover by D. Booker (bad pass)
11:30.0,Shooting foul by T. Warren (drawn by G. Antetokounmpo),,74-66,,
11:30.0,G. Antetokounmpo makes free throw 1 of 2,1,75-66,,
11:30.0,G. Antetokounmpo misses free throw 2 of 2,,75-66,,
11:29.0,Offensive rebound by G. Antetokounmpo,,75-66,,
11:15.0,J. Parker makes 2-pt shot from 8 ft,2,77-66,,
10:57.0,,,77-68,2,T. Warren makes 2-pt shot from 19 ft
10:36.0,J. Parker makes 2-pt shot from 1 ft,2,79-68,,
10:36.0,Shooting foul by M. Chriss (drawn by J. Parker),,79-68,,
10:36.0,J. Parker misses free throw 1 of 1,,79-68,,
10:35.0,,,79-68,,Defensive rebound by T. Chandler
10:25.0,,,79-68,,Shooting foul by T. Snell (drawn by D. Booker)
10:25.0,,,79-69,1,D. Booker makes free throw 1 of 2
10:25.0,,,79-70,1,D. Booker makes free throw 2 of 2
10:06.0,T. Snell misses 2-pt shot from 20 ft,,79-70,,
10:05.0,Offensive rebound by J. Henson,,79-70,,
9:58.0,M. Dellavedova makes 2-pt shot from 23 ft,2,81-70,,
9:38.0,,,81-70,,D. Booker misses 3-pt shot from 26 ft
9:37.0,Defensive rebound by G. Antetokounmpo,,81-70,,
9:29.0,J. Henson makes 2-pt shot from 9 ft (assist by G. Antetokounmpo),2,83-70,,
9:29.0,,,83-70,,Phoenix full timeout
9:29.0,,,83-70,,P. Tucker enters the game for M. Chriss
9:22.0,Personal foul by M. Dellavedova (drawn by E. Bledsoe),,83-70,,
9:19.0,,,83-70,,Turnover by E. Bledsoe (traveling)
9:09.0,Turnover by M. Dellavedova (bad pass; steal by P. Tucker),,83-70,,
9:03.0,,,83-70,,D. Booker misses 2-pt shot from 2 ft
9:03.0,,,83-70,,Offensive rebound by E. Bledsoe
8:52.0,,,83-70,,D. Booker misses 2-pt shot from 17 ft
8:50.0,Defensive rebound by J. Parker,,83-70,,
8:40.0,Turnover by G. Antetokounmpo (3 sec),,83-70,,
8:30.0,,,83-70,,T. Warren misses 3-pt shot from 23 ft
8:30.0,Defensive rebound by J. Henson,,83-70,,
8:13.0,M. Dellavedova misses 2-pt shot from 14 ft,,83-70,,
8:11.0,,,83-70,,Defensive rebound by P. Tucker
8:05.0,,,83-70,,T. Warren misses 2-pt shot from 1 ft
8:03.0,,,83-70,,Offensive rebound by P. Tucker
8:03.0,,,83-70,,P. Tucker misses 2-pt shot from 2 ft
8:01.0,Defensive rebound by J. Henson,,83-70,,
7:56.0,Turnover by J. Parker (traveling),,83-70,,
7:47.0,,,83-70,,D. Booker misses 2-pt shot from 12 ft
7:45.0,,,83-70,,Offensive rebound by T. Chandler
7:41.0,,,83-72,2,T. Warren makes 2-pt shot from 4 ft (assist by T. Chandler)
7:27.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,83-72,,
7:27.0,,,83-72,,Defensive rebound by E. Bledsoe
7:20.0,,,83-72,,E. Bledsoe misses 3-pt shot from 26 ft
7:20.0,Defensive rebound by J. Parker,,83-72,,
7:07.0,J. Parker makes 2-pt shot at rim (assist by T. Snell),2,85-72,,
6:48.0,,,85-72,,Turnover by P. Tucker (traveling)
6:48.0,G. Monroe enters the game for J. Henson,,85-72,,
6:34.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,85-72,,
6:33.0,,,85-72,,Defensive rebound by T. Chandler
6:25.0,Personal foul by J. Parker (drawn by E. Bledsoe),,85-72,,
6:25.0,,,85-73,1,E. Bledsoe makes free throw 1 of 2
6:25.0,,,85-74,1,E. Bledsoe makes free throw 2 of 2
6:25.0,,,85-73,,M. Chriss enters the game for T. Chandler
