time,Chicago,pts.away,score,pts.home,Portland
5:55.0,Defensive rebound by N. Mirotic,,101-80,,
5:43.0,Chicago full timeout,,101-80,,
5:41.0,Turnover by J. Butler (bad pass; steal by M. Harkless),,101-80,,
5:37.0,,,101-82,2,M. Harkless makes 2-pt shot at rim (assist by C. McCollum)
5:22.0,Shooting foul by D. Lillard (drawn by I. Canaan),,101-82,,
5:22.0,I. Canaan makes free throw 1 of 3,1,102-82,,
5:22.0,I. Canaan makes free throw 2 of 3,1,103-82,,
5:22.0,I. Canaan makes free throw 3 of 3,1,104-82,,
5:05.0,,,104-82,,C. McCollum misses 3-pt shot from 25 ft
5:05.0,Defensive rebound by N. Mirotic,,104-82,,
4:51.0,D. Wade makes 2-pt shot from 21 ft,2,106-82,,
4:34.0,,,106-82,,C. McCollum misses 2-pt shot at rim
4:33.0,Defensive rebound by N. Mirotic,,106-82,,
4:16.0,I. Canaan misses 3-pt shot from 25 ft,,106-82,,
4:15.0,Offensive rebound by T. Gibson,,106-82,,
4:12.0,Shooting foul by E. Davis (drawn by T. Gibson),,106-82,,
4:12.0,,,106-82,,Portland full timeout
4:12.0,T. Gibson makes free throw 1 of 2,1,107-82,,
4:12.0,T. Gibson makes free throw 2 of 2,1,108-82,,
4:12.0,,,106-82,,T. Quarterman enters the game for M. Harkless
4:12.0,,,106-82,,N. Vonleh enters the game for C. McCollum
4:12.0,,,106-82,,J. Layman enters the game for D. Lillard
4:12.0,,,106-82,,P. Connaughton enters the game for A. Crabbe
4:12.0,,,106-82,,S. Napier enters the game for E. Davis
4:12.0,C. Felicio enters the game for J. Butler,,106-82,,
4:12.0,J. Grant enters the game for D. Wade,,106-82,,
4:12.0,P. Zipser enters the game for I. Canaan,,106-82,,
4:12.0,D. Valentine enters the game for N. Mirotic,,106-82,,
4:01.0,,,108-85,3,S. Napier makes 3-pt shot from 25 ft (assist by T. Quarterman)
3:48.0,B. Portis enters the game for T. Gibson,,108-85,,
3:48.0,R. Hunter enters the game for J. Grant,,108-85,,
3:42.0,R. Hunter misses 3-pt shot from 25 ft,,108-85,,
3:41.0,,,108-85,,Defensive rebound by S. Napier
3:35.0,,,108-87,2,P. Connaughton makes 2-pt shot from 7 ft (assist by T. Quarterman)
3:35.0,,,108-87,,Shooting foul by P. Zipser (drawn by P. Connaughton)
3:35.0,,,108-88,1,P. Connaughton makes free throw 1 of 1
3:11.0,C. Felicio misses 2-pt shot from 3 ft,,108-88,,
3:10.0,Offensive rebound by B. Portis,,108-88,,
3:07.0,D. Valentine misses 3-pt shot from 25 ft,,108-88,,
3:06.0,,,108-88,,Defensive rebound by N. Vonleh
2:52.0,,,108-88,,N. Vonleh misses 2-pt shot from 20 ft
2:51.0,Defensive rebound by B. Portis,,108-88,,
2:41.0,B. Portis makes 3-pt shot from 25 ft (assist by D. Valentine),3,111-88,,
2:21.0,,,111-88,,J. Layman misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by P. Zipser,,111-88,,
2:04.0,Turnover by B. Portis (lost ball; steal by J. Layman),,111-88,,
1:57.0,,,111-88,,J. Layman misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by D. Valentine,,111-88,,
1:43.0,P. Zipser misses 2-pt shot from 2 ft,,111-88,,
1:41.0,Offensive rebound by C. Felicio,,111-88,,
1:31.0,D. Valentine misses 2-pt shot from 14 ft,,111-88,,
1:30.0,Offensive rebound by Team,,111-88,,
1:23.0,C. Felicio misses 2-pt shot from 20 ft,,111-88,,
1:22.0,,,111-88,,Defensive rebound by N. Vonleh
1:15.0,,,111-88,,Shooting foul by C. Felicio (drawn by S. Napier)
1:15.0,,,111-88,,S. Napier misses free throw 1 of 2
1:15.0,,,111-88,,Offensive rebound by Team
1:15.0,,,111-88,,S. Napier misses free throw 2 of 2
1:15.0,Defensive rebound by B. Portis,,111-88,,
0:59.0,P. Zipser misses 2-pt shot from 2 ft,,111-88,,
0:58.0,Offensive rebound by C. Felicio,,111-88,,
0:58.0,C. Felicio misses 2-pt shot from 1 ft,,111-88,,
0:57.0,Offensive rebound by C. Felicio,,111-88,,
0:57.0,C. Felicio makes 2-pt shot from 1 ft,2,113-88,,
0:47.0,,,113-88,,N. Vonleh misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by C. Felicio,,113-88,,
0:30.0,P. Zipser misses 3-pt shot from 26 ft,,113-88,,
0:28.0,,,113-88,,Defensive rebound by N. Vonleh
0:10.0,,,113-88,,S. Napier misses 2-pt shot from 1 ft
0:09.0,Defensive rebound by C. Felicio,,113-88,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
