time,Memphis,pts.away,score,pts.home,LA Lakers
0:12.0,,,103-106,1,T. Ennis makes free throw 2 of 2
0:12.0,Memphis full timeout,,103-106,,
0:12.0,B. Wright enters the game for T. Daniels,,103-105,,
0:12.0,T. Daniels enters the game for B. Wright,,103-106,,
0:06.0,M. Conley misses 3-pt shot from 26 ft,,103-106,,
0:06.0,,,103-106,,Defensive rebound by Team
0:05.0,Personal take foul by M. Conley (drawn by J. Randle),,103-106,,
0:05.0,,,103-107,1,J. Randle makes free throw 1 of 2
0:05.0,,,103-108,1,J. Randle makes free throw 2 of 2
0:05.0,B. Wright enters the game for T. Allen,,103-107,,
0:01.0,M. Conley misses 3-pt shot from 26 ft,,103-108,,
0:01.0,Offensive rebound by B. Wright,,103-108,,
0:01.0,B. Wright misses 2-pt shot from 1 ft,,103-108,,
0:00.0,Offensive rebound by Team,,103-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
