time,Milwaukee,pts.away,score,pts.home,Washington
0:41.0,,,100-104,,Turnover by J. Wall (traveling)
0:37.0,Jump ball: G. Antetokounmpo vs. O. Porter (J. Parker gains possession),,,,Jump ball: G. Antetokounmpo vs. O. Porter (J. Parker gains possession)
0:27.0,M. Dellavedova misses 2-pt shot from 4 ft (block by M. Gortat),,100-104,,
0:27.0,Offensive rebound by Team,,100-104,,
0:23.0,G. Antetokounmpo makes 2-pt shot at rim,2,102-104,,
0:13.0,Personal foul by M. Dellavedova (drawn by J. Wall),,102-104,,
0:13.0,,,102-104,,J. Wall misses free throw 1 of 2
0:13.0,,,102-104,,Offensive rebound by Team
0:13.0,,,102-105,1,J. Wall makes free throw 2 of 2
0:13.0,Milwaukee full timeout,,102-105,,
0:13.0,,,102-104,,K. Oubre enters the game for M. Gortat
0:13.0,J. Terry enters the game for J. Henson,,102-105,,
0:08.0,T. Snell misses 3-pt shot from 24 ft,,102-105,,
0:06.0,,,102-105,,Defensive rebound by B. Beal
0:06.0,Personal foul by M. Dellavedova (drawn by B. Beal),,102-105,,
0:06.0,,,102-106,1,B. Beal makes free throw 1 of 2
0:06.0,,,102-107,1,B. Beal makes free throw 2 of 2
0:02.0,T. Snell misses 3-pt shot from 24 ft,,102-107,,
0:01.0,,,102-107,,Defensive rebound by J. Wall
0:00.0,End of 4th quarter,,,,End of 4th quarter
