time,Charlotte,pts.away,score,pts.home,Washington
7:59.0,J. Lamb makes 2-pt shot from 2 ft,2,88-97,,
7:43.0,,,88-100,3,K. Oubre makes 3-pt shot from 28 ft (assist by J. Smith)
7:42.0,Charlotte full timeout,,88-100,,
7:42.0,C. Zeller enters the game for M. Williams,,88-100,,
7:42.0,N. Batum enters the game for J. Lamb,,88-100,,
7:42.0,K. Walker enters the game for B. Roberts,,88-100,,
7:29.0,F. Kaminsky misses 3-pt shot from 28 ft,,88-100,,
7:28.0,,,88-100,,Defensive rebound by I. Mahinmi
7:12.0,,,88-100,,B. Jennings misses 3-pt shot from 28 ft
7:11.0,Defensive rebound by F. Kaminsky,,88-100,,
6:59.0,M. Belinelli makes 2-pt shot from 2 ft (assist by N. Batum),2,90-100,,
6:43.0,,,90-103,3,K. Oubre makes 3-pt shot from 24 ft (assist by B. Jennings)
6:27.0,K. Walker misses 2-pt shot from 16 ft,,90-103,,
6:26.0,,,90-103,,Defensive rebound by B. Jennings
6:14.0,,,90-103,,Turnover by B. Jennings (bad pass; steal by N. Batum)
6:10.0,Shooting foul by J. Smith (drawn by F. Kaminsky),,90-103,,
6:10.0,F. Kaminsky misses free throw 1 of 2,,90-103,,
6:10.0,Offensive rebound by Team,,90-103,,
6:10.0,F. Kaminsky makes free throw 2 of 2,1,91-103,,
6:10.0,,,90-103,,J. Wall enters the game for B. Jennings
6:10.0,,,90-103,,B. Beal enters the game for B. Bogdanovic
6:00.0,,,91-103,,Offensive foul by I. Mahinmi
6:00.0,,,91-103,,Turnover by I. Mahinmi (offensive foul)
5:42.0,Turnover by K. Walker (lost ball; steal by B. Beal),,91-103,,
5:31.0,Violation by K. Walker (kicked ball),,91-103,,
5:31.0,Official timeout,,91-103,,
5:17.0,,,91-103,,J. Wall misses 2-pt shot from 19 ft
5:16.0,Defensive rebound by F. Kaminsky,,91-103,,
5:10.0,Offensive foul by M. Belinelli,,91-103,,
5:10.0,Turnover by M. Belinelli (offensive foul),,91-103,,
5:00.0,,,91-103,,I. Mahinmi misses 2-pt shot from 1 ft
