time,Dallas,pts.away,score,pts.home,Orlando
3:08.0,Defensive rebound by A. Bogut,,81-88,,
2:50.0,J. Gibson misses 2-pt shot from 16 ft,,81-88,,
2:50.0,,,81-88,,Defensive rebound by N. Vucevic
2:40.0,,,81-88,,Turnover by S. Ibaka (offensive foul)
2:40.0,,,81-88,,Offensive charge foul by S. Ibaka
2:40.0,,,81-88,,B. Biyombo enters the game for C. Watson
2:40.0,,,81-88,,E. Fournier enters the game for N. Vucevic
2:22.0,W. Matthews makes 3-pt shot from 25 ft (assist by H. Barnes),3,84-88,,
2:22.0,,,84-88,,Orlando full timeout
2:22.0,,,84-88,,N. Vucevic enters the game for B. Biyombo
2:05.0,,,84-91,3,E. Fournier makes 3-pt shot from 26 ft (assist by D. Augustin)
1:53.0,Offensive foul by J. Gibson,,84-91,,
1:53.0,Turnover by J. Gibson (offensive foul),,84-91,,
1:38.0,,,84-91,,Shooting foul by A. Bogut (drawn by N. Vucevic)
1:38.0,,,84-92,1,N. Vucevic makes free throw 1 of 2
1:38.0,,,84-93,1,N. Vucevic makes free throw 2 of 2
1:38.0,,,84-92,,C. Watson enters the game for S. Ibaka
1:20.0,A. Bogut misses 2-pt shot from 5 ft,,84-93,,
1:20.0,,,84-93,,Defensive rebound by N. Vucevic
0:58.0,,,84-93,,N. Vucevic misses 2-pt shot from 11 ft
0:58.0,Defensive rebound by W. Matthews,,84-93,,
0:53.0,S. Curry makes 3-pt shot from 26 ft (assist by W. Matthews),3,87-93,,
0:53.0,,,87-93,,Orlando full timeout
0:53.0,,,87-93,,S. Ibaka enters the game for C. Watson
0:53.0,J. Anderson enters the game for A. Bogut,,87-93,,
0:31.0,,,87-93,,E. Fournier misses 2-pt shot from 5 ft
0:31.0,Defensive rebound by J. Gibson,,87-93,,
0:26.0,J. Gibson misses 2-pt shot from 1 ft,,87-93,,
0:26.0,,,87-93,,Defensive rebound by N. Vucevic
0:20.0,,,87-93,,Turnover by D. Augustin (lost ball)
0:20.0,,,87-93,,B. Biyombo enters the game for S. Ibaka
0:20.0,,,87-93,,C. Watson enters the game for N. Vucevic
0:09.0,W. Matthews misses 3-pt shot from 27 ft,,87-93,,
0:09.0,,,87-93,,Defensive rebound by Team
0:04.0,Personal take foul by S. Curry (drawn by E. Fournier),,87-93,,
0:04.0,,,87-94,1,E. Fournier makes free throw 1 of 2
0:04.0,,,87-95,1,E. Fournier makes free throw 2 of 2
0:04.0,Dallas full timeout,,87-95,,
0:04.0,,,87-95,,A. Gordon enters the game for C. Watson
0:01.0,H. Barnes misses 3-pt shot from 27 ft,,87-95,,
0:00.0,Offensive rebound by Team,,87-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
