time,Philadelphia,pts.away,score,pts.home,Phoenix
7:07.0,G. Henderson misses 2-pt shot from 5 ft,,92-96,,
7:05.0,,,92-96,,Defensive rebound by D. Booker
6:59.0,,,92-98,2,T. Warren makes 2-pt shot at rim (assist by E. Bledsoe)
6:44.0,D. Saric misses 2-pt shot from 7 ft,,92-98,,
6:41.0,Offensive rebound by J. Okafor,,92-98,,
6:23.0,Turnover by D. Saric (lost ball),,92-98,,
6:23.0,,,92-98,,Phoenix full timeout
6:23.0,,,92-98,,Phoenix full timeout
6:10.0,,,92-100,2,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe)
5:57.0,,,92-100,,Personal foul by T. Chandler (drawn by J. Okafor)
5:57.0,R. Covington enters the game for G. Henderson,,92-100,,
5:43.0,R. Covington makes 2-pt shot from 4 ft,2,94-100,,
5:23.0,Personal foul by J. Okafor (drawn by D. Booker),,94-100,,
5:23.0,J. Embiid enters the game for J. Okafor,,94-100,,
5:14.0,,,94-102,2,D. Booker makes 2-pt shot from 18 ft
5:05.0,J. Embiid misses 3-pt shot from 25 ft,,94-102,,
5:02.0,,,94-102,,Defensive rebound by D. Booker
4:41.0,,,94-104,2,E. Bledsoe makes 2-pt shot from 8 ft
4:27.0,T. McConnell misses 2-pt shot from 17 ft,,94-104,,
4:26.0,,,94-104,,Defensive rebound by P. Tucker
4:05.0,,,94-106,2,D. Booker makes 2-pt shot from 17 ft
4:05.0,Philadelphia full timeout,,94-106,,
4:05.0,S. Rodriguez enters the game for T. McConnell,,94-106,,
4:05.0,E. Ilyasova enters the game for H. Thompson,,94-106,,
3:54.0,J. Embiid makes 2-pt shot from 1 ft,2,96-106,,
3:54.0,,,96-106,,Shooting block foul by D. Booker (drawn by J. Embiid)
3:54.0,J. Embiid makes free throw 1 of 1,1,97-106,,
3:39.0,,,97-109,3,T. Warren makes 3-pt shot from 24 ft (assist by E. Bledsoe)
3:28.0,S. Rodriguez makes 3-pt shot from 25 ft,3,100-109,,
3:08.0,,,100-112,3,D. Booker makes 3-pt shot from 27 ft
2:55.0,S. Rodriguez makes 2-pt shot from 19 ft,2,102-112,,
2:31.0,,,102-112,,D. Booker misses 2-pt shot from 22 ft
2:30.0,,,102-112,,Offensive rebound by Team
2:30.0,Loose ball foul by J. Embiid,,102-112,,
2:30.0,,,102-113,1,T. Warren makes free throw 1 of 2
2:30.0,,,102-114,1,T. Warren makes free throw 2 of 2
2:21.0,R. Covington misses 3-pt shot from 25 ft,,102-114,,
2:19.0,,,102-114,,Defensive rebound by T. Chandler
2:00.0,,,102-114,,Shooting foul by D. Saric (drawn by E. Bledsoe)
2:00.0,,,102-115,1,E. Bledsoe makes free throw 1 of 2
2:00.0,,,102-116,1,E. Bledsoe makes free throw 2 of 2
1:46.0,J. Embiid makes 2-pt shot at rim (assist by S. Rodriguez),2,104-116,,
1:20.0,,,104-116,,E. Bledsoe misses 3-pt shot from 26 ft
1:18.0,Defensive rebound by J. Embiid,,104-116,,
1:13.0,J. Embiid makes 2-pt shot from 1 ft (assist by S. Rodriguez),2,106-116,,
1:13.0,Shooting foul by T. Chandler (drawn by J. Embiid),,106-116,,
1:13.0,J. Embiid makes free throw 1 of 1,1,107-116,,
1:13.0,T. McConnell enters the game for S. Rodriguez,,106-116,,
0:57.0,,,107-116,,T. Warren misses 3-pt shot from 26 ft
0:56.0,,,107-116,,Offensive rebound by T. Chandler
0:56.0,,,107-118,2,T. Chandler makes 2-pt shot from 1 ft
0:56.0,Philadelphia full timeout,,107-118,,
0:56.0,S. Rodriguez enters the game for T. McConnell,,107-118,,
0:46.0,,,107-118,,Violation by P. Tucker (kicked ball)
0:41.0,,,107-118,,Violation by P. Tucker (def goaltending)
0:41.0,S. Rodriguez makes 2-pt shot from 1 ft,2,109-118,,
0:35.0,Personal foul by E. Ilyasova (drawn by E. Bledsoe),,109-118,,
0:35.0,,,109-118,,E. Bledsoe misses free throw 1 of 2
0:35.0,,,109-118,,Offensive rebound by Team
0:35.0,,,109-119,1,E. Bledsoe makes free throw 2 of 2
0:35.0,H. Thompson enters the game for J. Embiid,,109-118,,
0:28.0,S. Rodriguez makes 3-pt shot from 26 ft,3,112-119,,
0:24.0,Personal foul by S. Rodriguez (drawn by E. Bledsoe),,112-119,,
0:24.0,,,112-119,,E. Bledsoe misses free throw 1 of 2
0:24.0,,,112-119,,Offensive rebound by Team
0:24.0,,,112-120,1,E. Bledsoe makes free throw 2 of 2
0:18.0,S. Rodriguez makes 2-pt shot from 1 ft,2,114-120,,
0:16.0,,,114-120,,Turnover by E. Bledsoe (bad pass; steal by D. Saric)
0:12.0,R. Covington makes 2-pt shot from 3 ft (assist by E. Ilyasova),2,116-120,,
0:12.0,,,116-120,,Phoenix full timeout
0:12.0,Personal take foul by E. Ilyasova (drawn by E. Bledsoe),,116-120,,
0:12.0,,,116-121,1,E. Bledsoe makes free throw 1 of 2
0:12.0,,,116-121,,E. Bledsoe misses free throw 2 of 2
0:12.0,T. McConnell enters the game for S. Rodriguez,,116-120,,
0:12.0,,,116-120,,L. Barbosa enters the game for T. Chandler
0:09.0,,,116-121,,Offensive rebound by P. Tucker
0:09.0,Personal foul by R. Covington (drawn by P. Tucker),,116-121,,
0:09.0,,,116-122,1,P. Tucker makes free throw 1 of 2
0:09.0,,,116-123,1,P. Tucker makes free throw 2 of 2
0:09.0,Philadelphia full timeout,,116-123,,
0:09.0,S. Rodriguez enters the game for R. Covington,,116-121,,
0:09.0,G. Henderson enters the game for T. McConnell,,116-123,,
0:07.0,D. Saric misses 3-pt shot from 26 ft (block by P. Tucker),,116-123,,
0:06.0,,,116-123,,Defensive rebound by P. Tucker
0:00.0,End of 4th quarter,,,,End of 4th quarter
