time,Indiana,pts.away,score,pts.home,LA Clippers
5:00.0,,,98-88,,Defensive rebound by D. Jordan
4:59.0,Personal foul by J. Teague (drawn by D. Jordan),,98-88,,
4:59.0,,,98-88,,D. Jordan misses free throw 1 of 2
4:59.0,,,98-88,,Offensive rebound by Team
4:59.0,,,98-89,1,D. Jordan makes free throw 2 of 2
4:42.0,P. George misses 2-pt shot from 18 ft,,98-89,,
4:41.0,,,98-89,,Defensive rebound by J. Crawford
4:25.0,,,98-89,,J. Crawford misses 3-pt shot from 26 ft
4:24.0,Defensive rebound by P. George,,98-89,,
4:01.0,Turnover by Team (shot clock),,98-89,,
3:51.0,,,98-91,2,C. Paul makes 2-pt shot from 14 ft
3:51.0,Indiana full timeout,,98-91,,
3:51.0,,,98-91,,L. Mbah a Moute enters the game for J. Crawford
3:38.0,J. Teague misses 2-pt shot from 3 ft,,98-91,,
3:36.0,,,98-91,,Defensive rebound by J. Redick
3:29.0,,,98-93,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
3:10.0,J. Teague makes 2-pt shot from 2 ft,2,100-93,,
3:04.0,,,100-93,,LA Clippers full timeout
3:04.0,,,100-93,,J. Crawford enters the game for L. Mbah a Moute
2:47.0,,,100-93,,Turnover by B. Griffin (lost ball; steal by J. Teague)
2:42.0,M. Turner makes 2-pt shot at rim (assist by J. Teague),2,102-93,,
2:24.0,,,102-96,3,C. Paul makes 3-pt shot from 27 ft
2:08.0,Shooting foul by J. Redick (drawn by M. Ellis),,102-96,,
2:08.0,M. Ellis makes free throw 1 of 2,1,103-96,,
2:08.0,M. Ellis misses free throw 2 of 2,,103-96,,
2:05.0,,,103-96,,Defensive rebound by D. Jordan
1:53.0,,,103-96,,Shooting foul by M. Turner (drawn by C. Paul)
1:53.0,,,103-97,1,C. Paul makes free throw 1 of 2
1:53.0,,,103-98,1,C. Paul makes free throw 2 of 2
1:53.0,,,103-97,,L. Mbah a Moute enters the game for J. Crawford
1:53.0,,,103-97,,A. Rivers enters the game for J. Redick
1:38.0,Shooting foul by B. Griffin (drawn by M. Turner),,103-98,,
1:38.0,M. Turner makes free throw 1 of 2,1,104-98,,
1:38.0,M. Turner misses free throw 2 of 2,,104-98,,
1:38.0,,,104-98,,Defensive rebound by B. Griffin
1:38.0,,,104-98,,LA Clippers full timeout
1:38.0,,,104-98,,J. Redick enters the game for L. Mbah a Moute
1:38.0,,,104-98,,J. Crawford enters the game for A. Rivers
1:26.0,,,104-98,,J. Redick misses 3-pt shot from 26 ft
1:26.0,,,104-98,,Offensive rebound by D. Jordan
1:26.0,,,104-100,2,D. Jordan makes 2-pt shot at rim
1:26.0,,,104-100,,Shooting foul by P. George (drawn by D. Jordan)
1:26.0,,,104-100,,D. Jordan misses free throw 1 of 1
1:26.0,,,104-100,,A. Rivers enters the game for J. Redick
1:26.0,,,104-100,,L. Mbah a Moute enters the game for J. Crawford
1:24.0,,,104-100,,Offensive rebound by B. Griffin
1:24.0,,,104-100,,B. Griffin misses 2-pt shot from 2 ft
1:21.0,Defensive rebound by M. Ellis,,104-100,,
1:00.0,P. George makes 3-pt shot from 25 ft (assist by M. Turner),3,107-100,,
1:00.0,,,107-100,,LA Clippers full timeout
1:00.0,,,107-100,,J. Crawford enters the game for L. Mbah a Moute
1:00.0,,,107-100,,J. Redick enters the game for A. Rivers
0:50.0,,,107-100,,B. Griffin misses 2-pt shot from 23 ft
0:49.0,Defensive rebound by Team,,107-100,,
0:49.0,,,107-100,,Loose ball foul by D. Jordan (drawn by M. Turner)
0:49.0,M. Turner makes free throw 1 of 2,1,108-100,,
0:49.0,M. Turner makes free throw 2 of 2,1,109-100,,
0:49.0,,,108-100,,M. Speights enters the game for D. Jordan
0:42.0,,,109-100,,C. Paul misses 3-pt shot from 27 ft
0:41.0,Defensive rebound by P. George,,109-100,,
0:35.0,,,109-100,,Violation by J. Redick (kicked ball)
0:35.0,Indiana full timeout,,109-100,,
0:35.0,,,109-100,,A. Rivers enters the game for M. Speights
0:35.0,C. Miles enters the game for T. Young,,109-100,,
0:31.0,,,109-100,,Personal take foul by J. Crawford (drawn by J. Teague)
0:31.0,J. Teague makes free throw 1 of 2,1,110-100,,
0:31.0,J. Teague makes free throw 2 of 2,1,111-100,,
0:31.0,T. Young enters the game for M. Turner,,110-100,,
0:24.0,,,111-102,2,C. Paul makes 2-pt shot from 4 ft
0:00.0,Turnover by Team (shot clock),,111-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
