time,Denver,pts.away,score,pts.home,Boston
6:19.0,,,115-93,,J. Brown misses 3-pt shot from 29 ft
6:18.0,Defensive rebound by G. Harris,,115-93,,
5:56.0,J. Nelson misses 2-pt shot from 20 ft,,115-93,,
5:55.0,,,115-93,,Defensive rebound by A. Bradley
5:46.0,,,115-93,,T. Rozier misses 2-pt shot from 2 ft
5:45.0,Defensive rebound by K. Faried,,115-93,,
5:33.0,D. Gallinari misses 3-pt shot from 24 ft,,115-93,,
5:32.0,,,115-93,,Defensive rebound by A. Bradley
5:14.0,,,115-93,,M. Smart misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by J. Nelson,,115-93,,
5:02.0,,,115-93,,Personal foul by J. Brown (drawn by K. Faried)
5:02.0,K. Faried makes free throw 1 of 2,1,116-93,,
5:02.0,K. Faried misses free throw 2 of 2,,116-93,,
5:02.0,,,116-93,,Defensive rebound by J. Young
5:02.0,,,116-93,,D. Jackson enters the game for M. Smart
5:02.0,,,116-93,,J. Young enters the game for A. Bradley
4:43.0,,,116-93,,D. Jackson misses 2-pt shot from 16 ft
4:42.0,,,116-93,,Offensive rebound by J. Brown
4:40.0,,,116-93,,J. Brown misses 2-pt shot from 2 ft (block by K. Faried)
4:38.0,,,116-93,,Offensive rebound by D. Jackson
4:37.0,,,116-93,,Turnover by Team (shot clock)
4:27.0,E. Mudiay misses 2-pt shot from 14 ft,,116-93,,
4:26.0,,,116-93,,Defensive rebound by T. Rozier
4:21.0,,,116-95,2,D. Jackson makes 2-pt shot from 2 ft (assist by T. Rozier)
3:59.0,G. Harris misses 3-pt shot from 27 ft,,116-95,,
3:57.0,Offensive rebound by K. Faried,,116-95,,
3:57.0,Denver full timeout,,116-95,,
3:45.0,E. Mudiay misses 2-pt shot from 19 ft,,116-95,,
3:44.0,,,116-95,,Defensive rebound by D. Jackson
3:34.0,,,116-95,,Shooting foul by J. Nelson (drawn by J. Mickey)
3:34.0,,,116-97,2,J. Mickey makes 2-pt shot from 2 ft (assist by D. Jackson)
3:34.0,,,116-97,,J. Mickey misses free throw 1 of 1
3:34.0,Defensive rebound by J. Murray,,116-97,,
3:34.0,J. Murray enters the game for G. Harris,,116-97,,
3:18.0,D. Gallinari makes 2-pt shot from 16 ft (assist by J. Nelson),2,118-97,,
3:01.0,,,118-97,,Turnover by J. Mickey (lost ball; steal by K. Faried)
2:40.0,E. Mudiay makes 2-pt shot from 8 ft,2,120-97,,
2:26.0,,,120-97,,Shooting foul by K. Faried (drawn by J. Brown)
2:26.0,,,120-98,1,J. Brown makes free throw 1 of 2
2:26.0,,,120-99,1,J. Brown makes free throw 2 of 2
2:26.0,M. Beasley enters the game for E. Mudiay,,120-98,,
2:26.0,J. Hernangomez enters the game for D. Gallinari,,120-98,,
2:11.0,J. Murray makes 3-pt shot from 26 ft (assist by M. Beasley),3,123-99,,
1:55.0,,,123-99,,T. Rozier misses 2-pt shot from 20 ft
1:54.0,,,123-99,,Offensive rebound by D. Jackson
1:53.0,Personal foul by J. Hernangomez,,123-99,,
1:40.0,,,123-99,,J. Brown misses 3-pt shot from 27 ft
1:39.0,Defensive rebound by K. Faried,,123-99,,
1:28.0,Turnover by J. Hernangomez (step out of bounds),,123-99,,
1:18.0,,,123-99,,Shooting foul by K. Faried (drawn by D. Jackson)
1:18.0,,,123-100,1,D. Jackson makes free throw 1 of 2
1:18.0,,,123-101,1,D. Jackson makes free throw 2 of 2
1:02.0,J. Murray misses 2-pt shot from 21 ft,,123-101,,
1:01.0,,,123-101,,Defensive rebound by T. Rozier
0:56.0,,,123-103,2,T. Rozier makes 2-pt shot from 2 ft
0:48.0,M. Beasley misses 2-pt shot from 1 ft (block by J. Brown),,123-103,,
0:47.0,,,123-103,,Defensive rebound by J. Brown
0:43.0,,,123-106,3,T. Rozier makes 3-pt shot from 27 ft (assist by J. Brown)
0:26.0,Loose ball foul by K. Faried (drawn by D. Jackson),,123-106,,
0:26.0,Turnover by K. Faried (offensive foul),,123-106,,
0:26.0,,,123-107,1,D. Jackson makes free throw 1 of 2
0:26.0,,,123-107,,D. Jackson misses free throw 2 of 2
0:26.0,Defensive rebound by J. Hernangomez,,123-107,,
0:02.0,Turnover by Team (shot clock),,123-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
