time,Sacramento,pts.away,score,pts.home,Boston
5:43.0,,,40-40,2,J. Crowder makes 2-pt shot from 2 ft (assist by A. Bradley)
5:43.0,,,40-41,1,J. Crowder makes free throw 1 of 1
5:32.0,O. Casspi misses 2-pt shot from 10 ft,,40-41,,
5:31.0,Offensive rebound by O. Casspi,,40-41,,
5:30.0,O. Casspi misses 2-pt shot from 6 ft,,40-41,,
5:28.0,Offensive rebound by O. Casspi,,40-41,,
5:15.0,O. Casspi misses 2-pt shot from 2 ft,,40-41,,
5:14.0,Offensive rebound by O. Casspi,,40-41,,
5:14.0,O. Casspi misses 2-pt shot from 1 ft,,40-41,,
5:13.0,,,40-41,,Defensive rebound by J. Jerebko
5:09.0,Personal foul by M. Barnes (drawn by J. Jerebko),,40-41,,
5:09.0,D. Collison enters the game for G. Temple,,40-41,,
4:52.0,,,40-41,,J. Jerebko misses 2-pt shot from 1 ft
4:50.0,Defensive rebound by D. Cousins,,40-41,,
4:44.0,D. Cousins misses 3-pt shot from 26 ft,,40-41,,
4:42.0,,,40-41,,Defensive rebound by A. Bradley
4:25.0,,,40-43,2,A. Horford makes 2-pt shot from 14 ft (assist by J. Crowder)
4:00.0,D. Cousins misses 2-pt shot from 2 ft (block by A. Horford),,40-43,,
3:59.0,,,40-43,,Defensive rebound by J. Jerebko
3:59.0,Personal foul by O. Casspi (drawn by J. Jerebko),,40-43,,
3:59.0,T. Lawson enters the game for M. Barnes,,40-43,,
3:59.0,,,40-43,,M. Smart enters the game for J. Jerebko
3:37.0,,,40-43,,A. Bradley misses 2-pt shot from 17 ft
3:36.0,Defensive rebound by D. Cousins,,40-43,,
3:21.0,D. Cousins makes 2-pt shot from 20 ft (assist by T. Lawson),2,42-43,,
3:12.0,Personal foul by T. Lawson (drawn by I. Thomas),,42-43,,
3:05.0,,,42-43,,Turnover by I. Thomas (bad pass; steal by D. Collison)
3:00.0,T. Lawson makes 2-pt shot at rim (assist by D. Collison),2,44-43,,
2:39.0,,,44-43,,A. Horford misses 3-pt shot from 24 ft
2:37.0,Defensive rebound by R. Gay,,44-43,,
2:35.0,,,44-43,,Personal foul by A. Horford (drawn by D. Cousins)
2:35.0,,,44-43,,Boston full timeout
2:35.0,,,44-43,,K. Olynyk enters the game for A. Bradley
