time,Orlando,pts.away,score,pts.home,Dallas
1:03.0,D. Augustin makes 2-pt shot from 8 ft,2,78-110,,
0:54.0,,,78-112,2,N. Brussino makes 2-pt shot from 22 ft (assist by D. Powell)
0:44.0,D. Rudez misses 2-pt shot from 20 ft,,78-112,,
0:42.0,,,78-112,,Defensive rebound by D. Finney-Smith
0:35.0,,,78-112,,N. Brussino misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by D. Augustin,,78-112,,
0:30.0,M. Hezonja makes 2-pt shot at rim (assist by C. Watson),2,80-112,,
0:12.0,,,80-112,,Turnover by D. Finney-Smith (bad pass; steal by D. Augustin)
0:07.0,Turnover by C. Watson (bad pass),,80-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
