time,Golden State,pts.away,score,pts.home,Brooklyn
9:04.0,,,92-88,,B. Lopez enters the game for J. Hamilton
9:04.0,,,92-88,,B. Bogdanovic enters the game for S. Kilpatrick
9:04.0,S. Curry enters the game for K. Thompson,,92-88,,
9:04.0,Z. Pachulia enters the game for D. West,,92-88,,
8:48.0,K. Durant misses 2-pt shot from 5 ft,,92-88,,
8:47.0,Offensive rebound by Z. Pachulia,,92-88,,
8:35.0,Shooting foul by B. Bogdanovic (drawn by K. Durant),,92-88,,
8:35.0,K. Durant makes free throw 1 of 2,1,93-88,,
8:35.0,K. Durant makes free throw 2 of 2,1,94-88,,
8:18.0,,,94-88,,C. LeVert misses 2-pt shot from 17 ft
8:17.0,Defensive rebound by S. Curry,,94-88,,
8:07.0,S. Livingston misses 2-pt shot from 18 ft,,94-88,,
8:06.0,,,94-88,,Defensive rebound by Team
8:06.0,Loose ball foul by Z. Pachulia (drawn by J. Lin),,94-88,,
8:06.0,,,94-88,,J. Harris enters the game for C. LeVert
7:54.0,,,94-88,,Turnover by J. Lin (lost ball; steal by S. Curry)
7:49.0,K. Durant makes 2-pt shot from 2 ft,2,96-88,,
7:21.0,,,96-91,3,B. Lopez makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
6:56.0,A. Iguodala makes 3-pt shot from 25 ft,3,99-91,,
6:42.0,,,99-91,,Turnover by J. Harris (bad pass; steal by K. Durant)
6:38.0,S. Livingston makes 2-pt shot at rim (assist by S. Curry),2,101-91,,
6:38.0,,,101-91,,Brooklyn full timeout
6:38.0,,,101-91,,S. Kilpatrick enters the game for J. Lin
6:38.0,I. Clark enters the game for A. Iguodala,,101-91,,
6:30.0,,,101-91,,Turnover by B. Bogdanovic (bad pass; steal by S. Curry)
6:22.0,S. Curry misses 3-pt shot from 24 ft,,101-91,,
6:21.0,Offensive rebound by Z. Pachulia,,101-91,,
6:14.0,S. Livingston makes 2-pt shot at rim (assist by S. Curry),2,103-91,,
6:06.0,,,103-91,,Turnover by S. Kilpatrick (bad pass; steal by S. Curry)
5:57.0,K. Durant misses 3-pt shot from 24 ft,,103-91,,
5:56.0,,,103-91,,Defensive rebound by J. Harris
5:44.0,,,103-91,,J. Harris misses 2-pt shot from 1 ft
5:43.0,Defensive rebound by S. Livingston,,103-91,,
5:29.0,S. Curry misses 3-pt shot from 25 ft,,103-91,,
5:28.0,,,103-91,,Defensive rebound by R. Hollis-Jefferson
5:24.0,Personal foul by S. Curry (drawn by B. Lopez),,103-91,,
5:24.0,,,103-91,,J. Lin enters the game for J. Harris
5:24.0,,,103-91,,T. Booker enters the game for R. Hollis-Jefferson
5:24.0,K. Thompson enters the game for K. Durant,,103-91,,
5:16.0,Personal foul by I. Clark (drawn by J. Lin),,103-91,,
5:09.0,,,103-91,,B. Bogdanovic misses 3-pt shot from 25 ft
5:07.0,,,103-91,,Offensive rebound by T. Booker
5:03.0,,,103-91,,B. Lopez misses 3-pt shot from 27 ft
5:02.0,,,103-91,,Offensive rebound by B. Bogdanovic
5:00.0,,,103-93,2,B. Bogdanovic makes 2-pt shot from 1 ft
4:44.0,K. Thompson makes 2-pt shot from 17 ft (assist by Z. Pachulia),2,105-93,,
4:25.0,,,105-93,,S. Kilpatrick misses 3-pt shot from 22 ft
4:24.0,Defensive rebound by S. Livingston,,105-93,,
4:12.0,S. Curry makes 3-pt shot from 27 ft (assist by I. Clark),3,108-93,,
3:58.0,,,108-95,2,J. Lin makes 2-pt shot from 20 ft
3:35.0,I. Clark makes 2-pt shot from 20 ft,2,110-95,,
3:25.0,,,110-95,,J. Lin misses 3-pt shot from 24 ft
3:24.0,Defensive rebound by K. Thompson,,110-95,,
3:15.0,K. Thompson misses 2-pt shot from 2 ft,,110-95,,
3:11.0,,,110-95,,Defensive rebound by J. Lin
3:10.0,,,110-95,,Shooting foul by S. Curry (drawn by S. Kilpatrick)
3:10.0,,,110-96,1,S. Kilpatrick makes free throw 1 of 2
3:10.0,Golden State full timeout,,110-96,,
3:10.0,,,110-96,,S. Kilpatrick misses free throw 2 of 2
3:10.0,,,110-96,,R. Foye enters the game for J. Lin
3:10.0,,,110-96,,L. Scola enters the game for B. Bogdanovic
3:10.0,,,110-96,,S. Dinwiddie enters the game for T. Booker
3:10.0,,,110-96,,A. Bennett enters the game for B. Lopez
3:10.0,K. Durant enters the game for S. Livingston,,110-96,,
3:09.0,Defensive rebound by K. Durant,,110-96,,
2:53.0,I. Clark makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,112-96,,
2:36.0,,,112-96,,S. Kilpatrick misses 3-pt shot from 24 ft
2:35.0,Defensive rebound by K. Durant,,112-96,,
2:31.0,Golden State full timeout,,112-96,,
2:31.0,A. Varejao enters the game for K. Durant,,112-96,,
2:31.0,J. McAdoo enters the game for Z. Pachulia,,112-96,,
2:31.0,K. Looney enters the game for K. Thompson,,112-96,,
2:31.0,P. McCaw enters the game for S. Curry,,112-96,,
2:31.0,,,112-96,,C. LeVert enters the game for S. Kilpatrick
2:20.0,I. Clark misses 2-pt shot from 17 ft,,112-96,,
2:20.0,,,112-96,,Defensive rebound by R. Foye
2:13.0,Violation by I. Clark (kicked ball),,112-96,,
1:59.0,,,112-98,2,L. Scola makes 2-pt shot from 11 ft
1:44.0,P. McCaw makes 3-pt shot from 25 ft (assist by K. Looney),3,115-98,,
1:27.0,Personal foul by J. McAdoo (drawn by C. LeVert),,115-98,,
1:27.0,,,115-98,,C. LeVert misses free throw 1 of 2
1:27.0,,,115-98,,Offensive rebound by Team
1:27.0,,,115-99,1,C. LeVert makes free throw 2 of 2
1:12.0,K. Looney misses 2-pt shot from 1 ft,,115-99,,
1:11.0,,,115-99,,Defensive rebound by L. Scola
1:01.0,,,115-99,,Turnover by L. Scola (bad pass)
0:46.0,J. McAdoo misses 2-pt shot from 19 ft,,115-99,,
0:45.0,,,115-99,,Defensive rebound by Team
0:35.0,,,115-99,,Turnover by R. Foye (lost ball; steal by I. Clark)
0:21.0,I. Clark makes 2-pt shot from 2 ft,2,117-99,,
0:08.0,,,117-101,2,C. LeVert makes 2-pt shot from 8 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
