time,Cleveland,pts.away,score,pts.home,Memphis
2:43.0,J. McRae makes 2-pt shot from 2 ft,2,72-88,,
2:43.0,Shooting foul by A. Harrison (drawn by J. McRae),,72-88,,
2:43.0,J. McRae makes free throw 1 of 1,1,73-88,,
2:30.0,,,73-88,,T. Daniels misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by C. Andersen,,73-88,,
2:19.0,I. Shumpert makes 2-pt shot from 7 ft,2,75-88,,
2:00.0,,,75-91,3,T. Daniels makes 3-pt shot from 25 ft (assist by Z. Randolph)
1:48.0,Turnover by K. Felder (bad pass; steal by W. Baldwin),,75-91,,
1:46.0,,,75-91,,Turnover by W. Baldwin (bad pass; steal by J. Jones)
1:43.0,K. Felder makes 2-pt shot from 2 ft,2,77-91,,
1:26.0,,,77-93,2,Z. Randolph makes 2-pt shot from 1 ft
1:16.0,Shooting foul by A. Harrison (drawn by K. Felder),,77-93,,
1:16.0,K. Felder makes free throw 1 of 2,1,78-93,,
1:16.0,K. Felder makes free throw 2 of 2,1,79-93,,
0:58.0,,,79-93,,Turnover by A. Harrison (bad pass; steal by K. Felder)
0:57.0,,,79-93,,Personal take foul by A. Harrison (drawn by K. Felder)
0:57.0,K. Felder misses free throw 1 of 2,,79-93,,
0:57.0,Offensive rebound by Team,,79-93,,
0:57.0,K. Felder makes free throw 2 of 2,1,80-93,,
0:57.0,,,79-93,,T. Douglas enters the game for A. Harrison
0:45.0,,,80-93,,Turnover by W. Baldwin (bad pass; steal by C. Andersen)
0:42.0,C. Andersen makes 2-pt shot at rim (assist by K. Felder),2,82-93,,
0:19.0,,,82-93,,Turnover by W. Baldwin (traveling)
0:09.0,K. Felder makes 3-pt shot from 25 ft,3,85-93,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
