time,Brooklyn,pts.away,score,pts.home,New York
9:54.0,Q. Acy makes free throw 1 of 2,1,98-91,,
9:54.0,Q. Acy misses free throw 2 of 2,,98-91,,
9:54.0,R. Foye enters the game for K. McDaniels,,98-91,,
9:54.0,,,98-91,,W. Hernangomez enters the game for K. O'Quinn
9:53.0,,,98-91,,Defensive rebound by L. Thomas
9:40.0,,,98-93,2,R. Baker makes 2-pt shot from 21 ft
9:29.0,S. Dinwiddie misses 2-pt shot from 2 ft,,98-93,,
9:28.0,Offensive rebound by Team,,98-93,,
9:28.0,,,98-93,,Inbound foul by R. Baker
9:28.0,S. Dinwiddie misses free throw 1 of 1,,98-93,,
9:28.0,Offensive rebound by Team,,98-93,,
9:22.0,Shooting foul by W. Hernangomez (drawn by J. Hamilton),,98-93,,
9:22.0,J. Hamilton makes free throw 1 of 2,1,99-93,,
9:22.0,J. Hamilton makes free throw 2 of 2,1,100-93,,
9:22.0,K. McDaniels enters the game for I. Whitehead,,99-93,,
9:13.0,,,100-93,,J. Holiday misses 3-pt shot from 25 ft
9:12.0,,,100-93,,Offensive rebound by W. Hernangomez
9:10.0,,,100-93,,W. Hernangomez misses 2-pt shot from 3 ft
9:08.0,Defensive rebound by Q. Acy,,100-93,,
8:55.0,R. Foye misses 3-pt shot from 25 ft,,100-93,,
8:53.0,Offensive rebound by J. Hamilton,,100-93,,
8:46.0,R. Foye makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,103-93,,
8:31.0,,,103-96,3,L. Thomas makes 3-pt shot from 24 ft (assist by R. Baker)
8:05.0,K. McDaniels misses 2-pt shot from 2 ft,,103-96,,
8:03.0,Offensive rebound by K. McDaniels,,103-96,,
8:03.0,Shooting foul by W. Hernangomez (drawn by K. McDaniels),,103-96,,
8:03.0,Official timeout,,103-96,,
8:03.0,K. McDaniels makes free throw 1 of 2,1,104-96,,
8:03.0,K. McDaniels makes free throw 2 of 2,1,105-96,,
8:03.0,,,103-96,,D. Rose enters the game for W. Hernangomez
8:03.0,,,103-96,,C. Anthony enters the game for C. Lee
7:51.0,,,105-96,,Shooting foul by J. Hamilton (drawn by D. Rose)
7:51.0,,,105-97,1,D. Rose makes free throw 1 of 2
7:51.0,,,105-97,,D. Rose misses free throw 2 of 2
7:51.0,C. LeVert enters the game for K. McDaniels,,105-97,,
7:49.0,Defensive rebound by S. Dinwiddie,,105-97,,
7:40.0,R. Foye misses 2-pt shot from 1 ft (block by R. Baker),,105-97,,
7:39.0,Offensive rebound by Team,,105-97,,
7:39.0,Turnover by R. Foye (bad pass),,105-97,,
7:26.0,,,105-97,,R. Baker misses 2-pt shot from 4 ft
7:24.0,Defensive rebound by J. Hamilton,,105-97,,
7:12.0,C. LeVert misses 2-pt shot from 4 ft,,105-97,,
7:10.0,Offensive rebound by C. LeVert,,105-97,,
7:09.0,C. LeVert makes 2-pt shot from 2 ft,2,107-97,,
