time,Portland,pts.away,score,pts.home,Toronto
3:16.0,,,96-102,,Shooting foul by C. McCollum (drawn by D. DeRozan)
3:16.0,,,96-103,1,D. DeRozan makes free throw 1 of 2
3:16.0,,,96-104,1,D. DeRozan makes free throw 2 of 2
3:00.0,Shooting foul by C. Joseph (drawn by D. Lillard),,96-104,,
3:00.0,D. Lillard makes free throw 1 of 2,1,97-104,,
3:00.0,D. Lillard makes free throw 2 of 2,1,98-104,,
2:41.0,,,98-104,,Shooting foul by D. Lillard (drawn by C. Joseph)
2:41.0,,,98-106,2,C. Joseph makes 2-pt shot from 2 ft
2:41.0,,,98-106,,Toronto full timeout
2:41.0,,,98-107,1,C. Joseph makes free throw 1 of 1
2:28.0,,,98-107,,Personal foul by D. DeRozan (drawn by C. McCollum)
2:28.0,C. McCollum makes free throw 1 of 2,1,99-107,,
2:28.0,C. McCollum makes free throw 2 of 2,1,100-107,,
2:13.0,,,100-107,,C. Joseph misses 2-pt shot from 14 ft
2:12.0,Defensive rebound by Team,,100-107,,
2:12.0,,,100-107,,Loose ball foul by P. Tucker (drawn by A. Crabbe)
2:12.0,A. Crabbe makes free throw 1 of 2,1,101-107,,
2:12.0,A. Crabbe makes free throw 2 of 2,1,102-107,,
1:56.0,,,102-107,,S. Ibaka misses 2-pt shot from 10 ft
1:55.0,Defensive rebound by A. Aminu,,102-107,,
1:42.0,D. Lillard makes 2-pt shot from 3 ft,2,104-107,,
1:25.0,,,104-109,2,D. DeRozan makes 2-pt shot from 18 ft
1:19.0,D. Lillard misses 2-pt shot from 4 ft,,104-109,,
1:19.0,,,104-109,,Defensive rebound by S. Ibaka
0:57.0,,,104-109,,D. Carroll misses 2-pt shot from 22 ft
0:57.0,Defensive rebound by C. McCollum,,104-109,,
0:48.0,C. McCollum misses 2-pt shot from 4 ft,,104-109,,
0:48.0,,,104-109,,Defensive rebound by D. DeRozan
0:43.0,,,104-109,,D. DeRozan misses 2-pt shot from 2 ft (block by A. Crabbe)
0:43.0,,,104-109,,Offensive rebound by Team
0:30.0,,,104-109,,Shooting foul by A. Aminu (drawn by D. DeRozan)
0:30.0,,,104-110,1,D. DeRozan makes free throw 1 of 2
0:30.0,,,104-111,1,D. DeRozan makes free throw 2 of 2
0:30.0,Portland full timeout,,104-111,,
0:30.0,J. Nurkic enters the game for D. Lillard,,104-110,,
0:30.0,M. Leonard enters the game for M. Harkless,,104-111,,
0:30.0,D. Lillard enters the game for J. Nurkic,,104-111,,
0:25.0,C. McCollum makes 2-pt shot from 13 ft,2,106-111,,
0:23.0,Personal take foul by D. Lillard (drawn by D. DeRozan),,106-111,,
0:23.0,,,106-112,1,D. DeRozan makes free throw 1 of 2
0:23.0,,,106-112,,D. DeRozan misses free throw 2 of 2
0:23.0,Defensive rebound by J. Nurkic,,106-112,,
0:23.0,Portland full timeout,,106-112,,
0:23.0,J. Nurkic enters the game for D. Lillard,,106-112,,
0:23.0,D. Lillard enters the game for J. Nurkic,,106-112,,
0:08.0,C. McCollum misses 2-pt shot from 4 ft,,106-112,,
0:08.0,,,106-112,,Defensive rebound by S. Ibaka
0:00.0,End of 4th quarter,,,,End of 4th quarter
