time,Charlotte,pts.away,score,pts.home,Memphis
5:40.0,C. Zeller enters the game for R. Hibbert,,91-75,,
5:27.0,K. Walker makes 3-pt shot from 27 ft,3,94-75,,
5:13.0,,,94-75,,M. Gasol misses 3-pt shot from 26 ft
5:13.0,Defensive rebound by N. Batum,,94-75,,
5:04.0,Turnover by K. Walker (lost ball; steal by M. Gasol),,94-75,,
4:58.0,,,94-75,,A. Harrison misses 2-pt shot from 22 ft
4:57.0,Defensive rebound by Team,,94-75,,
4:57.0,,,94-75,,D. Davis enters the game for M. Gasol
4:46.0,Shooting foul by D. Davis (drawn by C. Zeller),,94-75,,
4:46.0,C. Zeller misses free throw 1 of 2,,94-75,,
4:46.0,Offensive rebound by Team,,94-75,,
4:46.0,C. Zeller makes free throw 2 of 2,1,95-75,,
4:46.0,,,94-75,,J. Martin enters the game for J. Green
4:46.0,,,94-75,,W. Baldwin enters the game for A. Harrison
4:28.0,,,95-75,,T. Daniels misses 3-pt shot from 25 ft
4:27.0,Defensive rebound by Team,,95-75,,
4:16.0,J. Lamb makes 2-pt shot at rim (assist by N. Batum),2,97-75,,
3:57.0,,,97-75,,J. Martin misses 2-pt shot at rim
3:53.0,,,97-75,,Offensive rebound by W. Baldwin
3:51.0,,,97-75,,J. Martin misses 2-pt shot from 19 ft
3:50.0,Defensive rebound by F. Kaminsky,,97-75,,
3:44.0,Charlotte full timeout,,97-75,,
3:44.0,B. Roberts enters the game for N. Batum,,97-75,,
3:44.0,A. Harrison enters the game for K. Walker,,97-75,,
3:44.0,T. Graham enters the game for J. Lamb,,97-75,,
3:30.0,T. Graham makes 3-pt shot from 24 ft (assist by A. Harrison),3,100-75,,
3:04.0,,,100-75,,W. Baldwin misses 3-pt shot from 26 ft
3:03.0,,,100-75,,Offensive rebound by Team
2:55.0,,,100-77,2,J. Martin makes 2-pt shot from 1 ft (assist by W. Baldwin)
2:38.0,Turnover by T. Graham (lost ball; steal by T. Williams),,100-77,,
2:35.0,,,100-79,2,T. Williams makes 2-pt shot at rim
2:19.0,C. Zeller misses 2-pt shot from 6 ft,,100-79,,
2:18.0,,,100-79,,Defensive rebound by J. Martin
2:16.0,,,100-79,,Shooting foul by T. Graham (drawn by J. Martin)
2:16.0,,,100-79,,Memphis full timeout
2:16.0,,,100-79,,J. Martin misses free throw 1 of 2
2:16.0,,,100-79,,Offensive rebound by Team
2:16.0,,,100-79,,J. Martin misses free throw 2 of 2
2:16.0,Defensive rebound by C. Zeller,,100-79,,
2:03.0,Shooting foul by J. Martin (drawn by A. Harrison),,100-79,,
2:03.0,A. Harrison makes free throw 1 of 2,1,101-79,,
2:03.0,A. Harrison misses free throw 2 of 2,,101-79,,
2:01.0,,,101-79,,Defensive rebound by J. Martin
1:42.0,,,101-81,2,D. Davis makes 2-pt shot at rim (assist by W. Baldwin)
1:32.0,B. Roberts misses 2-pt shot from 1 ft (block by D. Davis),,101-81,,
1:32.0,Offensive rebound by Team,,101-81,,
1:18.0,A. Harrison misses 2-pt shot from 21 ft,,101-81,,
1:18.0,Offensive rebound by Team,,101-81,,
1:18.0,Turnover by Team (shot clock),,101-81,,
0:57.0,,,101-83,2,W. Baldwin makes 2-pt shot from 2 ft (assist by D. Davis)
0:45.0,B. Roberts misses 2-pt shot from 14 ft,,101-83,,
0:43.0,,,101-83,,Defensive rebound by D. Davis
0:37.0,,,101-85,2,W. Baldwin makes 2-pt shot from 15 ft
0:17.0,T. Graham makes 3-pt shot from 26 ft (assist by F. Kaminsky),3,104-85,,
0:01.0,,,104-85,,W. Baldwin misses 3-pt shot from 25 ft
0:00.0,,,104-85,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
