time,Houston,pts.away,score,pts.home,LA Lakers
4:42.0,,,107-110,,J. Randle enters the game for L. Nance
4:27.0,,,108-110,,Turnover by J. Clarkson (lost ball; steal by E. Gordon)
4:27.0,,,108-110,,Personal foul by J. Clarkson (drawn by E. Gordon)
4:27.0,,,108-110,,D. Russell enters the game for B. Ingram
4:10.0,J. Harden misses 3-pt shot from 27 ft,,108-110,,
4:07.0,,,108-110,,Defensive rebound by L. Deng
4:02.0,,,108-110,,N. Young misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by R. Anderson,,108-110,,
3:53.0,,,108-110,,Personal foul by N. Young (drawn by J. Harden)
3:53.0,J. Harden makes free throw 1 of 2,1,109-110,,
3:53.0,J. Harden makes free throw 2 of 2,1,110-110,,
3:38.0,,,110-110,,Turnover by D. Russell (bad pass; steal by T. Ariza)
3:31.0,E. Gordon misses 2-pt shot from 2 ft,,110-110,,
3:31.0,,,110-110,,Defensive rebound by Team
3:10.0,,,110-110,,D. Russell misses 3-pt shot from 31 ft
3:07.0,,,110-110,,Offensive rebound by L. Deng
3:07.0,,,110-112,2,L. Deng makes 2-pt shot from 1 ft
2:58.0,,,110-112,,Personal foul by J. Randle (drawn by J. Harden)
2:58.0,Houston full timeout,,110-112,,
2:58.0,J. Harden makes free throw 1 of 2,1,111-112,,
2:58.0,J. Harden makes free throw 2 of 2,1,112-112,,
2:47.0,Personal foul by N. Hilario (drawn by D. Russell),,112-112,,
2:47.0,,,112-112,,D. Russell misses free throw 1 of 2
2:47.0,,,112-112,,Offensive rebound by Team
2:47.0,,,112-113,1,D. Russell makes free throw 2 of 2
2:28.0,J. Harden misses 2-pt shot from 4 ft (block by J. Randle),,112-113,,
2:23.0,,,112-113,,Defensive rebound by N. Young
2:19.0,,,112-113,,Turnover by J. Randle (lost ball; steal by R. Anderson)
2:07.0,E. Gordon misses 3-pt shot from 27 ft,,112-113,,
2:06.0,,,112-113,,Defensive rebound by L. Deng
1:48.0,,,112-116,3,J. Clarkson makes 3-pt shot from 29 ft
1:35.0,N. Hilario makes 2-pt shot from 13 ft (assist by T. Ariza),2,114-116,,
1:15.0,,,114-116,,N. Young misses 3-pt shot from 26 ft
1:14.0,,,114-116,,Offensive rebound by J. Clarkson
1:14.0,,,114-118,2,J. Clarkson makes 2-pt shot from 2 ft
1:05.0,Turnover by J. Harden (lost ball; steal by J. Clarkson),,114-118,,
0:45.0,,,114-120,2,J. Randle makes 2-pt shot from 4 ft
0:45.0,Houston full timeout,,114-120,,
0:42.0,R. Anderson misses 3-pt shot from 28 ft,,114-120,,
0:41.0,,,114-120,,Defensive rebound by N. Young
0:35.0,,,114-120,,Turnover by D. Russell (lost ball; steal by R. Anderson)
0:29.0,E. Gordon misses 3-pt shot from 24 ft,,114-120,,
0:27.0,,,114-120,,Defensive rebound by J. Clarkson
0:16.0,,,114-120,,LA Lakers full timeout
0:16.0,C. Brewer enters the game for J. Harden,,114-120,,
0:16.0,,,114-120,,LA Lakers full timeout
0:12.0,,,114-120,,Turnover by L. Deng (bad pass; steal by T. Ariza)
0:12.0,Houston full timeout,,114-120,,
0:12.0,J. Harden enters the game for C. Brewer,,114-120,,
0:07.0,J. Harden misses 3-pt shot from 26 ft,,114-120,,
0:04.0,Offensive rebound by J. Harden,,114-120,,
0:02.0,T. Ariza misses 3-pt shot from 27 ft,,114-120,,
0:01.0,Offensive rebound by R. Anderson,,114-120,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
